10000; 190.90 mV; 95.436 mV; 5.2518 °
50000; 193.06 mV; 95.436 mV; 5.5360 °
100000; 191.98 mV; 94.881 mV; 5.8161 °
150000; 186.56 mV; 93.771 mV; 5.9632 °
200000; 186.56 mV; 99.874 mV; 6.1022 °
250000; 189.81 mV; 99.874 mV; 5.9698 °
300000; 194.15 mV; 102.09 mV; 6.0359 °
350000; 194.15 mV; 105.98 mV; 5.2695 °
400000; 195.23 mV; 110.42 mV; 4.4456 °
425000; 193.06 mV; 112.30 mV; 3.0803 °
450000; 187.64 mV; 110.14 mV; 2.5524 °
475000; 193.06 mV; 111.22 mV; 1.9974 °
500000; 183.30 mV; 112.30 mV; 1.8172 °
525000; 194.15 mV; 114.46 mV; 1.7999 °
550000; 194.15 mV; 114.46 mV; 2.3031 °
575000; 193.06 mV; 114.46 mV; 2.7932 °
600000; 183.30 mV; 116.62 mV; 3.4487 °
625000; 198.49 mV; 117.70 mV; 4.1347 °
650000; 188.73 mV; 117.70 mV; 4.8106 °
675000; 193.06 mV; 117.70 mV; 5.2869 °
700000; 187.64 mV; 114.46 mV; 6.1304 °
750000; 177.88 mV; 117.70 mV; 7.5706 °
800000; 190.90 mV; 119.86 mV; 9.0080 °
900000; 193.06 mV; 118.78 mV; 11.273 °
950000; 188.73 mV; 115.54 mV; 12.115 °
1000000; 187.64 mV; 113.38 mV; 13.456 °
1050000; 185.47 mV; 113.38 mV; 14.741 °
1100000; 186.56 mV; 112.30 mV; 15.777 °
1200000; 181.13 mV; 113.38 mV; 17.616 °
1400000; 183.30 mV; 94.326 mV; 21.497 °
1700000; 187.64 mV; 102.09 mV; 25.973 °
200000; 106.29 mV; 99.320 mV; 29.865 °
2250000; 184.39 mV; 94.326 mV; 32.666 °
2500000; 162.69 mV; 87.668 mV; 35.446 °
3000000; 176.79 mV; 74.351 mV; 39.832 °
4000000; 137.75 mV; 64.364 mV; 46.861 °
5000000; 126.90 mV; 37.730 mV; 52.012 °
6000000; 138.83 mV; 41.614 mV; 55.620 °
7000000; 131.24 mV; 31.072 mV; 58.050 °
8000000; 116.48 mV; 14.981 mV; 59.497 °
9000000; 111.46 mV; 19.975 mV; 60.381 °
10000000; 80.812 mV; 12.207 mV; 60.843 °
