v1	V(vout)
-9.000000000000000e+000	7.495377e+000
-8.900000000000000e+000	7.495372e+000
-8.800000000000001e+000	7.495368e+000
-8.700000000000001e+000	7.495362e+000
-8.600000000000001e+000	7.495358e+000
-8.500000000000002e+000	7.495352e+000
-8.400000000000002e+000	7.495346e+000
-8.300000000000003e+000	7.495338e+000
-8.200000000000003e+000	7.495320e+000
-8.100000000000003e+000	7.495270e+000
-8.000000000000004e+000	7.495104e+000
-7.900000000000004e+000	7.494536e+000
-7.800000000000004e+000	7.492744e+000
-7.700000000000005e+000	7.487759e+000
-7.600000000000005e+000	7.476698e+000
-7.500000000000005e+000	7.452935e+000
-7.400000000000006e+000	7.394734e+000
-7.300000000000006e+000	7.299492e+000
-7.200000000000006e+000	7.199615e+000
-7.100000000000007e+000	7.099621e+000
-7.000000000000007e+000	6.999624e+000
-6.900000000000008e+000	6.899627e+000
-6.800000000000008e+000	6.799631e+000
-6.700000000000008e+000	6.699634e+000
-6.600000000000009e+000	6.599637e+000
-6.500000000000009e+000	6.499640e+000
-6.400000000000009e+000	6.399643e+000
-6.300000000000010e+000	6.299646e+000
-6.200000000000010e+000	6.199649e+000
-6.100000000000010e+000	6.099653e+000
-6.000000000000011e+000	5.999656e+000
-5.900000000000011e+000	5.899659e+000
-5.800000000000011e+000	5.799662e+000
-5.700000000000012e+000	5.699665e+000
-5.600000000000012e+000	5.599669e+000
-5.500000000000012e+000	5.499671e+000
-5.400000000000013e+000	5.399675e+000
-5.300000000000013e+000	5.299678e+000
-5.200000000000014e+000	5.199681e+000
-5.100000000000014e+000	5.099684e+000
-5.000000000000014e+000	4.999687e+000
-4.900000000000015e+000	4.899691e+000
-4.800000000000015e+000	4.799694e+000
-4.700000000000015e+000	4.699697e+000
-4.600000000000016e+000	4.599700e+000
-4.500000000000016e+000	4.499703e+000
-4.400000000000016e+000	4.399706e+000
-4.300000000000017e+000	4.299709e+000
-4.200000000000017e+000	4.199713e+000
-4.100000000000017e+000	4.099716e+000
-4.000000000000018e+000	3.999719e+000
-3.900000000000018e+000	3.899722e+000
-3.800000000000018e+000	3.799725e+000
-3.700000000000018e+000	3.699728e+000
-3.600000000000017e+000	3.599731e+000
-3.500000000000017e+000	3.499735e+000
-3.400000000000017e+000	3.399738e+000
-3.300000000000017e+000	3.299741e+000
-3.200000000000017e+000	3.199744e+000
-3.100000000000017e+000	3.099747e+000
-3.000000000000017e+000	2.999751e+000
-2.900000000000017e+000	2.899754e+000
-2.800000000000017e+000	2.799757e+000
-2.700000000000017e+000	2.699760e+000
-2.600000000000017e+000	2.599763e+000
-2.500000000000016e+000	2.499766e+000
-2.400000000000016e+000	2.399770e+000
-2.300000000000016e+000	2.299773e+000
-2.200000000000016e+000	2.199776e+000
-2.100000000000016e+000	2.099779e+000
-2.000000000000016e+000	1.999782e+000
-1.900000000000016e+000	1.899785e+000
-1.800000000000016e+000	1.799788e+000
-1.700000000000016e+000	1.699792e+000
-1.600000000000016e+000	1.599795e+000
-1.500000000000016e+000	1.499798e+000
-1.400000000000016e+000	1.399801e+000
-1.300000000000015e+000	1.299804e+000
-1.200000000000015e+000	1.199807e+000
-1.100000000000015e+000	1.099810e+000
-1.000000000000015e+000	9.998136e-001
-9.000000000000151e-001	8.998168e-001
-8.000000000000151e-001	7.998199e-001
-7.000000000000152e-001	6.998231e-001
-6.000000000000152e-001	5.998263e-001
-5.000000000000152e-001	4.998294e-001
-4.000000000000152e-001	3.998326e-001
-3.000000000000153e-001	2.998357e-001
-2.000000000000153e-001	1.998389e-001
-1.000000000000152e-001	9.984204e-002
-1.523781101298027e-014	-1.548006e-004
9.999999999998477e-002	-1.001516e-001
1.999999999999848e-001	-2.001485e-001
2.999999999999848e-001	-3.001453e-001
3.999999999999848e-001	-4.001422e-001
4.999999999999848e-001	-5.001390e-001
5.999999999999848e-001	-6.001359e-001
6.999999999999848e-001	-7.001327e-001
7.999999999999847e-001	-8.001295e-001
8.999999999999847e-001	-9.001264e-001
9.999999999999847e-001	-1.000123e+000
1.099999999999985e+000	-1.100120e+000
1.199999999999985e+000	-1.200117e+000
1.299999999999985e+000	-1.300114e+000
1.399999999999985e+000	-1.400111e+000
1.499999999999985e+000	-1.500107e+000
1.599999999999985e+000	-1.600104e+000
1.699999999999985e+000	-1.700101e+000
1.799999999999985e+000	-1.800098e+000
1.899999999999986e+000	-1.900095e+000
1.999999999999986e+000	-2.000092e+000
2.099999999999985e+000	-2.100089e+000
2.199999999999986e+000	-2.200085e+000
2.299999999999986e+000	-2.300082e+000
2.399999999999986e+000	-2.400079e+000
2.499999999999986e+000	-2.500076e+000
2.599999999999986e+000	-2.600073e+000
2.699999999999986e+000	-2.700070e+000
2.799999999999986e+000	-2.800066e+000
2.899999999999986e+000	-2.900063e+000
2.999999999999986e+000	-3.000060e+000
3.099999999999986e+000	-3.100057e+000
3.199999999999986e+000	-3.200054e+000
3.299999999999987e+000	-3.300051e+000
3.399999999999987e+000	-3.400048e+000
3.499999999999987e+000	-3.500044e+000
3.599999999999987e+000	-3.600041e+000
3.699999999999987e+000	-3.700038e+000
3.799999999999987e+000	-3.800035e+000
3.899999999999987e+000	-3.900032e+000
3.999999999999987e+000	-4.000029e+000
4.099999999999987e+000	-4.100025e+000
4.199999999999987e+000	-4.200022e+000
4.299999999999987e+000	-4.300019e+000
4.399999999999986e+000	-4.400016e+000
4.499999999999986e+000	-4.500013e+000
4.599999999999985e+000	-4.600009e+000
4.699999999999985e+000	-4.700006e+000
4.799999999999985e+000	-4.800003e+000
4.899999999999984e+000	-4.900000e+000
4.999999999999984e+000	-4.999997e+000
5.099999999999984e+000	-5.099994e+000
5.199999999999983e+000	-5.199991e+000
5.299999999999983e+000	-5.299987e+000
5.399999999999983e+000	-5.399984e+000
5.499999999999982e+000	-5.499981e+000
5.599999999999982e+000	-5.599978e+000
5.699999999999982e+000	-5.699975e+000
5.799999999999981e+000	-5.799972e+000
5.899999999999981e+000	-5.899969e+000
5.999999999999981e+000	-5.999965e+000
6.099999999999980e+000	-6.099962e+000
6.199999999999980e+000	-6.199959e+000
6.299999999999979e+000	-6.299956e+000
6.399999999999979e+000	-6.399953e+000
6.499999999999979e+000	-6.499949e+000
6.599999999999978e+000	-6.599946e+000
6.699999999999978e+000	-6.699943e+000
6.799999999999978e+000	-6.799940e+000
6.899999999999977e+000	-6.899937e+000
6.999999999999977e+000	-6.999934e+000
7.099999999999977e+000	-7.099931e+000
7.199999999999976e+000	-7.199927e+000
7.299999999999976e+000	-7.299924e+000
7.399999999999976e+000	-7.399921e+000
7.499999999999975e+000	-7.499918e+000
7.599999999999975e+000	-7.599915e+000
7.699999999999974e+000	-7.699912e+000
7.799999999999974e+000	-7.799909e+000
7.899999999999974e+000	-7.899905e+000
