Freq.	V(vin)/-I(R1)
3.46736850452531e+004	(6.86485946628596e+001dB,2.02775123515841e+000°)
3.54813389233575e+004	(6.86495906872114e+001dB,2.07454524569493e+000°)
3.63078054770101e+004	(6.86506332283435e+001dB,2.12239806971115e+000°)
3.71535229097172e+004	(6.86517244378856e+001dB,2.17133216516806e+000°)
3.80189396320560e+004	(6.86528665649950e+001dB,2.22137035828301e+000°)
3.89045144994280e+004	(6.86540619605851e+001dB,2.27253584137442e+000°)
3.98107170553496e+004	(6.86553130817203e+001dB,2.32485216992966e+000°)
4.07380277804112e+004	(6.86566224961784e+001dB,2.37834325883090e+000°)
4.16869383470335e+004	(6.86579928871881e+001dB,2.43303337766932e+000°)
4.26579518801592e+004	(6.86594270583446e+001dB,2.48894714507375e+000°)
4.36515832240165e+004	(6.86609279387080e+001dB,2.54610952197480e+000°)
4.46683592150962e+004	(6.86624985880878e+001dB,2.60454580372056e+000°)
4.57088189614874e+004	(6.86641422025187e+001dB,2.66428161095469e+000°)
4.67735141287197e+004	(6.86658621199305e+001dB,2.72534287916212e+000°)
4.78630092322637e+004	(6.86676618260159e+001dB,2.78775584678177e+000°)
4.89778819368445e+004	(6.86695449602984e+001dB,2.85154704177950e+000°)
5.01187233627271e+004	(6.86715153224040e+001dB,2.91674326656836e+000°)
5.12861383991363e+004	(6.86735768785386e+001dB,2.98337158115625e+000°)
5.24807460249771e+004	(6.86757337681719e+001dB,3.05145928439436e+000°)
5.37031796370251e+004	(6.86779903109295e+001dB,3.12103389319259e+000°)
5.49540873857623e+004	(6.86803510136933e+001dB,3.19212311956056e+000°)
5.62341325190347e+004	(6.86828205779103e+001dB,3.26475484532505e+000°)
5.75439937337155e+004	(6.86854039071067e+001dB,3.33895709436716e+000°)
5.88843655355587e+004	(6.86881061146070e+001dB,3.41475800221347e+000°)
6.02559586074356e+004	(6.86909325314531e+001dB,3.49218578280803e+000°)
6.16595001861480e+004	(6.86938887145188e+001dB,3.57126869228264e+000°)
6.30957344480191e+004	(6.86969804548149e+001dB,3.65203498953449e+000°)
6.45654229034654e+004	(6.87002137859747e+001dB,3.73451289341123e+000°)
