frequency;MAG;PHA
10000;74.6466013;5.2518
50000;74.54998935;5.536
100000;74.54809989;5.8161
150000;74.69371606;5.9632
200000;75.28466667;6.1022
250000;75.11498571;5.9698
300000;75.10860377;6.0359
350000;75.48360636;5.2695
400000;75.8692651;4.4456
425000;76.19719511;3.0803
450000;76.30774972;2.5524
475000;76.08180891;1.9974
500000;76.86535761;1.8172
525000;76.36194664;1.7999
550000;76.36194664;2.3031
575000;76.4326704;2.7932
600000;77.41061276;3.4487
625000;76.43489576;4.1347
650000;77.11525779;4.8106
675000;76.79830352;5.2869
700000;76.80593567;6.1304
750000;78.04077403;7.5706
800000;77.2133348;9.008
900000;76.92368342;11.273
950000;76.85505914;12.115
1000000;76.67868487;13.456
1050000;76.83524821;14.741
1100000;76.62854705;15.777
1200000;77.16889703;17.616
1400000;74.90526227;21.497
1700000;75.44938349;25.973
2000000;75.5942535;29.865
2250000;74.85099794;32.666
2500000;75.35071971;35.446
3000000;73.36712259;39.832
4000000;74.0968431;46.861
5000000;71.69213239;52.012
6000000;71.7221868;55.62
7000000;70.97401967;58.05
8000000;69.82306725;59.497
9000000;70.34265821;60.381
10000000;70.04967701;60.843
