-9;-9.0362;0.8902;-9.0362;0.8902
1.5;1.4933;-0.14162;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961,-1.9947,-1.744,-1.4824,-1.2426,-0.99191,-0.74121,-0.47961,-0.4033,0.109,0.2398,0.49051,0.75211,0.99191,1.2426,1.4933;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278,0.1922,0.16185,0.14162,0.11127,0.080927,0.060695,0.040464,0.030348,-0.010116,-0.010116,-0.040464,-0.060695,-0.091043,-0.11127,-0.14162
1.75;1.744;-0.16185;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961,-1.9947,-1.744,-1.4824,-1.2426,-0.99191,-0.74121,-0.47961,-0.4033,0.109,0.2398,0.49051,0.75211,0.99191,1.2426,1.4933,1.744;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278,0.1922,0.16185,0.14162,0.11127,0.080927,0.060695,0.040464,0.030348,-0.010116,-0.010116,-0.040464,-0.060695,-0.091043,-0.11127,-0.14162,-0.16185
2;1.9947;-0.18209;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961,-1.9947,-1.744,-1.4824,-1.2426,-0.99191,-0.74121,-0.47961,-0.4033,0.109,0.2398,0.49051,0.75211,0.99191,1.2426,1.4933,1.744,1.9947;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278,0.1922,0.16185,0.14162,0.11127,0.080927,0.060695,0.040464,0.030348,-0.010116,-0.010116,-0.040464,-0.060695,-0.091043,-0.11127,-0.14162,-0.16185,-0.18209
2.5;2.4961;-0.24278;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961,-1.9947,-1.744,-1.4824,-1.2426,-0.99191,-0.74121,-0.47961,-0.4033,0.109,0.2398,0.49051,0.75211,0.99191,1.2426,1.4933,1.744,1.9947,2.4961;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278,0.1922,0.16185,0.14162,0.11127,0.080927,0.060695,0.040464,0.030348,-0.010116,-0.010116,-0.040464,-0.060695,-0.091043,-0.11127,-0.14162,-0.16185,-0.18209,-0.24278
3;3.0084;-0.28324;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961,-1.9947,-1.744,-1.4824,-1.2426,-0.99191,-0.74121,-0.47961,-0.4033,0.109,0.2398,0.49051,0.75211,0.99191,1.2426,1.4933,1.744,1.9947,2.4961,3.0084;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278,0.1922,0.16185,0.14162,0.11127,0.080927,0.060695,0.040464,0.030348,-0.010116,-0.010116,-0.040464,-0.060695,-0.091043,-0.11127,-0.14162,-0.16185,-0.18209,-0.24278,-0.28324
4;4.0112;-0.3844;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961,-1.9947,-1.744,-1.4824,-1.2426,-0.99191,-0.74121,-0.47961,-0.4033,0.109,0.2398,0.49051,0.75211,0.99191,1.2426,1.4933,1.744,1.9947,2.4961,3.0084,4.0112;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278,0.1922,0.16185,0.14162,0.11127,0.080927,0.060695,0.040464,0.030348,-0.010116,-0.010116,-0.040464,-0.060695,-0.091043,-0.11127,-0.14162,-0.16185,-0.18209,-0.24278,-0.28324,-0.3844
5;5.0141;-0.48556;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961,-1.9947,-1.744,-1.4824,-1.2426,-0.99191,-0.74121,-0.47961,-0.4033,0.109,0.2398,0.49051,0.75211,0.99191,1.2426,1.4933,1.744,1.9947,2.4961,3.0084,4.0112,5.0141;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278,0.1922,0.16185,0.14162,0.11127,0.080927,0.060695,0.040464,0.030348,-0.010116,-0.010116,-0.040464,-0.060695,-0.091043,-0.11127,-0.14162,-0.16185,-0.18209,-0.24278,-0.28324,-0.3844,-0.48556
6;6.0169;-0.58672;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961,-1.9947,-1.744,-1.4824,-1.2426,-0.99191,-0.74121,-0.47961,-0.4033,0.109,0.2398,0.49051,0.75211,0.99191,1.2426,1.4933,1.744,1.9947,2.4961,3.0084,4.0112,5.0141,6.0169;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278,0.1922,0.16185,0.14162,0.11127,0.080927,0.060695,0.040464,0.030348,-0.010116,-0.010116,-0.040464,-0.060695,-0.091043,-0.11127,-0.14162,-0.16185,-0.18209,-0.24278,-0.28324,-0.3844,-0.48556,-0.58672
7;7.0306;-0.68788;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961,-1.9947,-1.744,-1.4824,-1.2426,-0.99191,-0.74121,-0.47961,-0.4033,0.109,0.2398,0.49051,0.75211,0.99191,1.2426,1.4933,1.744,1.9947,2.4961,3.0084,4.0112,5.0141,6.0169,7.0306;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278,0.1922,0.16185,0.14162,0.11127,0.080927,0.060695,0.040464,0.030348,-0.010116,-0.010116,-0.040464,-0.060695,-0.091043,-0.11127,-0.14162,-0.16185,-0.18209,-0.24278,-0.28324,-0.3844,-0.48556,-0.58672,-0.68788
8;8.0225;-0.78904;-9.0362,-8.0334,-7.0306,-6.0169,-5.025,-4.0112,-3.0084,-2.4961,-1.9947,-1.744,-1.4824,-1.2426,-0.99191,-0.74121,-0.47961,-0.4033,0.109,0.2398,0.49051,0.75211,0.99191,1.2426,1.4933,1.744,1.9947,2.4961,3.0084,4.0112,5.0141,6.0169,7.0306,8.0225;0.8902,0.78904,0.68788,0.58672,0.49568,0.3844,0.28324,0.24278,0.1922,0.16185,0.14162,0.11127,0.080927,0.060695,0.040464,0.030348,-0.010116,-0.010116,-0.040464,-0.060695,-0.091043,-0.11127,-0.14162,-0.16185,-0.18209,-0.24278,-0.28324,-0.3844,-0.48556,-0.58672,-0.68788,-0.78904
