v1	V(vout)
-9.000000000000000e+000	8.998945e-001
-8.900000000000000e+000	8.898946e-001
-8.800000000000001e+000	8.798947e-001
-8.700000000000001e+000	8.698949e-001
-8.600000000000001e+000	8.598950e-001
-8.500000000000002e+000	8.498951e-001
-8.400000000000002e+000	8.398952e-001
-8.300000000000003e+000	8.298954e-001
-8.200000000000003e+000	8.198955e-001
-8.100000000000003e+000	8.098956e-001
-8.000000000000004e+000	7.998958e-001
-7.900000000000004e+000	7.898959e-001
-7.800000000000004e+000	7.798960e-001
-7.700000000000005e+000	7.698961e-001
-7.600000000000005e+000	7.598963e-001
-7.500000000000005e+000	7.498964e-001
-7.400000000000006e+000	7.398965e-001
-7.300000000000006e+000	7.298967e-001
-7.200000000000006e+000	7.198967e-001
-7.100000000000007e+000	7.098969e-001
-7.000000000000007e+000	6.998970e-001
-6.900000000000008e+000	6.898971e-001
-6.800000000000008e+000	6.798972e-001
-6.700000000000008e+000	6.698974e-001
-6.600000000000009e+000	6.598975e-001
-6.500000000000009e+000	6.498976e-001
-6.400000000000009e+000	6.398978e-001
-6.300000000000010e+000	6.298979e-001
-6.200000000000010e+000	6.198980e-001
-6.100000000000010e+000	6.098981e-001
-6.000000000000011e+000	5.998983e-001
-5.900000000000011e+000	5.898984e-001
-5.800000000000011e+000	5.798985e-001
-5.700000000000012e+000	5.698987e-001
-5.600000000000012e+000	5.598987e-001
-5.500000000000012e+000	5.498989e-001
-5.400000000000013e+000	5.398990e-001
-5.300000000000013e+000	5.298991e-001
-5.200000000000014e+000	5.198992e-001
-5.100000000000014e+000	5.098994e-001
-5.000000000000014e+000	4.998995e-001
-4.900000000000015e+000	4.898996e-001
-4.800000000000015e+000	4.798998e-001
-4.700000000000015e+000	4.698999e-001
-4.600000000000016e+000	4.599000e-001
-4.500000000000016e+000	4.499002e-001
-4.400000000000016e+000	4.399003e-001
-4.300000000000017e+000	4.299004e-001
-4.200000000000017e+000	4.199005e-001
-4.100000000000017e+000	4.099006e-001
