Freq.	V(vin)/-I(R1)
1.00000000000000e+005	(8.86326479609056e+001dB,5.84527521349429e-001°)
1.02329299228075e+005	(8.86329021198872e+001dB,5.98124868807461e-001°)
1.04712854805090e+005	(8.86331683888480e+001dB,6.12037530318802e-001°)
1.07151930523761e+005	(8.86334473510476e+001dB,6.26272735345919e-001°)
1.09647819614319e+005	(8.86337396184157e+001dB,6.40837871761507e-001°)
1.12201845430196e+005	(8.86340458330127e+001dB,6.55740488611465e-001°)
1.14815362149688e+005	(8.86343666685698e+001dB,6.70988298850135e-001°)
1.17489755493953e+005	(8.86347028321123e+001dB,6.86589182037441e-001°)
1.20226443461741e+005	(8.86350550656711e+001dB,7.02551186986404e-001°)
1.23026877081238e+005	(8.86354241480878e+001dB,7.18882534347667e-001°)
1.25892541179417e+005	(8.86358108969190e+001dB,7.35591619116544e-001°)
1.28824955169313e+005	(8.86362161704447e+001dB,7.52687013045833e-001°)
1.31825673855641e+005	(8.86366408697888e+001dB,7.70177466945907e-001°)
1.34896288259165e+005	(8.86370859411559e+001dB,7.88071912851213e-001°)
1.38038426460288e+005	(8.86375523781940e+001dB,8.06379466029746e-001°)
1.41253754462275e+005	(8.86380412244883e+001dB,8.25109426809388e-001°)
1.44543977074593e+005	(8.86385535761956e+001dB,8.44271282191727e-001°)
1.47910838816821e+005	(8.86390905848265e+001dB,8.63874707220612e-001°)
1.51356124843621e+005	(8.86396534601852e+001dB,8.83929566068579e-001°)
1.54881661891248e+005	(8.86402434734757e+001dB,9.04445912800313e-001°)
1.58489319246111e+005	(8.86408619605845e+001dB,9.25433991767008e-001°)
1.62181009735893e+005	(8.86415103255511e+001dB,9.46904237580504e-001°)
1.65958690743756e+005	(8.86421900442360e+001dB,9.68867274609813e-001°)
1.69824365246174e+005	(8.86429026681993e+001dB,9.91333915936049e-001°)
1.73780082874937e+005	(8.86436498288020e+001dB,1.01431516169435e+000°)
1.77827941003892e+005	(8.86444332415430e+001dB,1.03782219672293e+000°)
1.81970085860998e+005	(8.86452547106458e+001dB,1.06186638743046e+000°)
1.86208713666287e+005	(8.86461161339091e+001dB,1.08645927778229e+000°)
1.90546071796325e+005	(8.86470195078373e+001dB,1.11161258429506e+000°)
1.94984459975804e+005	(8.86479669330664e+001dB,1.13733818991610e+000°)
1.99526231496888e+005	(8.86489606201015e+001dB,1.16364813665020e+000°)
2.04173794466953e+005	(8.86500028953850e+001dB,1.19055461678056e+000°)
2.08929613085404e+005	(8.86510962077108e+001dB,1.21806996251334e+000°)
2.13796208950223e+005	(8.86522431350062e+001dB,1.24620663385578e+000°)
2.18776162394955e+005	(8.86534463914982e+001dB,1.27497720451672e+000°)
2.23872113856834e+005	(8.86547088352850e+001dB,1.30439434559443e+000°)
