frequency;MAG;PHA
100000;93.09034958;10.625
150000;92.81854237;14.832
200000;92.57059193;20.117
250000;92.28360912;24.374
300000;91.88878022;28.346
350000;91.5772415;31.88
400000;91.25343804;35.192
450000;90.86410061;38.21
500000;90.57964781;40.914
550000;90.31784997;43.338
600000;90.12172057;45.445
650000;89.92782421;47.41
700000;89.64095135;49.126
750000;89.41927008;50.797
800000;89.41927008;50.797
850000;89.10972262;53.66
900000;88.98869808;55.051
950000;88.8268864;56.422
1000000;89.76634723;57.383
1100000;88.47622179;59.234
1150000;88.3860474;60.176
1200000;88.26385308;60.829
1250000;88.31504808;61.5
1300000;88.14156155;62.197
1350000;88.01742802;62.659
1400000;87.99245051;63.122
1500000;87.83530601;63.807
1600000;87.67976981;64.502
1700000;87.6150968;64.868
1800000;87.50694907;65.282
1900000;87.43405726;65.438
2000000;87.44051072;65.598
2100000;87.31860049;65.702
2250000;87.22220137;65.722
2500000;87.19854091;65.739
2750000;87.01313076;65.408
3000000;86.91787157;64.994
3250000;86.86307626;64.467
3500000;86.74070137;64.013
3750000;86.84724516;63.421
4000000;86.80461203;62.773
4500000;86.64089274;61.271
5000000;86.68168659;59.723
6000000;86.73518079;56.539
7000000;86.44808206;53.765
8000000;86.37954004;51.443
9000000;86.39648258;49.772
10000000;86.29339339;48.131
