Freq.	V(vout)
5.00000000000000e+002	(-2.68965231250100e+000dB,-4.28177682875060e+001°)
5.03852407068052e+002	(-2.72364765505430e+000dB,-4.30590187151084e+001°)
5.07734496216540e+002	(-2.75800151353104e+000dB,-4.33007641952960e+001°)
5.11646496140377e+002	(-2.79271645462977e+000dB,-4.35429942586677e+001°)
5.15588637296528e+002	(-2.82779505341990e+000dB,-4.37856983643625e+001°)
5.19561151917585e+002	(-2.86323989378717e+000dB,-4.40288659032934e+001°)
5.23564274025450e+002	(-2.89905356890878e+000dB,-4.42724862014369e+001°)
5.27598239445121e+002	(-2.93523868175901e+000dB,-4.45165485231738e+001°)
5.31663285818581e+002	(-2.97179784564636e+000dB,-4.47610420746808e+001°)
5.35759652618804e+002	(-3.00873368478278e+000dB,-4.50059560073717e+001°)
5.39887581163855e+002	(-3.04604883488608e+000dB,-4.52512794213829e+001°)
5.44047314631114e+002	(-3.08374594381641e+000dB,-4.54970013691049e+001°)
5.48239098071593e+002	(-3.12182767224752e+000dB,-4.57431108587539e+001°)
5.52463178424380e+002	(-3.16029669437399e+000dB,-4.59895968579844e+001°)
5.56719804531181e+002	(-3.19915569865511e+000dB,-4.62364482975380e+001°)
5.61009227150983e+002	(-3.23840738859652e+000dB,-4.64836540749269e+001°)
5.65331698974820e+002	(-3.27805448357054e+000dB,-4.67312030581506e+001°)
5.69687474640669e+002	(-3.31809971967609e+000dB,-4.69790840894408e+001°)
5.74076810748442e+002	(-3.35854585063932e+000dB,-4.72272859890352e+001°)
5.78499965875106e+002	(-3.39939564875590e+000dB,-4.74757975589745e+001°)
5.82957200589917e+002	(-3.44065190587604e+000dB,-4.77246075869225e+001°)
5.87448777469766e+002	(-3.48231743443328e+000dB,-4.79737048500051e+001°)
5.91974961114652e+002	(-3.52439506851814e+000dB,-4.82230781186661e+001°)
5.96536018163268e+002	(-3.56688766499783e+000dB,-4.84727161605371e+001°)
6.01132217308708e+002	(-3.60979810468300e+000dB,-4.87226077443189e+001°)
6.05763829314295e+002	(-3.65312929354287e+000dB,-4.89727416436714e+001°)
6.10431127029537e+002	(-3.69688416396981e+000dB,-4.92231066411097e+001°)
6.15134385406192e+002	(-3.74106567609475e+000dB,-4.94736915319031e+001°)
6.19873881514473e+002	(-3.78567681915447e+000dB,-4.97244851279749e+001°)
6.24649894559368e+002	(-3.83072061291234e+000dB,-4.99754762617998e+001°)
6.29462705897085e+002	(-3.87620010913365e+000dB,-5.02266537902963e+001°)
6.34312599051631e+002	(-3.92211839311708e+000dB,-5.04780065987118e+001°)
6.39199859731513e+002	(-3.96847858528356e+000dB,-5.07295236044968e+001°)
6.44124775846568e+002	(-4.01528384282425e+000dB,-5.09811937611666e+001°)
6.49087637524926e+002	(-4.06253736140893e+000dB,-5.12330060621467e+001°)
6.54088737130099e+002	(-4.11024237695651e+000dB,-5.14849495446005e+001°)
6.59128369278205e+002	(-4.15840216746942e+000dB,-5.17370132932353e+001°)
6.64206830855327e+002	(-4.20702005493329e+000dB,-5.19891864440854e+001°)
6.69324421034998e+002	(-4.25609940728408e+000dB,-5.22414581882688e+001°)
6.74481441295829e+002	(-4.30564364044411e+000dB,-5.24938177757149e+001°)
6.79678195439265e+002	(-4.35565622042928e+000dB,-5.27462545188619e+001°)
6.84914989607487e+002	(-4.40614066552919e+000dB,-5.29987577963199e+001°)
6.90192132301444e+002	(-4.45710054856241e+000dB,-5.32513170564983e+001°)
6.95509934399028e+002	(-4.50853949920909e+000dB,-5.35039218211954e+001°)
7.00868709173387e+002	(-4.56046120642300e+000dB,-5.37565616891467e+001°)
7.06268772311379e+002	(-4.61286942092560e+000dB,-5.40092263395309e+001°)
7.11710441932173e+002	(-4.66576795778441e+000dB,-5.42619055354307e+001°)
7.17194038605985e+002	(-4.71916069907848e+000dB,-5.45145891272470e+001°)
7.22719885372966e+002	(-4.77305159665346e+000dB,-5.47672670560634e+001°)
7.28288307762231e+002	(-4.82744467496922e+000dB,-5.50199293569600e+001°)
7.33899633811037e+002	(-4.88234403404307e+000dB,-5.52725661622744e+001°)
7.39554194084106e+002	(-4.93775385249150e+000dB,-5.55251677048072e+001°)
7.45252321693101e+002	(-4.99367839067384e+000dB,-5.57777243209717e+001°)
7.50994352316246e+002	(-5.05012199394135e+000dB,-5.60302264538849e+001°)
7.56780624218107e+002	(-5.10708909599506e+000dB,-5.62826646563988e+001°)
7.62611478269512e+002	(-5.16458422235651e+000dB,-5.65350295940702e+001°)
7.68487257967639e+002	(-5.22261199395510e+000dB,-5.67873120480676e+001°)
7.74408309456244e+002	(-5.28117713083628e+000dB,-5.70395029180140e+001°)
7.80374981546059e+002	(-5.34028445599514e+000dB,-5.72915932247644e+001°)
7.86387625735337e+002	(-5.39993889933973e+000dB,-5.75435741131160e+001°)
7.92446596230560e+002	(-5.46014550178937e+000dB,-5.77954368544511e+001°)
7.98552249967305e+002	(-5.52090941951265e+000dB,-5.80471728493112e+001°)
8.04704946631271e+002	(-5.58223592831092e+000dB,-5.82987736299007e+001°)
8.10905048679468e+002	(-5.64413042815272e+000dB,-5.85502308625209e+001°)
8.17152921361572e+002	(-5.70659844786521e+000dB,-5.88015363499316e+001°)
8.23448932741438e+002	(-5.76964564998898e+000dB,-5.90526820336416e+001°)
8.29793453718784e+002	(-5.83327783580292e+000dB,-5.93036599961259e+001°)
8.36186858051043e+002	(-5.89750095052614e+000dB,-5.95544624629700e+001°)
8.42629522375379e+002	(-5.96232108870445e+000dB,-5.98050818049410e+001°)
8.49121826230876e+002	(-6.02774449978920e+000dB,-6.00555105399842e+001°)
8.55664152080894e+002	(-6.09377759391689e+000dB,-6.03057413351464e+001°)
8.62256885335605e+002	(-6.16042694789826e+000dB,-6.05557670084248e+001°)
8.68900414374692e+002	(-6.22769931142604e+000dB,-6.08055805305412e+001°)
8.75595130570233e+002	(-6.29560161351146e+000dB,-6.10551750266436e+001°)
8.82341428309754e+002	(-6.36414096915957e+000dB,-6.13045437779319e+001°)
8.89139705019466e+002	(-6.43332468629463e+000dB,-6.15536802232117e+001°)
8.95990361187671e+002	(-6.50316027294700e+000dB,-6.18025779603738e+001°)
9.02893800388363e+002	(-6.57365544471402e+000dB,-6.20512307478009e+001°)
9.09850429304996e+002	(-6.64481813250782e+000dB,-6.22996325057029e+001°)
9.16860657754446e+002	(-6.71665649060388e+000dB,-6.25477773173791e+001°)
9.23924898711150e+002	(-6.78917890500518e+000dB,-6.27956594304104e+001°)
9.31043568331439e+002	(-6.86239400213719e+000dB,-6.30432732577813e+001°)
9.38217085978048e+002	(-6.93631065789058e+000dB,-6.32906133789325e+001°)
9.45445874244826e+002	(-7.01093800702883e+000dB,-6.35376745407453e+001°)
9.52730358981629e+002	(-7.08628545297955e+000dB,-6.37844516584588e+001°)
9.60070969319406e+002	(-7.16236267802921e+000dB,-6.40309398165218e+001°)
9.67468137695482e+002	(-7.23917965394235e+000dB,-6.42771342693791e+001°)
9.74922299879028e+002	(-7.31674665302742e+000dB,-6.45230304421961e+001°)
9.82433894996739e+002	(-7.39507425967335e+000dB,-6.47686239315202e+001°)
9.90003365558698e+002	(-7.47417338238174e+000dB,-6.50139105058834e+001°)
9.97631157484446e+002	(-7.55405526632201e+000dB,-6.52588861063456e+001°)
1.00531772012925e+003	(-7.63473150643779e+000dB,-6.55035468469824e+001°)
1.01306350631058e+003	(-7.71621406113560e+000dB,-6.57478890153176e+001°)
1.02086897233477e+003	(-7.79851526658791e+000dB,-6.59919090727035e+001°)
1.02873457802393e+003	(-7.88164785168591e+000dB,-6.62356036546509e+001°)
1.03666078674298e+003	(-7.96562495367869e+000dB,-6.64789695711110e+001°)
1.04464806542703e+003	(-8.05046013453881e+000dB,-6.67220038067118e+001°)
1.05269688460878e+003	(-8.13616739809659e+000dB,-6.69647035209516e+001°)
1.06080771844635e+003	(-8.22276120798844e+000dB,-6.72070660483519e+001°)
1.06898104475112e+003	(-8.31025650646778e+000dB,-6.74490888985727e+001°)
1.07721734501595e+003	(-8.39866873413062e+000dB,-6.76907697564942e+001°)
1.08551710444348e+003	(-8.48801385061133e+000dB,-6.79321064822666e+001°)
1.09388081197478e+003	(-8.57830835630838e+000dB,-6.81730971113316e+001°)
1.10230896031810e+003	(-8.66956931520416e+000dB,-6.84137398544209e+001°)
1.11080204597791e+003	(-8.76181437884742e+000dB,-6.86540330975327e+001°)
1.11936056928418e+003	(-8.85506181157244e+000dB,-6.88939754018928e+001°)
1.12798503442180e+003	(-8.94933051703412e+000dB,-6.91335655039026e+001°)
1.13667594946032e+003	(-9.04464006614451e+000dB,-6.93728023150797e+001°)
1.14543382638389e+003	(-9.14101072650272e+000dB,-6.96116849219955e+001°)
1.15425918112139e+003	(-9.23846349341727e+000dB,-6.98502125862147e+001°)
1.16315253357682e+003	(-9.33702012262769e+000dB,-7.00883847442423e+001°)
1.17211440765997e+003	(-9.43670316484078e+000dB,-7.03262010074840e+001°)
1.18114533131724e+003	(-9.53753600220582e+000dB,-7.05636611622266e+001°)
1.19024583656277e+003	(-9.63954288686353e+000dB,-7.08007651696434e+001°)
1.19941645950975e+003	(-9.74274898171431e+000dB,-7.10375131658348e+001°)
1.20865774040206e+003	(-9.84718040356330e+000dB,-7.12739054619081e+001°)
1.21797022364602e+003	(-9.95286426881338e+000dB,-7.15099425441087e+001°)
1.22735445784252e+003	(-1.00598287418912e+001dB,-7.17456250740076e+001°)
1.23681099581932e+003	(-1.01681030866077e+001dB,-7.19809538887595e+001°)
1.24634039466360e+003	(-1.02777177206718e+001dB,-7.22159300014373e+001°)
1.25594321575480e+003	(-1.03887042735950e+001dB,-7.24505546014588e+001°)
1.26562002479769e+003	(-1.05010956482467e+001dB,-7.26848290551149e+001°)
1.27537139185569e+003	(-1.06149260863422e+001dB,-7.29187549062150e+001°)
1.28519789138444e+003	(-1.07302312381719e+001dB,-7.31523338768636e+001°)
1.29510010226567e+003	(-1.08470482369085e+001dB,-7.33855678683846e+001°)
1.30507860784128e+003	(-1.09654157778614e+001dB,-7.36184589624117e+001°)
1.31513399594770e+003	(-1.10853742030811e+001dB,-7.38510094221643e+001°)
1.32526685895055e+003	(-1.12069655917560e+001dB,-7.40832216939312e+001°)
1.33547779377950e+003	(-1.13302338568884e+001dB,-7.43150984087858e+001°)
1.34576740196347e+003	(-1.14552248487821e+001dB,-7.45466423845599e+001°)
1.35613628966603e+003	(-1.15819864659300e+001dB,-7.47778566281064e+001°)
1.36658506772113e+003	(-1.17105687739494e+001dB,-7.50087443378819e+001°)
1.37711435166909e+003	(-1.18410241332782e+001dB,-7.52393089068892e+001°)
1.38772476179287e+003	(-1.19734073364227e+001dB,-7.54695539260182e+001°)
1.39841692315455e+003	(-1.21077757556308e+001dB,-7.56994831878317e+001°)
1.40919146563224e+003	(-1.22441895019569e+001dB,-7.59291006908497e+001°)
1.42004902395712e+003	(-1.23827115967966e+001dB,-7.61584106443872e+001°)
1.43099023775087e+003	(-1.25234081570835e+001dB,-7.63874174740133e+001°)
1.44201575156332e+003	(-1.26663485954790e+001dB,-7.66161258277041e+001°)
1.45312621491045e+003	(-1.28116058370416e+001dB,-7.68445405827724e+001°)
1.46432228231263e+003	(-1.29592565540311e+001dB,-7.70726668536708e+001°)
1.47560461333321e+003	(-1.31093814207067e+001dB,-7.73005100007724e+001°)
1.48697387261732e+003	(-1.32620653901996e+001dB,-7.75280756402544e+001°)
1.49843072993108e+003	(-1.34173979957995e+001dB,-7.77553696552213e+001°)
1.50997586020102e+003	(-1.35754736792894e+001dB,-7.79823982082301e+001°)
1.52160994355387e+003	(-1.37363921492985e+001dB,-7.82091677553982e+001°)
1.53333366535661e+003	(-1.39002587730337e+001dB,-7.84356850623053e+001°)
1.54514771625681e+003	(-1.40671850051928e+001dB,-7.86619572219321e+001°)
1.55705279222339e+003	(-1.42372888583832e+001dB,-7.88879916749160e+001°)
1.56904959458758e+003	(-1.44106954199629e+001dB,-7.91137962324484e+001°)
1.58113883008420e+003	(-1.45875374209180e+001dB,-7.93393791021917e+001°)
1.59332121089338e+003	(-1.47679558631951e+001dB,-7.95647489176561e+001°)
1.60559745468243e+003	(-1.49521007128540e+001dB,-7.97899147715518e+001°)
1.61796828464816e+003	(-1.51401316675089e+001dB,-8.00148862537191e+001°)
1.63043442955948e+003	(-1.53322190078266e+001dB,-8.02396734943495e+001°)
1.64299662380034e+003	(-1.55285445443817e+001dB,-8.04642872133355e+001°)
1.65565560741297e+003	(-1.57293026729824e+001dB,-8.06887387767466e+001°)
1.66841212614149e+003	(-1.59347015537328e+001dB,-8.09130402616127e+001°)
1.68126693147583e+003	(-1.61449644316643e+001dB,-8.11372045304323e+001°)
1.69422078069603e+003	(-1.63603311198429e+001dB,-8.13612453170991e+001°)
1.70727443691682e+003	(-1.65810596695482e+001dB,-8.15851773262903e+001°)
1.72042866913258e+003	(-1.68074282565811e+001dB,-8.18090163487873e+001°)
1.73368425226268e+003	(-1.70397373181583e+001dB,-8.20327793957320e+001°)
1.74704196719705e+003	(-1.72783119814399e+001dB,-8.22564848554835e+001°)
1.76050260084228e+003	(-1.75235048327977e+001dB,-8.24801526775798e+001°)
1.77406694616790e+003	(-1.77756990868608e+001dB,-8.27038045893599e+001°)
1.78773580225313e+003	(-1.80353122266630e+001dB,-8.29274643521418e+001°)
1.80150997433395e+003	(-1.83028002015169e+001dB,-8.31511580655732e+001°)
1.81539027385053e+003	(-1.85786622884140e+001dB,-8.33749145309783e+001°)
1.82937751849504e+003	(-1.88634467469290e+001dB,-8.35987656874011e+001°)
1.84347253225981e+003	(-1.91577574283177e+001dB,-8.38227471378044e+001°)
1.85767614548588e+003	(-1.94622615387916e+001dB,-8.40468987878446e+001°)
1.87198919491193e+003	(-1.97776988076238e+001dB,-8.42712656262522e+001°)
1.88641252372352e+003	(-2.01048923766433e+001dB,-8.44958986847288e+001°)
