Freq.	V(vout)
5.00000000000000e+002	(-1.76716120033961e+000dB,-3.62780043827981e+001°)
5.03852407068052e+002	(-1.79101448658746e+000dB,-3.65070705729235e+001°)
5.07734496216540e+002	(-1.81515073700240e+000dB,-3.67370132473452e+001°)
5.11646496140377e+002	(-1.83957246770775e+000dB,-3.69678267847073e+001°)
5.15588637296528e+002	(-1.86428220281782e+000dB,-3.71995054409368e+001°)
5.19561151917585e+002	(-1.88928247436288e+000dB,-3.74320433504082e+001°)
5.23564274025450e+002	(-1.91457582222283e+000dB,-3.76654345271948e+001°)
5.27598239445121e+002	(-1.94016479407008e+000dB,-3.78996728664060e+001°)
5.31663285818581e+002	(-1.96605194532228e+000dB,-3.81347521456124e+001°)
5.35759652618804e+002	(-1.99223983910541e+000dB,-3.83706660263598e+001°)
5.39887581163855e+002	(-2.01873104622792e+000dB,-3.86074080557712e+001°)
5.44047314631114e+002	(-2.04552814516637e+000dB,-3.88449716682401e+001°)
5.48239098071593e+002	(-2.07263372206329e+000dB,-3.90833501872126e+001°)
5.52463178424380e+002	(-2.10005037073796e+000dB,-3.93225368270618e+001°)
5.56719804531181e+002	(-2.12778069271049e+000dB,-3.95625246950524e+001°)
5.61009227150983e+002	(-2.15582729724015e+000dB,-3.98033067933985e+001°)
5.65331698974820e+002	(-2.18419280137840e+000dB,-4.00448760214125e+001°)
5.69687474640669e+002	(-2.21287983003746e+000dB,-4.02872251777475e+001°)
5.74076810748442e+002	(-2.24189101607493e+000dB,-4.05303469627319e+001°)
5.78499965875106e+002	(-2.27122900039532e+000dB,-4.07742339807972e+001°)
5.82957200589917e+002	(-2.30089643206917e+000dB,-4.10188787429994e+001°)
5.87448777469766e+002	(-2.33089596847034e+000dB,-4.12642736696332e+001°)
5.91974961114652e+002	(-2.36123027543249e+000dB,-4.15104110929398e+001°)
5.96536018163268e+002	(-2.39190202742520e+000dB,-4.17572832599076e+001°)
6.01132217308708e+002	(-2.42291390775074e+000dB,-4.20048823351667e+001°)
6.05763829314295e+002	(-2.45426860876205e+000dB,-4.22532004039755e+001°)
6.10431127029537e+002	(-2.48596883210296e+000dB,-4.25022294753011e+001°)
