Freq.	V(vout)
5.00000000000000e+002	(-2.07279208501240e+000dB,-3.86183345097970e+001°)
5.03852407068052e+002	(-2.10009477248848e+000dB,-3.88525340156608e+001°)
5.07734496216540e+002	(-2.12770678319035e+000dB,-3.90874730017642e+001°)
5.11646496140377e+002	(-2.15563061061374e+000dB,-3.93231436622305e+001°)
5.15588637296528e+002	(-2.18386875355770e+000dB,-3.95595380772888e+001°)
5.19561151917585e+002	(-2.21242371614583e+000dB,-3.97966482152928e+001°)
5.23564274025450e+002	(-2.24129800786239e+000dB,-4.00344659348239e+001°)
5.27598239445121e+002	(-2.27049414360421e+000dB,-4.02729829868788e+001°)
5.31663285818581e+002	(-2.30001464374882e+000dB,-4.05121910171408e+001°)
5.35759652618804e+002	(-2.32986203423981e+000dB,-4.07520815683349e+001°)
5.39887581163855e+002	(-2.36003884668961e+000dB,-4.09926460826668e+001°)
5.44047314631114e+002	(-2.39054761850097e+000dB,-4.12338759043445e+001°)
5.48239098071593e+002	(-2.42139089300733e+000dB,-4.14757622821821e+001°)
5.52463178424380e+002	(-2.45257121963317e+000dB,-4.17182963722862e+001°)
5.56719804531181e+002	(-2.48409115407480e+000dB,-4.19614692408233e+001°)
5.61009227150983e+002	(-2.51595325850253e+000dB,-4.22052718668674e+001°)
5.65331698974820e+002	(-2.54816010178484e+000dB,-4.24496951453281e+001°)
5.69687474640669e+002	(-2.58071425973537e+000dB,-4.26947298899572e+001°)
5.74076810748442e+002	(-2.61361831538340e+000dB,-4.29403668364332e+001°)
5.78499965875106e+002	(-2.64687485926879e+000dB,-4.31865966455234e+001°)
5.82957200589917e+002	(-2.68048648976194e+000dB,-4.34334099063215e+001°)
5.87448777469766e+002	(-2.71445581340973e+000dB,-4.36807971395600e+001°)
5.91974961114652e+002	(-2.74878544530818e+000dB,-4.39287488009970e+001°)
5.96536018163268e+002	(-2.78347800950266e+000dB,-4.41772552848749e+001°)
6.01132217308708e+002	(-2.81853613941648e+000dB,-4.44263069274503e+001°)
6.05763829314295e+002	(-2.85396247830872e+000dB,-4.46758940105941e+001°)
6.10431127029537e+002	(-2.88975967976209e+000dB,-4.49260067654595e+001°)
6.15134385406192e+002	(-2.92593040820179e+000dB,-4.51766353762179e+001°)
6.19873881514473e+002	(-2.96247733944621e+000dB,-4.54277699838592e+001°)
6.24649894559368e+002	(-2.99940316129020e+000dB,-4.56794006900569e+001°)
6.29462705897085e+002	(-3.03671057412214e+000dB,-4.59315175610952e+001°)
6.34312599051631e+002	(-3.07440229157544e+000dB,-4.61841106318569e+001°)
6.39199859731513e+002	(-3.11248104121552e+000dB,-4.64371699098710e+001°)
6.44124775846568e+002	(-3.15094956526322e+000dB,-4.66906853794164e+001°)
6.49087637524926e+002	(-3.18981062135561e+000dB,-4.69446470056828e+001°)
6.54088737130099e+002	(-3.22906698334514e+000dB,-4.71990447389849e+001°)
6.59128369278205e+002	(-3.26872144213815e+000dB,-4.74538685190285e+001°)
6.64206830855327e+002	(-3.30877680657385e+000dB,-4.77091082792283e+001°)
6.69324421034998e+002	(-3.34923590434462e+000dB,-4.79647539510729e+001°)
6.74481441295829e+002	(-3.39010158295884e+000dB,-4.82207954685380e+001°)
6.79678195439265e+002	(-3.43137671074735e+000dB,-4.84772227725440e+001°)
6.84914989607487e+002	(-3.47306417791455e+000dB,-4.87340258154578e+001°)
6.90192132301444e+002	(-3.51516689763531e+000dB,-4.89911945656355e+001°)
6.95509934399028e+002	(-3.55768780719890e+000dB,-4.92487190120051e+001°)
7.00868709173387e+002	(-3.60062986920106e+000dB,-4.95065891686883e+001°)
7.06268772311379e+002	(-3.64399607278552e+000dB,-4.97647950796579e+001°)
7.11710441932173e+002	(-3.68778943493615e+000dB,-5.00233268234303e+001°)
7.17194038605985e+002	(-3.73201300182103e+000dB,-5.02821745177916e+001°)
7.22719885372966e+002	(-3.77666985018984e+000dB,-5.05413283245554e+001°)
7.28288307762231e+002	(-3.82176308882587e+000dB,-5.08007784543503e+001°)
7.33899633811037e+002	(-3.86729586005409e+000dB,-5.10605151714367e+001°)
7.39554194084106e+002	(-3.91327134130672e+000dB,-5.13205287985510e+001°)
7.45252321693101e+002	(-3.95969274674783e+000dB,-5.15808097217755e+001°)
7.50994352316246e+002	(-4.00656332895851e+000dB,-5.18413483954334e+001°)
7.56780624218107e+002	(-4.05388638068415e+000dB,-5.21021353470078e+001°)
7.62611478269512e+002	(-4.10166523664567e+000dB,-5.23631611820826e+001°)
7.68487257967639e+002	(-4.14990327541624e+000dB,-5.26244165893062e+001°)
7.74408309456244e+002	(-4.19860392136535e+000dB,-5.28858923453753e+001°)
7.80374981546059e+002	(-4.24777064667218e+000dB,-5.31475793200394e+001°)
7.86387625735337e+002	(-4.29740697341005e+000dB,-5.34094684811247e+001°)
7.92446596230560e+002	(-4.34751647570409e+000dB,-5.36715508995773e+001°)
7.98552249967305e+002	(-4.39810278196411e+000dB,-5.39338177545255e+001°)
8.04704946631271e+002	(-4.44916957719503e+000dB,-5.41962603383607e+001°)
8.10905048679468e+002	(-4.50072060538695e+000dB,-5.44588700618372e+001°)
8.17152921361572e+002	(-4.55275967198732e+000dB,-5.47216384591913e+001°)
8.23448932741438e+002	(-4.60529064645781e+000dB,-5.49845571932792e+001°)
8.29793453718784e+002	(-4.65831746491822e+000dB,-5.52476180607357e+001°)
8.36186858051043e+002	(-4.71184413288041e+000dB,-5.55108129971533e+001°)
8.42629522375379e+002	(-4.76587472807488e+000dB,-5.57741340822833e+001°)
8.49121826230876e+002	(-4.82041340337313e+000dB,-5.60375735452599e+001°)
8.55664152080894e+002	(-4.87546438980882e+000dB,-5.63011237698490e+001°)
8.62256885335605e+002	(-4.93103199970101e+000dB,-5.65647772997232e+001°)
8.68900414374692e+002	(-4.98712062988294e+000dB,-5.68285268437656e+001°)
8.75595130570233e+002	(-5.04373476503995e+000dB,-5.70923652814038e+001°)
8.82341428309754e+002	(-5.10087898116020e+000dB,-5.73562856679774e+001°)
8.89139705019466e+002	(-5.15855794910238e+000dB,-5.76202812401417e+001°)
8.95990361187671e+002	(-5.21677643828428e+000dB,-5.78843454213109e+001°)
9.02893800388363e+002	(-5.27553932049692e+000dB,-5.81484718271445e+001°)
9.09850429304996e+002	(-5.33485157384853e+000dB,-5.84126542710802e+001°)
9.16860657754446e+002	(-5.39471828684354e+000dB,-5.86768867699194e+001°)
9.23924898711150e+002	(-5.45514466260141e+000dB,-5.89411635494676e+001°)
9.31043568331439e+002	(-5.51613602322083e+000dB,-5.92054790502368e+001°)
9.38217085978048e+002	(-5.57769781429496e+000dB,-5.94698279332154e+001°)
9.45445874244826e+002	(-5.63983560958353e+000dB,-5.97342050857109e+001°)
9.52730358981629e+002	(-5.70255511584832e+000dB,-5.99986056272719e+001°)
9.60070969319406e+002	(-5.76586217785843e+000dB,-6.02630249156990e+001°)
9.67468137695482e+002	(-5.82976278357246e+000dB,-6.05274585531485e+001°)
9.74922299879028e+002	(-5.89426306950502e+000dB,-6.07919023923410e+001°)
9.82433894996739e+002	(-5.95936932628522e+000dB,-6.10563525428813e+001°)
9.90003365558698e+002	(-6.02508800441560e+000dB,-6.13208053777009e+001°)
9.97631157484446e+002	(-6.09142572023993e+000dB,-6.15852575396322e+001°)
1.00531772012925e+003	(-6.15838926212938e+000dB,-6.18497059481273e+001°)
1.01306350631058e+003	(-6.22598559689648e+000dB,-6.21141478061313e+001°)
