frequency;MAG;PHA
720.400397;-4.471075042;-50.89995947
723.0627748;-4.493353545;-51.03057397
725.7349919;-4.518475626;-51.14623142
728.4170847;-4.543856716;-51.25435608
731.1090897;-4.567051737;-51.36370566
733.8110436;-4.591468183;-51.47592327
736.522983;-4.615591225;-51.59201483
739.2449449;-4.640642271;-51.70300661
741.9769663;-4.665262946;-51.81310768
744.7190845;-4.689996917;-51.92269161
747.4713367;-4.714874162;-52.04160558
750.2337603;-4.739004201;-52.15472789
753.006393;-4.764078587;-52.26127528
755.7892725;-4.789140477;-52.36430063
758.5824367;-4.815114927;-52.48881323
761.3859236;-4.840936425;-52.60713253
764.1997712;-4.865250438;-52.70961296
767.024018;-4.889467834;-52.81114468
769.8587023;-4.916008056;-52.93536214
772.7038628;-4.942389121;-53.05169826
775.5595381;-4.975060675;-53.15487579
778.4257671;-5.000816705;-53.26624633
781.3025887;-5.027577237;-53.37839621
784.1900423;-5.052723719;-53.49216353
787.0881669;-5.080148564;-53.60176042
789.9970022;-5.104755941;-53.71409102
792.9165876;-5.131915232;-53.82093974
795.8469629;-5.158957638;-53.9360342
798.7881679;-5.18589;-54.04310888
801.7402427;-5.211207122;-54.16179464
804.7032275;-5.239946593;-54.27067839
807.6771626;-5.265898663;-54.38286133
810.6620884;-5.292049499;-54.49804629
813.6580456;-5.318454504;-54.60553196
816.6650749;-5.34723636;-54.70905485
819.6832173;-5.374934644;-54.82898097
822.7125138;-5.401696681;-54.94620332
825.7530057;-5.443588699;-55.05201654
828.8047342;-5.470187211;-55.17211291
831.867741;-5.499117578;-55.27371546
834.9420678;-5.526053244;-55.38594662
838.0277563;-5.555174177;-55.49964856
841.1248486;-5.582296151;-55.60982547
844.2333867;-5.611797767;-55.72399615
847.3534131;-5.638325709;-55.83076618
850.4849701;-5.667607273;-55.94591375
853.6281004;-5.696476038;-56.05577694
856.7828467;-5.726278505;-56.15544298
859.949252;-5.754754133;-56.28030875
863.1273593;-5.783429553;-56.38757081
866.317212;-5.812066028;-56.49819912
869.5188534;-5.841762183;-56.60440629
872.732327;-5.870678868;-56.71774316
875.9576767;-5.900871982;-56.83517965
879.1949462;-5.930690386;-56.94976266
882.4441797;-5.9591042;-57.05731788
885.7054214;-5.991538218;-57.15684516
888.9787156;-6.027372969;-57.27591359
892.2641069;-6.052222952;-57.3856985
895.56164;-6.090041944;-57.4904684
898.8713597;-6.114432441;-57.60086499
902.1933112;-6.144720284;-57.70962154
905.5275396;-6.185189051;-57.82590741
908.8740902;-6.207613006;-57.94360521
912.2330087;-6.240834274;-58.05765792
915.6043407;-6.271258407;-58.16173015
918.9881321;-6.310045642;-58.26871249
922.384429;-6.335219539;-58.36888314
925.7932775;-6.379224543;-58.49729438
929.214724;-6.42066726;-58.60315439
932.6488152;-6.443873223;-58.70088235
936.0955978;-6.477946796;-58.81949316
939.5551185;-6.510791479;-58.92057074
943.0274246;-6.542993205;-59.0294111
946.5125633;-6.574301057;-59.13807102
950.010582;-6.61738747;-59.24872291
953.5215282;-6.643914048;-59.3594983
957.0454499;-6.685262669;-59.47027739
960.5823948;-6.712020763;-59.58582388
964.1324113;-6.754204561;-59.68424798
967.6955474;-6.780579499;-59.79263926
971.2718519;-6.813509112;-59.90032296
974.8613733;-6.846248174;-60.00922206
978.4641604;-6.873414011;-60.11703309
982.0802623;-6.914269788;-60.22749767
985.7097282;-6.942030842;-60.33289046
989.3526075;-6.983693084;-60.43452065
993.0089498;-7.011700661;-60.54650777
996.6788048;-7.05580608;-60.65869279
1000.362222;-7.0832619;-60.77877781
1004.059253;-7.126057706;-60.88329166
1007.769946;-7.153743318;-60.97709664
1011.494353;-7.197762858;-61.08868792
1015.232525;-7.226173979;-61.19468614
1018.984511;-7.269130542;-61.29678372
1022.750364;-7.299161238;-61.41708918
1026.530134;-7.343627528;-61.51689322
1030.323873;-7.373871519;-61.6203302
1034.131632;-7.433091743;-61.72629879
1037.953464;-7.463044459;-61.83668513
1041.78942;-7.509027304;-61.92930206
1045.639553;-7.546559847;-62.04183652
1049.503914;-7.58365713;-62.14101955
1053.382557;-7.622443072;-62.26506347
1057.275534;-7.661384689;-62.35553314
1061.182899;-7.697572761;-62.45171525
1065.104704;-7.730330938;-62.56368352
1069.041002;-7.775702517;-62.67283496
1072.991848;-7.8132823;-62.77192796
1076.957295;-7.846199928;-62.87980268
1080.937398;-7.892789214;-62.98013331
1084.932209;-7.933046771;-63.0852586
1088.941784;-7.922843148;-63.190919
1092.966177;-7.955382764;-63.30013371
1097.005443;-8.003905799;-63.39011071
1101.059637;-8.045163592;-63.50902339
1105.128814;-8.085576461;-63.60680796
1109.21303;-8.125032116;-63.70836872
1113.312339;-8.166422866;-63.82112294
1117.426798;-8.205882132;-63.91711594
1121.556463;-8.250593839;-64.00680546
1125.70139;-8.290552669;-64.11611766
1129.861636;-8.331191892;-64.2080561
1134.037256;-8.375899256;-64.3251996
1138.228308;-8.416701975;-64.41274778
1142.434849;-8.459656013;-64.52845593
1146.656936;-8.501973542;-64.62031937
1150.894627;-8.549170026;-64.71576784
1155.147978;-8.589096091;-64.81657806
1159.417049;-8.670756028;-64.92647749
1163.701897;-8.713518154;-65.02829491
1168.002581;-8.758105169;-65.12431432
1172.319158;-8.802358295;-65.22673232
1176.651688;-8.848915709;-65.32531201
1181.00023;-8.892198379;-65.41839187
1185.364843;-8.938373739;-65.51766966
1189.745586;-8.979986403;-65.62776656
1194.142519;-9.025788452;-65.718172
1198.555702;-9.074392164;-65.80268695
1202.985194;-9.119235148;-65.90351186
1207.431057;-9.16423136;-66.00715072
1211.89335;-9.209953928;-66.1073749
1216.372134;-9.220380797;-66.20149572
1220.86747;-9.267465286;-66.29988491
1225.37942;-9.312013392;-66.39324029
1229.908045;-9.363270415;-66.4961522
1234.453406;-9.407317076;-66.57356355
1239.015565;-9.456910864;-66.68375227
1243.594585;-9.507542596;-66.78466644
1248.190527;-9.554571297;-66.85401577
1252.803454;-9.603425713;-66.95551123
1257.43343;-9.652937667;-67.05404971
1262.080516;-9.701343322;-67.15582825
1266.744777;-9.751532333;-67.23782677
1271.426275;-9.799882235;-67.32863763
1276.125074;-9.849209497;-67.43536443
1280.841239;-9.903416186;-67.50952122
1285.574834;-9.949799142;-67.61610112
1290.325922;-10.00459412;-67.72272049
1295.094569;-10.11953844;-67.80812201
1299.880839;-10.17363942;-67.86852288
1304.684798;-10.22691749;-67.98412579
1309.506511;-10.27877204;-68.06086658
1314.346043;-10.33164907;-68.172642
1319.203461;-10.38541474;-68.24322566
1324.07883;-10.43986546;-68.3183791
1328.972218;-10.49183975;-68.42974069
1333.883689;-10.54568328;-68.5087055
1338.813312;-10.59962011;-68.59827029
1343.761154;-10.65227658;-68.70261803
1348.727281;-10.71019765;-68.78438735
1353.711761;-10.76394397;-68.86542248
1358.714662;-10.79239807;-68.93476588
1363.736053;-10.84722728;-69.01296018
1368.776001;-10.90342507;-69.12333271
1373.834575;-10.96160055;-69.20621569
1378.911844;-11.01806803;-69.29600141
