frequency;MAG;PHA
1000;-0.043388627;-3.615535977
1013.911386;-0.044595253;-3.673784233
1028.016298;-0.045349918;-3.723206793
1042.317429;-0.045694392;-3.78366184
1056.817509;-0.047441621;-3.820286501
1071.519305;-0.04731727;-3.865719606
1086.425624;-0.048426844;-3.93052693
1101.53931;-0.049701693;-3.978150973
1116.863248;-0.050167383;-4.041423535
1132.400363;-0.05211578;-4.08680269
1148.153621;-0.053324565;-4.14231456
1164.126029;-0.052840326;-4.194542415
1180.320636;-0.055379227;-4.254816499
1196.740531;-0.056863679;-4.30841236
1213.38885;-0.057931194;-4.367768226
1230.268771;-0.058344991;-4.425431459
1247.383514;-0.059824633;-4.487982562
1264.736347;-0.060579516;-4.541939653
1282.330583;-0.062269592;-4.605714457
1300.169578;-0.06300195;-4.67166845
1318.256739;-0.064497191;-4.732860015
1336.595517;-0.065809037;-4.796773039
1355.189412;-0.0687996;-4.857329514
1374.041975;-0.068552047;-4.918557224
1393.156803;-0.070546969;-4.984675653
1412.537545;-0.072801469;-5.052303914
1432.187899;-0.073092278;-5.111401449
1452.111618;-0.07472539;-5.188071984
1472.312502;-0.076465947;-5.252869715
1492.79441;-0.078295672;-5.328872871
1513.561248;-0.078325723;-5.39352825
1534.616983;-0.081006471;-5.468729582
1555.965632;-0.082069743;-5.543048115
1577.61127;-0.083878067;-5.617691147
1599.558029;-0.084785729;-5.68423344
1621.810097;-0.088294639;-5.765680419
1644.371723;-0.088834981;-5.837584623
1667.247213;-0.090796355;-5.919252123
1690.440932;-0.09255172;-5.990975784
1713.957308;-0.094438468;-6.067207477
1737.800829;-0.097393628;-6.156323539
1761.976046;-0.098449342;-6.234305338
1786.487575;-0.100129709;-6.317902644
1811.340093;-0.102109903;-6.39731768
1836.538343;-0.104995738;-6.490313701
1862.087137;-0.106193677;-6.564966243
1887.991349;-0.110178857;-6.661622567
1914.255925;-0.111465648;-6.752760793
1940.885878;-0.113567045;-6.825850017
1967.88629;-0.114688461;-6.92462819
1995.262315;-0.117304161;-7.011914243
2023.019179;-0.119780936;-7.108268987
2051.162179;-0.121756207;-7.208427513
2079.696687;-0.124529309;-7.307533625
2108.62815;-0.128402133;-7.400622319
2137.96209;-0.129619445;-7.493096192
2167.704105;-0.134422661;-7.585177164
2197.859873;-0.13575222;-7.696469539
2228.435149;-0.138009228;-7.786842389
2259.43577;-0.140869958;-7.898721414
2290.867653;-0.142532365;-7.998610553
2322.736796;-0.147165059;-8.110349703
2355.049284;-0.149500158;-8.213816975
2387.811283;-0.152585201;-8.329832425
2421.029047;-0.156431138;-8.435034762
2454.708916;-0.157112374;-8.540224733
2488.857318;-0.160374849;-8.664461005
2523.480772;-0.165691448;-8.767480776
2558.585887;-0.168614759;-8.8877662
2594.179362;-0.171921342;-8.999416982
2630.267992;-0.175626797;-9.121719427
2666.858665;-0.17771094;-9.246448515
2703.958364;-0.183954351;-9.366860991
2741.574172;-0.185982859;-9.480564756
2779.713268;-0.191559527;-9.610446367
2818.382931;-0.193679319;-9.733661386
2857.590543;-0.196740446;-9.866857485
2897.343588;-0.201548631;-9.990214002
2937.649652;-0.204670368;-10.12439515
2978.516429;-0.210783211;-10.2617472
3019.95172;-0.213806193;-10.3933616
3061.963434;-0.219963322;-10.5365738
3104.559588;-0.224312835;-10.66696121
3147.748314;-0.229392521;-10.80567996
3191.537855;-0.233714603;-10.9531389
3235.936569;-0.237347765;-11.09672827
3280.952931;-0.244006468;-11.23872711
3326.595533;-0.248137288;-11.384867
3372.873087;-0.253703214;-11.54509604
3419.794425;-0.25841452;-11.68738419
3467.368505;-0.2650976;-11.85037043
3515.604405;-0.271558206;-11.99824738
3564.511334;-0.275503806;-12.16196425
3614.098626;-0.283393121;-12.32101841
3664.375746;-0.288108952;-12.47211767
3715.352291;-0.295540211;-12.64178656
3767.03799;-0.301417099;-12.80198225
3819.442708;-0.307173626;-12.9752164
3872.576449;-0.312560444;-13.14335042
3926.449354;-0.320376944;-13.31619656
3981.071706;-0.328043501;-13.49172493
4036.45393;-0.334601725;-13.65896841
4092.606597;-0.341130537;-13.84187145
4149.540426;-0.348312954;-14.01882447
4207.266284;-0.356592033;-14.19995258
4265.795188;-0.364934102;-14.38500072
4325.13831;-0.37331152;-14.57822431
4385.306978;-0.382064958;-14.76376305
4446.312675;-0.389750944;-14.9632871
4508.167045;-0.398623379;-15.15419282
4570.881896;-0.407771994;-15.34605858
4634.469197;-0.415460932;-15.54063356
4698.941086;-0.425321262;-15.74637027
4764.309868;-0.435472576;-15.95295223
4830.58802;-0.443267047;-16.15234508
4897.788194;-0.452915279;-16.35101563
4965.923215;-0.464431557;-16.56501419
5035.006088;-0.474321704;-16.7736001
5105.05;-0.485335362;-16.99421718
5176.06832;-0.496391794;-17.21475416
5248.074602;-0.506552614;-17.43300639
5321.082593;-0.520049535;-17.6522136
5395.106225;-0.53114341;-17.87635255
5470.159629;-0.542140079;-18.10948235
5546.25713;-0.554031829;-18.32970552
5623.413252;-0.568438156;-18.55973339
5701.642723;-0.579471743;-18.8011062
5780.960474;-0.593100589;-19.04516348
5861.381645;-0.607923421;-19.26393883
5942.921586;-0.619849062;-19.51387238
6025.595861;-0.633606331;-19.77160323
6109.420249;-0.65004383;-20.02097428
6194.410751;-0.665546521;-20.27296734
6280.583588;-0.680097552;-20.51106401
6367.955209;-0.695106888;-20.76872643
6456.54229;-0.710583085;-21.02117516
6546.361741;-0.728721965;-21.28479624
6637.430704;-0.743185162;-21.55708461
6729.766563;-0.760791242;-21.81120378
6823.386941;-0.777261334;-22.08064313
6918.309709;-0.796980388;-22.35153946
7014.552984;-0.814872563;-22.63586074
7112.135137;-0.832835607;-22.91072627
7211.074792;-0.851605694;-23.18115379
7311.390835;-0.87258091;-23.47298217
7413.102413;-0.891549782;-23.7557494
7516.22894;-0.911479721;-24.03457401
7620.7901;-0.930331685;-24.32609423
7726.805851;-0.953366348;-24.61130471
7834.296428;-0.976229768;-24.91843138
7943.282347;-0.998547714;-25.21819788
8053.784412;-1.021975733;-25.5147594
8165.823714;-1.044171062;-25.8091339
8279.421637;-1.067966564;-26.11188235
8394.599865;-1.092031416;-26.41703975
8511.380382;-1.115175267;-26.73029882
8629.785478;-1.141019069;-27.03617054
8749.837752;-1.167284559;-27.37204411
8871.56012;-1.192096547;-27.67616388
8994.975815;-1.217934684;-28.00219361
9120.108394;-1.245540018;-28.32479768
9246.981739;-1.274070113;-28.63190371
9375.620069;-1.307016096;-28.96336122
9506.047937;-1.332338947;-29.2939365
9638.290236;-1.363518311;-29.61483403
9772.37221;-1.393500637;-29.96095447
9908.319449;-1.424077379;-30.28751389
10046.1579;-1.455482496;-30.62688762
10185.91388;-1.484006475;-30.97706107
10327.61406;-1.516614645;-31.32278373
10471.28548;-1.551687762;-31.64718443
10616.95557;-1.585686402;-32.00606529
10764.65214;-1.621036506;-32.34648416
10914.40336;-1.655558152;-32.72189618
11066.23784;-1.692303027;-33.05839046
11220.18454;-1.729913306;-33.4142351
11376.27286;-1.7623728;-33.75709608
11534.53258;-1.803113561;-34.12297111
11694.99391;-1.84200702;-34.48681377
11857.68748;-1.882018902;-34.83406791
12022.64435;-1.921088708;-35.19597734
12189.89599;-1.960541799;-35.56447173
12359.47433;-2.003426737;-35.92711838
12531.41175;-2.043222168;-36.29764411
12705.74105;-2.089520872;-36.68808806
12882.49552;-2.132747657;-37.00171777
13061.70888;-2.177016544;-37.41780192
13243.41535;-2.221111801;-37.80579732
13427.64961;-2.266454187;-38.14563965
13614.44682;-2.314147005;-38.51837766
13803.84265;-2.361181519;-38.90160341
13995.87323;-2.409360564;-39.26349764
14190.57522;-2.457905101;-39.6287696
14387.98578;-2.507264038;-40.04768739
14588.1426;-2.55742302;-40.40322865
14791.08388;-2.607606935;-40.79763637
14996.84836;-2.659497762;-41.17545183
15205.4753;-2.710850852;-41.56521188
15417.00453;-2.764609935;-41.91590871
15631.47643;-2.823919908;-42.29472383
15848.93192;-2.874430752;-42.67527087
16069.41253;-2.93336982;-43.08985606
16292.96033;-2.985875339;-43.48070121
16519.61798;-3.048730623;-43.81895331
16749.42876;-3.104504927;-44.19989453
16982.43652;-3.165409638;-44.59208619
17218.68575;-3.225178034;-44.96659696
17458.22153;-3.277993065;-45.37085515
17701.08958;-3.342591686;-45.74583386
17947.33627;-3.405924208;-46.13766455
18197.00859;-3.473298878;-46.49759713
18450.15419;-3.531509575;-46.85668725
18706.8214;-3.604534398;-47.30091826
18967.05921;-3.660655955;-47.62448186
19230.91729;-3.728150272;-48.0260752
19498.446;-3.796006133;-48.36656895
19769.6964;-3.862063222;-48.75334513
20044.72027;-3.925944275;-49.13450032
20323.57011;-4.002944049;-49.54775843
20606.29913;-4.067094816;-49.84756508
20892.96131;-4.13759852;-50.25186237
21183.61135;-4.224143981;-50.63807894
21478.30474;-4.295329829;-51.05115876
21777.09772;-4.367410992;-51.44897488
22080.04733;-4.442777527;-51.84267202
22387.21139;-4.520764616;-52.17915827
22698.64852;-4.586108705;-52.51896637
23014.41817;-4.6606309;-52.93821051
23334.58062;-4.736723088;-53.21181821
23659.19697;-4.81278655;-53.61649609
