#Digilent WaveForms Oscilloscope Acquisition
#Device Name: EExplorer
#Serial Number: SN:210151AA5B7E
#Date Time: 2020-08-24 01:50:26.996
#Sample rate: 2e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 2 V/div Offset: 0 V Attenuation: 1 X
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Square
#Frequency: 8 kHz
#Period: 125 us
#Amplitude: 6 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.0002047525916743542,-6.061458896654869,-3.96656389129
-0.0002047025916743542,6.015884313081894,5.825617594000731
-0.0002046525916743542,6.037684571583224,5.825617594000731
-0.0002046025916743542,6.037684571583224,5.825617594000731
-0.0002045525916743542,6.037684571583224,5.825617594000731
-0.0002045025916743542,6.015884313081904,5.825617594000731
-0.0002044525916743542,6.015884313081894,5.825617594000731
-0.0002044025916743542,6.037684571583224,5.825617594000731
-0.0002043525916743542,6.037684571583224,5.825617594000731
-0.0002043025916743542,6.037684571583224,5.825617594000731
-0.0002042525916743542,6.037684571583224,5.825617594000731
-0.0002042025916743542,6.037684571583224,5.825617594000731
-0.0002041525916743542,6.037684571583224,5.825617594000731
-0.0002041025916743542,6.037684571583224,5.825617594000731
-0.0002040525916743542,6.015884313081894,5.825617594000731
-0.0002040025916743542,6.037684571583224,5.825617594000731
-0.0002039525916743542,6.015884313081894,5.825617594000731
-0.0002039025916743542,6.015884313081894,5.825617594000731
-0.0002038525916743542,6.015884313081894,5.825617594000731
-0.0002038025916743542,6.015884313081894,5.845849373929017
-0.0002037525916743542,6.015884313081894,5.825617594000731
-0.0002037025916743542,6.015884313081894,5.825617594000731
-0.0002036525916743542,6.015884313081894,5.825617594000731
-0.0002036025916743542,6.015884313081894,5.845849373929017
-0.0002035525916743542,6.015884313081894,5.825617594000731
-0.0002035025916743542,6.015884313081904,5.82561759400074
-0.0002034525916743542,6.037684571583214,5.845849373929008
-0.0002034025916743542,6.037684571583224,5.845849373929017
-0.0002033525916743542,6.037684571583224,5.825617594000731
-0.0002033025916743542,6.037684571583224,5.825617594000731
-0.0002032525916743542,6.037684571583224,5.825617594000731
-0.0002032025916743542,6.037684571583224,5.845849373929017
-0.0002031525916743542,6.015884313081894,5.845849373929017
-0.0002031025916743542,6.015884313081894,5.825617594000731
-0.0002030525916743542,6.015884313081894,5.845849373929017
-0.0002030025916743542,6.015884313081894,5.825617594000731
-0.0002029525916743542,6.015884313081894,5.845849373929017
-0.0002029025916743542,6.015884313081894,5.845849373929017
-0.0002028525916743542,6.015884313081894,5.845849373929017
-0.0002028025916743542,6.015884313081894,5.845849373929017
-0.0002027525916743542,6.015884313081894,5.845849373929017
-0.0002027025916743542,6.015884313081894,5.845849373929017
-0.0002026525916743542,6.015884313081894,5.845849373929017
-0.0002026025916743542,6.015884313081894,5.845849373929017
-0.0002025525916743542,6.037684571583224,5.845849373929017
-0.0002025025916743542,6.037684571583224,5.845849373929017
-0.0002024525916743542,6.037684571583224,5.845849373929017
-0.0002024025916743542,6.037684571583224,5.845849373929017
-0.0002023525916743542,6.037684571583224,5.845849373929017
-0.0002023025916743542,6.037684571583224,5.845849373929017
-0.0002022525916743542,6.037684571583224,5.845849373929017
-0.0002022025916743542,6.015884313081894,5.866081153857304
-0.0002021525916743542,6.015884313081894,5.845849373929017
-0.0002021025916743542,6.037684571583224,5.866081153857304
-0.0002020525916743542,6.015884313081894,5.866081153857304
-0.0002020025916743542,6.015884313081894,5.845849373929017
-0.0002019525916743542,6.015884313081894,5.866081153857304
-0.0002019025916743542,6.015884313081894,5.866081153857304
-0.0002018525916743542,6.015884313081894,5.845849373929017
-0.0002018025916743542,6.015884313081894,5.845849373929017
-0.0002017525916743542,6.015884313081894,5.866081153857304
-0.0002017025916743542,6.015884313081894,5.866081153857304
-0.0002016525916743542,6.015884313081894,5.866081153857304
-0.0002016025916743542,6.015884313081894,5.866081153857304
-0.0002015525916743542,6.037684571583224,5.866081153857304
-0.0002015025916743542,6.037684571583224,5.866081153857304
-0.0002014525916743542,6.037684571583224,5.866081153857304
-0.0002014025916743542,6.037684571583224,5.866081153857304
-0.0002013525916743542,6.037684571583224,5.866081153857304
-0.0002013025916743542,6.015884313081894,5.866081153857304
-0.0002012525916743542,6.015884313081904,5.866081153857304
-0.0002012025916743542,6.037684571583214,5.866081153857304
-0.0002011525916743542,6.015884313081904,5.866081153857304
-0.0002011025916743542,6.015884313081894,5.866081153857304
-0.0002010525916743542,6.015884313081894,5.866081153857304
-0.0002010025916743542,6.037684571583224,5.866081153857304
-0.0002009525916743542,6.015884313081894,5.866081153857304
-0.0002009025916743542,6.015884313081894,5.866081153857304
-0.0002008525916743542,6.015884313081894,5.866081153857304
-0.0002008025916743542,6.015884313081894,5.866081153857304
-0.0002007525916743542,6.015884313081894,5.866081153857304
-0.0002007025916743542,6.015884313081894,5.866081153857304
-0.0002006525916743542,6.037684571583224,5.866081153857304
-0.0002006025916743542,6.037684571583224,5.866081153857304
-0.0002005525916743542,6.037684571583224,5.866081153857304
-0.0002005025916743542,6.037684571583224,5.866081153857304
-0.0002004525916743542,6.037684571583224,5.866081153857304
-0.0002004025916743542,6.037684571583224,5.866081153857304
-0.0002003525916743542,6.037684571583224,5.88631293378559
-0.0002003025916743542,6.037684571583224,5.88631293378559
