-9;-9.0531;-7.798;;;;;;
-8;-8.0516;-6.947;;;;;;
-7;-7.0301;-6.0761;;;;;;
-6;-6.0087;-5.2053;;;;;;
-5;-5.0072;-4.2949;;;-9.00E+00;-7.79E+00;-9.00E+00;-7.79E+00
-4;-4.0058;-3.4438;;;-8.90E+00;-7.71E+00;-9,-8.9;-7.794368,-7.70776
-3;-2.9843;-2.573;;;-8.80E+00;-7.62E+00;-9,-8.9,-8.8;-7.794368,-7.70776,-7.621151
-2.5;-2.4836;-2.1573;;;-8.70E+00;-7.53E+00;-9,-8.9,-8.8,-8.7;-7.794368,-7.70776,-7.621151,-7.534543
-2;-1.9997;-1.7311;;;-8.60E+00;-7.45E+00;-9,-8.9,-8.8,-8.7,-8.6;-7.794368,-7.70776,-7.621151,-7.534543,-7.447935
-1.75;-1.7497;-1.5148;;;-8.50E+00;-7.36E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5;-7.794368,-7.70776,-7.621151,-7.534543,-7.447935,-7.361326
-1.5;-1.4998;-1.2984;;;-8.40E+00;-7.27E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4;-7.794368,-7.70776,-7.621151,-7.534543,-7.447935,-7.361326,-7.274718
-1.25;-1.2554;-1.082;;;-8.30E+00;-7.19E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3;-7.794368,-7.70776,-7.621151,-7.534543,-7.447935,-7.361326,-7.274718,-7.188109
-1;-0.99429;-0.86557;;;-8.20E+00;-7.10E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2;-7.794368,-7.70776,-7.621151,-7.534543,-7.447935,-7.361326,-7.274718,-7.188109,-7.101501
-0.75;-0.74989;-0.6439;;;-8.10E+00;-7.01E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1;-7.794368,-7.70776,-7.621151,-7.534543,-7.447935,-7.361326,-7.274718,-7.188109,-7.101501,-7.014893
-0.5;-0.49437;-0.42751;;;-8.00E+00;-6.93E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8;-7.794368,-7.70776,-7.621151,-7.534543,-7.447935,-7.361326,-7.274718,-7.188109,-7.101501,-7.014893,-6.928285
-0.25;-0.24296;-0.20949;;;-7.90E+00;-6.84E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9;-7.794368,-7.70776,-7.621151,-7.534543,-7.447935,-7.361326,-7.274718,-7.188109,-7.101501,-7.014893,-6.928285,-6.841676
-0.1;-0.096974;-0.078828;;;-7.80E+00;-6.76E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8;-7.794368,-7.70776,-7.621151,-7.534543,-7.447935,-7.361326,-7.274718,-7.188109,-7.101501,-7.014893,-6.928285,-6.841676,-6.755068
0;0.0010846;0.0053992;;;-7.70E+00;-6.67E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7;-7.794368,-7.70776,-7.621151,-7.534543,-7.447935,-7.361326,-7.274718,-7.188109,-7.101501,-7.014893,-6.928285,-6.841676,-6.755068,-6.668459
0.1;0.09363;0.075588;;;-7.60E+00;-6.58E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6;-7.794368,-7.70776,-7.621151,-7.534543,-7.447935,-7.361326,-7.274718,-7.188109,-7.101501,-7.014893,-6.928285,-6.841676,-6.755068,-6.668459,-6.581851
0.25;0.24621;0.21057;;;-7.50E+00;-6.50E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5;-7.794368,-7.70776,-7.621151,-7.534543,-7.447935,-7.361326,-7.274718,-7.188109,-7.101501,-7.014893,-6.928285,-6.841676,-6.755068,-6.668459,-6.581851,-6.495243
0.5;0.49542;0.42314;;;-7.40E+00;-6.41E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4;-7.794368,-7.70776,-7.621151,-7.534543,-7.447935,-7.361326,-7.274718,-7.188109,-7.101501,-7.014893,-6.928285,-6.841676,-6.755068,-6.668459,-6.581851,-6.495243,-6.408634
0.75;0.74835;0.6412;;;-7.30E+00;-6.32E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3;-7.794368,-7.70776,-7.621151,-7.534543,-7.447935,-7.361326,-7.274718,-7.188109,-7.101501,-7.014893,-6.928285,-6.841676,-6.755068,-6.668459,-6.581851,-6.495243,-6.408634,-6.322026
