Freq.	V(vout)
1.00000000000000e+005	(-1.24907466128552e+000dB,-6.37503159561872e+000°)
1.02329299228075e+005	(-1.24909444820236e+000dB,-6.52414792539348e+000°)
1.04712854805090e+005	(-1.24911595091689e+000dB,-6.67678191627146e+000°)
1.07151930523761e+005	(-1.24913932584780e+000dB,-6.83301864310878e+000°)
1.09647819614319e+005	(-1.24916474407254e+000dB,-6.99294538314859e+000°)
1.12201845430196e+005	(-1.24919239272083e+000dB,-7.15665168265350e+000°)
1.14815362149688e+005	(-1.24922247650133e+000dB,-7.32422942612959e+000°)
1.17489755493953e+005	(-1.24925521937465e+000dB,-7.49577290827056e+000°)
1.20226443461741e+005	(-1.24929086638638e+000dB,-7.67137890875643e+000°)
1.23026877081238e+005	(-1.24932968567576e+000dB,-7.85114677004854e+000°)
1.25892541179417e+005	(-1.24937197067681e+000dB,-8.03517847833040e+000°)
1.28824955169313e+005	(-1.24941804253007e+000dB,-8.22357874775171e+000°)
1.31825673855641e+005	(-1.24946825272570e+000dB,-8.41645510814121e+000°)
1.34896288259165e+005	(-1.24952298599964e+000dB,-8.61391799636240e+000°)
1.38038426460288e+005	(-1.24958266350735e+000dB,-8.81608085149544e+000°)
1.41253754462275e+005	(-1.24964774630168e+000dB,-9.02306021403735e+000°)
1.44543977074593e+005	(-1.24971873914400e+000dB,-9.23497582932274e+000°)
1.47910838816821e+005	(-1.24979619468055e+000dB,-9.45195075537627e+000°)
1.51356124843621e+005	(-1.24988071801903e+000dB,-9.67411147541927e+000°)
1.54881661891248e+005	(-1.24997297174360e+000dB,-9.90158801526224e+000°)
1.58489319246111e+005	(-1.25007368141047e+000dB,-1.01345140658260e+001°)
1.62181009735893e+005	(-1.25018364156987e+000dB,-1.03730271110450e+001°)
1.65958690743756e+005	(-1.25030372236481e+000dB,-1.06172685614160e+001°)
1.69824365246174e+005	(-1.25043487676175e+000dB,-1.08673838934680e+001°)
1.73780082874937e+005	(-1.25057814847338e+000dB,-1.11235227954370e+001°)
1.77827941003892e+005	(-1.25073468063981e+000dB,-1.13858393194423e+001°)
1.81970085860998e+005	(-1.25090572534017e+000dB,-1.16544920404684e+001°)
1.86208713666287e+005	(-1.25109265401390e+000dB,-1.19296442224679e+001°)
1.90546071796325e+005	(-1.25129696887817e+000dB,-1.22114639919077e+001°)
1.94984459975804e+005	(-1.25152031543616e+000dB,-1.25001245190896e+001°)
1.99526231496888e+005	(-1.25176449617967e+000dB,-1.27958042075810e+001°)
2.04173794466953e+005	(-1.25203148559926e+000dB,-1.30986868920976e+001°)
2.08929613085404e+005	(-1.25232344662556e+000dB,-1.34089620451809e+001°)
2.13796208950223e+005	(-1.25264274863718e+000dB,-1.37268249930153e+001°)
2.18776162394955e+005	(-1.25299198718254e+000dB,-1.40524771407237e+001°)
2.23872113856834e+005	(-1.25337400557710e+000dB,-1.43861262074774e+001°)
2.29086765276777e+005	(-1.25379191855200e+000dB,-1.47279864717414e+001°)
2.34422881531992e+005	(-1.25424913814599e+000dB,-1.50782790269646e+001°)
2.39883291901949e+005	(-1.25474940205022e+000dB,-1.54372320479980e+001°)
2.45470891568503e+005	(-1.25529680463405e+000dB,-1.58050810684974e+001°)
2.51188643150958e+005	(-1.25589583090049e+000dB,-1.61820692695297e+001°)
2.57039578276886e+005	(-1.25655139364189e+000dB,-1.65684477795539e+001°)
2.63026799189538e+005	(-1.25726887409031e+000dB,-1.69644759858899e+001°)
2.69153480392691e+005	(-1.25805416638252e+000dB,-1.73704218577154e+001°)
2.75422870333816e+005	(-1.25891372618689e+000dB,-1.77865622805484e+001°)
2.81838293126445e+005	(-1.25985462386933e+000dB,-1.82131834020626e+001°)
2.88403150312660e+005	(-1.26088460260643e+000dB,-1.86505809889641e+001°)
2.95120922666638e+005	(-1.26201214188802e+000dB,-1.90990607945063e+001°)
3.01995172040201e+005	(-1.26324652688656e+000dB,-1.95589389360491e+001°)
3.09029543251359e+005	(-1.26459792420924e+000dB,-2.00305422818588e+001°)
3.16227766016838e+005	(-1.26607746458769e+000dB,-2.05142088461123e+001°)
3.23593656929628e+005	(-1.26769733310262e+000dB,-2.10102881907837e+001°)
3.31131121482591e+005	(-1.26947086758369e+000dB,-2.15191418327720e+001°)
3.38844156139202e+005	(-1.27141266587014e+000dB,-2.20411436542522e+001°)
3.46736850452531e+005	(-1.27353870266359e+000dB,-2.25766803137998e+001°)
3.54813389233575e+005	(-1.27586645675089e+000dB,-2.31261516553415e+001°)
3.63078054770101e+005	(-1.27841504942178e+000dB,-2.36899711114170e+001°)
3.71535229097172e+005	(-1.28120539495155e+000dB,-2.42685660965844e+001°)
3.80189396320561e+005	(-1.28426036406229e+000dB,-2.48623783860605e+001°)
3.89045144994280e+005	(-1.28760496131733e+000dB,-2.54718644738470e+001°)
3.98107170553497e+005	(-1.29126651743816e+000dB,-2.60974959036393e+001°)
4.07380277804112e+005	(-1.29527489756210e+000dB,-2.67397595647425e+001°)
4.16869383470335e+005	(-1.29966272647742e+000dB,-2.73991579440093e+001°)
4.26579518801592e+005	(-1.30446563187971e+000dB,-2.80762093234660e+001°)
4.36515832240165e+005	(-1.30972250668347e+000dB,-2.87714479117888e+001°)
4.46683592150962e+005	(-1.31547579139367e+000dB,-2.94854238961202e+001°)
4.57088189614874e+005	(-1.32177177748691e+000dB,-3.02187033988778e+001°)
4.67735141287197e+005	(-1.32866093266702e+000dB,-3.09718683221898e+001°)
4.78630092322637e+005	(-1.33619824873582e+000dB,-3.17455160603930e+001°)
4.89778819368445e+005	(-1.34444361265192e+000dB,-3.25402590586582e+001°)
5.01187233627271e+005	(-1.35346220112779e+000dB,-3.33567241932659e+001°)
5.12861383991364e+005	(-1.36332489882850e+000dB,-3.41955519463700e+001°)
5.24807460249771e+005	(-1.37410873987470e+000dB,-3.50573953452746e+001°)
5.37031796370251e+005	(-1.38589737190384e+000dB,-3.59429186333697e+001°)
5.49540873857623e+005	(-1.39878154139638e+000dB,-3.68527956369605e+001°)
5.62341325190348e+005	(-1.41285959831250e+000dB,-3.77877077893907e+001°)
5.75439937337156e+005	(-1.42823801729787e+000dB,-3.87483417711789e+001°)
5.88843655355588e+005	(-1.44503193178898e+000dB,-3.97353867225117e+001°)
6.02559586074356e+005	(-1.46336567626903e+000dB,-4.07495309825210e+001°)
6.16595001861481e+005	(-1.48337333068242e+000dB,-4.17914583085251e+001°)
6.30957344480192e+005	(-1.50519925960451e+000dB,-4.28618435280720e+001°)
6.45654229034654e+005	(-1.52899863718010e+000dB,-4.39613475774702e+001°)
6.60693448007594e+005	(-1.55493794709637e+000dB,-4.50906118828691e+001°)
6.76082975391980e+005	(-1.58319544495637e+000dB,-4.62502520442026e+001°)
6.91830970918935e+005	(-1.61396156839762e+000dB,-4.74408507888672e+001°)
7.07945784384136e+005	(-1.64743927819610e+000dB,-4.86629501712674e+001°)
7.24435960074988e+005	(-1.68384431147186e+000dB,-4.99170430067883e+001°)
7.41310241300916e+005	(-1.72340532604882e+000dB,-5.12035635447378e+001°)
7.58577575029182e+005	(-1.76636391312439e+000dB,-5.25228774047205e+001°)
7.76247116628690e+005	(-1.81297445380433e+000dB,-5.38752708250188e+001°)
7.94328234724279e+005	(-1.86350379391228e+000dB,-5.52609392999862e+001°)
8.12830516164097e+005	(-1.91823071097121e+000dB,-5.66799757161139e+001°)
8.31763771102669e+005	(-1.97744514757650e+000dB,-5.81323581329439e+001°)
8.51138038202374e+005	(-2.04144718674744e+000dB,-5.96179373946548e+001°)
8.70963589956078e+005	(-2.11054574746763e+000dB,-6.11364247998236e+001°)
8.91250938133743e+005	(-2.18505698269714e+000dB,-6.26873800989664e+001°)
9.12010839355907e+005	(-2.26530236781624e+000dB,-6.42702001299372e+001°)
9.33254300796989e+005	(-2.35160647483468e+000dB,-6.58841084375575e+001°)
9.54992586021433e+005	(-2.44429443677461e+000dB,-6.75281462530376e+001°)
9.77237220955808e+005	(-2.54368911729837e+000dB,-6.92011652276012e+001°)
9.99999999999997e+005	(-2.65010801265095e+000dB,-7.09018223199564e+001°)
1.02329299228075e+006	(-2.76385992591765e+000dB,-7.26285772257500e+001°)
1.04712854805090e+006	(-2.88524146689429e+000dB,-7.43796927063029e+001°)
1.07151930523760e+006	(-3.01453344382104e+000dB,-7.61532381220058e+001°)
1.09647819614318e+006	(-3.15199722501617e+000dB,-7.79470964022447e+001°)
1.12201845430196e+006	(-3.29787115817292e+000dB,-7.97589745896067e+001°)
1.14815362149688e+006	(-3.45236714186885e+000dB,-8.15864179841131e+001°)
1.17489755493953e+006	(-3.61566744688676e+000dB,-8.34268277878320e+001°)
1.20226443461741e+006	(-3.78792188364300e+000dB,-8.52774820175613e+001°)
1.23026877081238e+006	(-3.96924540600501e+000dB,-8.71355593207705e+001°)
1.25892541179416e+006	(-4.15971623102436e+000dB,-8.89981652058325e+001°)
1.28824955169313e+006	(-4.35937453894654e+000dB,-9.08623600899907e+001°)
1.31825673855640e+006	(-4.56822179897738e+000dB,-9.27251884850395e+001°)
1.34896288259165e+006	(-4.78622074470525e+000dB,-9.45837085874100e+001°)
1.38038426460288e+006	(-5.01329600005493e+000dB,-9.64350215202245e+001°)
1.41253754462275e+006	(-5.24933533357252e+000dB,-9.82762994913509e+001°)
1.44543977074592e+006	(-5.49419149710526e+000dB,-1.00104812182313e+002°)
1.47910838816820e+006	(-5.74768458581724e+000dB,-1.01917950764300e+002°)
1.51356124843620e+006	(-6.00960484100847e+000dB,-1.03713249043537e+002°)
1.54881661891248e+006	(-6.27971580610165e+000dB,-1.05488401361469e+002°)
1.58489319246111e+006	(-6.55775773978690e+000dB,-1.07241277007384e+002°)
1.62181009735892e+006	(-6.84345118866584e+000dB,-1.08969931034011e+002°)
1.65958690743755e+006	(-7.13650062447769e+000dB,-1.10672611492801e+002°)
1.69824365246174e+006	(-7.43659805752037e+000dB,-1.12347763218812e+002°)
1.73780082874937e+006	(-7.74342654741647e+000dB,-1.13994028390657e+002°)
1.77827941003892e+006	(-8.05666354403473e+000dB,-1.15610244166133e+002°)
1.81970085860998e+006	(-8.37598400427395e+000dB,-1.17195437747663e+002°)
1.86208713666286e+006	(-8.70106324371354e+000dB,-1.18748819264063e+002°)
1.90546071796324e+006	(-9.03157949511437e+000dB,-1.20269772868048e+002°)
1.94984459975804e+006	(-9.36721615783893e+000dB,-1.21757846444772e+002°)
1.99526231496887e+006	(-9.70766373303365e+000dB,-1.23212740308802e+002°)
2.04173794466952e+006	(-1.00526214486154e+001dB,-1.24634295238372e+002°)
2.08929613085403e+006	(-1.04017985856073e+001dB,-1.26022480159902e+002°)
2.13796208950222e+006	(-1.07549155231724e+001dB,-1.27377379755528e+002°)
2.18776162394954e+006	(-1.11117045238792e+001dB,-1.28699182224299e+002°)
2.23872113856833e+006	(-1.14719102834637e+001dB,-1.29988167385978e+002°)
2.29086765276776e+006	(-1.18352902708027e+001dB,-1.31244695276476e+002°)
2.34422881531991e+006	(-1.22016148842094e+001dB,-1.32469195347222e+002°)
2.39883291901948e+006	(-1.25706674497046e+001dB,-1.33662156347766e+002°)
2.45470891568502e+006	(-1.29422440858129e+001dB,-1.34824116942202e+002°)
2.51188643150957e+006	(-1.33161534578601e+001dB,-1.35955657085511e+002°)
2.57039578276885e+006	(-1.36922164428703e+001dB,-1.37057390165751e+002°)
2.63026799189537e+006	(-1.40702657241038e+001dB,-1.38129955901705e+002°)
