Freq.	V(vin)/I(R3)
9.31043568331433e+004	(8.20756292436621e+001dB,1.79979038543242e+002°)
9.52730358981623e+004	(8.20756089176377e+001dB,1.79978566490919e+002°)
9.74922299879022e+004	(8.20755876591864e+001dB,1.79978084584782e+002°)
9.97631157484439e+004	(8.20755654267900e+001dB,1.79977592674891e+002°)
1.02086897233476e+005	(8.20755421772024e+001dB,1.79977090613257e+002°)
1.04464806542702e+005	(8.20755178653896e+001dB,1.79976578254247e+002°)
1.06898104475112e+005	(8.20754924444686e+001dB,1.79976055455018e+002°)
1.09388081197478e+005	(8.20754658656456e+001dB,1.79975522075991e+002°)
1.11936056928417e+005	(8.20754380781538e+001dB,1.79974977981352e+002°)
1.14543382638389e+005	(8.20754090291904e+001dB,1.79974423039601e+002°)
1.17211440765996e+005	(8.20753786638536e+001dB,1.79973857124129e+002°)
1.19941645950974e+005	(8.20753469250798e+001dB,1.79973280113847e+002°)
1.22735445784251e+005	(8.20753137535803e+001dB,1.79972691893852e+002°)
1.25594321575479e+005	(8.20752790877795e+001dB,1.79972092356145e+002°)
1.28519789138443e+005	(8.20752428637531e+001dB,1.79971481400397e+002°)
1.31513399594769e+005	(8.20752050151681e+001dB,1.79970858934762e+002°)
1.34576740196346e+005	(8.20751654732238e+001dB,1.79970224876748e+002°)
1.37711435166908e+005	(8.20751241665956e+001dB,1.79969579154147e+002°)
1.40919146563223e+005	(8.20750810213808e+001dB,1.79968921706020e+002°)
1.44201575156330e+005	(8.20750359610474e+001dB,1.79968252483743e+002°)
1.47560461333319e+005	(8.20749889063870e+001dB,1.79967571452124e+002°)
1.50997586020101e+005	(8.20749397754717e+001dB,1.79966878590577e+002°)
1.54514771625679e+005	(8.20748884836161e+001dB,1.79966173894377e+002°)
1.58113883008419e+005	(8.20748349433451e+001dB,1.79965457375977e+002°)
1.61796828464814e+005	(8.20747790643690e+001dB,1.79964729066407e+002°)
1.65565560741295e+005	(8.20747207535650e+001dB,1.79963989016741e+002°)
