Freq.	V(vin)/I(R3)
1.00000000000000e+004	(8.20758679349448e+001dB,1.79987649554614e+002°)
1.02329299228075e+004	(8.20758587695660e+001dB,1.79987368357503e+002°)
1.04712854805090e+004	(8.20758491822773e+001dB,1.79987081066772e+002°)
1.07151930523761e+004	(8.20758391541457e+001dB,1.79986787572244e+002°)
1.09647819614318e+004	(8.20758286654352e+001dB,1.79986487763342e+002°)
1.12201845430196e+004	(8.20758176955770e+001dB,1.79986181529224e+002°)
1.14815362149688e+004	(8.20758062231394e+001dB,1.79985868758927e+002°)
1.17489755493953e+004	(8.20757942257968e+001dB,1.79985549341524e+002°)
1.20226443461741e+004	(8.20757816802982e+001dB,1.79985223166299e+002°)
1.23026877081238e+004	(8.20757685624353e+001dB,1.79984890122929e+002°)
1.25892541179417e+004	(8.20757548470098e+001dB,1.79984550101683e+002°)
1.28824955169313e+004	(8.20757405078007e+001dB,1.79984202993643e+002°)
1.31825673855641e+004	(8.20757255175311e+001dB,1.79983848690935e+002°)
1.34896288259165e+004	(8.20757098478344e+001dB,1.79983487086977e+002°)
1.38038426460288e+004	(8.20756934692208e+001dB,1.79983118076754e+002°)
1.41253754462275e+004	(8.20756763510436e+001dB,1.79982741557100e+002°)
1.44543977074593e+004	(8.20756584614655e+001dB,1.79982357427016e+002°)
1.47910838816821e+004	(8.20756397674252e+001dB,1.79981965587992e+002°)
1.51356124843621e+004	(8.20756202346041e+001dB,1.79981565944370e+002°)
1.54881661891248e+004	(8.20755998273938e+001dB,1.79981158403714e+002°)
1.58489319246111e+004	(8.20755785088642e+001dB,1.79980742877219e+002°)
1.62181009735893e+004	(8.20755562407327e+001dB,1.79980319280134e+002°)
1.65958690743756e+004	(8.20755329833341e+001dB,1.79979887532219e+002°)
1.69824365246174e+004	(8.20755086955920e+001dB,1.79979447558228e+002°)
1.73780082874937e+004	(8.20754833349924e+001dB,1.79978999288422e+002°)
1.77827941003892e+004	(8.20754568575585e+001dB,1.79978542659108e+002°)
1.81970085860998e+004	(8.20754292178282e+001dB,1.79978077613211e+002°)
1.86208713666287e+004	(8.20754003688337e+001dB,1.79977604100880e+002°)
1.90546071796325e+004	(8.20753702620851e+001dB,1.79977122080122e+002°)
1.94984459975804e+004	(8.20753388475561e+001dB,1.79976631517471e+002°)
1.99526231496888e+004	(8.20753060736743e+001dB,1.79976132388689e+002°)
2.04173794466953e+004	(8.20752718873157e+001dB,1.79975624679504e+002°)
2.08929613085404e+004	(8.20752362338034e+001dB,1.79975108386378e+002°)
2.13796208950223e+004	(8.20751990569124e+001dB,1.79974583517311e+002°)
2.18776162394955e+004	(8.20751602988796e+001dB,1.79974050092679e+002°)
2.23872113856834e+004	(8.20751199004204e+001dB,1.79973508146105e+002°)
2.29086765276777e+004	(8.20750778007520e+001dB,1.79972957725364e+002°)
2.34422881531992e+004	(8.20750339376251e+001dB,1.79972398893318e+002°)
2.39883291901949e+004	(8.20749882473631e+001dB,1.79971831728880e+002°)
2.45470891568503e+004	(8.20749406649110e+001dB,1.79971256328014e+002°)
2.51188643150958e+004	(8.20748911238932e+001dB,1.79970672804752e+002°)
2.57039578276886e+004	(8.20748395566825e+001dB,1.79970081292242e+002°)
2.63026799189538e+004	(8.20747858944804e+001dB,1.79969481943816e+002°)
2.69153480392691e+004	(8.20747300674081e+001dB,1.79968874934072e+002°)
2.75422870333816e+004	(8.20746720046124e+001dB,1.79968260459974e+002°)
2.81838293126445e+004	(8.20746116343827e+001dB,1.79967638741959e+002°)
2.88403150312660e+004	(8.20745488842842e+001dB,1.79967010025044e+002°)
2.95120922666638e+004	(8.20744836813051e+001dB,1.79966374579938e+002°)
3.01995172040201e+004	(8.20744159520196e+001dB,1.79965732704135e+002°)
3.09029543251359e+004	(8.20743456227673e+001dB,1.79965084722997e+002°)
3.16227766016837e+004	(8.20742726198502e+001dB,1.79964430990810e+002°)
3.23593656929628e+004	(8.20741968697460e+001dB,1.79963771891806e+002°)
3.31131121482591e+004	(8.20741182993405e+001dB,1.79963107841139e+002°)
3.38844156139202e+004	(8.20740368361777e+001dB,1.79962439285805e+002°)
3.46736850452531e+004	(8.20739524087290e+001dB,1.79961766705504e+002°)
3.54813389233575e+004	(8.20738649466808e+001dB,1.79961090613416e+002°)
3.63078054770101e+004	(8.20737743812410e+001dB,1.79960411556889e+002°)
3.71535229097172e+004	(8.20736806454638e+001dB,1.79959730118019e+002°)
3.80189396320560e+004	(8.20735836745932e+001dB,1.79959046914121e+002°)
3.89045144994280e+004	(8.20734834064234e+001dB,1.79958362598057e+002°)
3.98107170553496e+004	(8.20733797816766e+001dB,1.79957677858419e+002°)
4.07380277804112e+004	(8.20732727443959e+001dB,1.79956993419554e+002°)
4.16869383470335e+004	(8.20731622423535e+001dB,1.79956310041404e+002°)
4.26579518801592e+004	(8.20730482274705e+001dB,1.79955628519158e+002°)
4.36515832240165e+004	(8.20729306562485e+001dB,1.79954949682690e+002°)
4.46683592150962e+004	(8.20728094902100e+001dB,1.79954274395780e+002°)
4.57088189614874e+004	(8.20726846963443e+001dB,1.79953603555095e+002°)
4.67735141287197e+004	(8.20725562475575e+001dB,1.79952938088926e+002°)
4.78630092322637e+004	(8.20724241231228e+001dB,1.79952278955656e+002°)
4.89778819368445e+004	(8.20722883091273e+001dB,1.79951627141964e+002°)
5.01187233627271e+004	(8.20721487989123e+001dB,1.79950983660753e+002°)
5.12861383991363e+004	(8.20720055935029e+001dB,1.79950349548787e+002°)
5.24807460249771e+004	(8.20718587020224e+001dB,1.79949725864047e+002°)
5.37031796370251e+004	(8.20717081420875e+001dB,1.79949113682795e+002°)
5.49540873857623e+004	(8.20715539401792e+001dB,1.79948514096355e+002°)
5.62341325190347e+004	(8.20713961319853e+001dB,1.79947928207612e+002°)
5.75439937337155e+004	(8.20712347627089e+001dB,1.79947357127245e+002°)
5.88843655355587e+004	(8.20710698873390e+001dB,1.79946801969697e+002°)
6.02559586074356e+004	(8.20709015708776e+001dB,1.79946263848906e+002°)
6.16595001861480e+004	(8.20707298885193e+001dB,1.79945743873818e+002°)
6.30957344480191e+004	(8.20705549257788e+001dB,1.79945243143705e+002°)
6.45654229034654e+004	(8.20703767785619e+001dB,1.79944762743310e+002°)
6.60693448007594e+004	(8.20701955531767e+001dB,1.79944303737864e+002°)
6.76082975391980e+004	(8.20700113662818e+001dB,1.79943867168003e+002°)
6.91830970918934e+004	(8.20698243447675e+001dB,1.79943454044619e+002°)
7.07945784384136e+004	(8.20696346255705e+001dB,1.79943065343704e+002°)
7.24435960074988e+004	(8.20694423554172e+001dB,1.79942702001213e+002°)
7.41310241300915e+004	(8.20692476904980e+001dB,1.79942364907998e+002°)
7.58577575029181e+004	(8.20690507960707e+001dB,1.79942054904874e+002°)
7.76247116628689e+004	(8.20688518459948e+001dB,1.79941772777839e+002°)
7.94328234724279e+004	(8.20686510221982e+001dB,1.79941519253524e+002°)
8.12830516164096e+004	(8.20684485140792e+001dB,1.79941294994900e+002°)
8.31763771102668e+004	(8.20682445178466e+001dB,1.79941100597301e+002°)
8.51138038202373e+004	(8.20680392358035e+001dB,1.79940936584794e+002°)
8.70963589956077e+004	(8.20678328755789e+001dB,1.79940803406956e+002°)
8.91250938133742e+004	(8.20676256493128e+001dB,1.79940701436069e+002°)
9.12010839355906e+004	(8.20674177728032e+001dB,1.79940630964789e+002°)
9.33254300796988e+004	(8.20672094646194e+001dB,1.79940592204301e+002°)
9.54992586021432e+004	(8.20670009451919e+001dB,1.79940585282994e+002°)
9.77237220955807e+004	(8.20667924358854e+001dB,1.79940610245654e+002°)
9.99999999999996e+004	(8.20665841580632e+001dB,1.79940667053208e+002°)
1.02329299228075e+005	(8.20663763321523e+001dB,1.79940755583001e+002°)
1.04712854805090e+005	(8.20661691767166e+001dB,1.79940875629615e+002°)
1.07151930523760e+005	(8.20659629075474e+001dB,1.79941026906217e+002°)
1.09647819614318e+005	(8.20657577367782e+001dB,1.79941209046419e+002°)
1.12201845430196e+005	(8.20655538720326e+001dB,1.79941421606629e+002°)
1.14815362149688e+005	(8.20653515156115e+001dB,1.79941664068861e+002°)
1.17489755493952e+005	(8.20651508637262e+001dB,1.79941935843986e+002°)
1.20226443461741e+005	(8.20649521057845e+001dB,1.79942236275363e+002°)
1.23026877081238e+005	(8.20647554237328e+001dB,1.79942564642834e+002°)
1.25892541179416e+005	(8.20645609914611e+001dB,1.79942920167024e+002°)
1.28824955169313e+005	(8.20643689742717e+001dB,1.79943302013903e+002°)
1.31825673855640e+005	(8.20641795284166e+001dB,1.79943709299565e+002°)
1.34896288259165e+005	(8.20639928007038e+001dB,1.79944141095174e+002°)
1.38038426460288e+005	(8.20638089281740e+001dB,1.79944596432031e+002°)
1.41253754462275e+005	(8.20636280378477e+001dB,1.79945074306707e+002°)
1.44543977074592e+005	(8.20634502465419e+001dB,1.79945573686209e+002°)
1.47910838816820e+005	(8.20632756607548e+001dB,1.79946093513118e+002°)
1.51356124843620e+005	(8.20631043766168e+001dB,1.79946632710673e+002°)
1.54881661891247e+005	(8.20629364799046e+001dB,1.79947190187750e+002°)
1.58489319246111e+005	(8.20627720461148e+001dB,1.79947764843705e+002°)
1.62181009735892e+005	(8.20626111405946e+001dB,1.79948355573053e+002°)
1.65958690743755e+005	(8.20624538187236e+001dB,1.79948961269948e+002°)
1.69824365246174e+005	(8.20623001261437e+001dB,1.79949580832437e+002°)
1.73780082874937e+005	(8.20621500990321e+001dB,1.79950213166481e+002°)
1.77827941003891e+005	(8.20620037644121e+001dB,1.79950857189711e+002°)
1.81970085860998e+005	(8.20618611404982e+001dB,1.79951511834918e+002°)
1.86208713666286e+005	(8.20617222370687e+001dB,1.79952176053253e+002°)
1.90546071796324e+005	(8.20615870558634e+001dB,1.79952848817153e+002°)
1.94984459975804e+005	(8.20614555909995e+001dB,1.79953529122972e+002°)
1.99526231496887e+005	(8.20613278294038e+001dB,1.79954215993323e+002°)
2.04173794466952e+005	(8.20612037512537e+001dB,1.79954908479137e+002°)
2.08929613085403e+005	(8.20610833304271e+001dB,1.79955605661449e+002°)
