frequency;MAG;PHA
10000;19.45247278;-13.097
20000;19.76432411;-15.3
30000;18.75547264;-18.692
40000;18.51849733;-22.613
50000;18.2156622;-28.479
60000;18.74062315;-31.777
65000;18.1771453;-34.567
70000;18.04017156;-35.566
75000;17.7878685;-36.337
80000;18.28338481;-41.294
85000;17.93649617;-44.854
90000;17.47896067;-46.152
95000;17.07379821;-47.773
100000;18;-49.369
105000;18.32274909;-53.82
110000;17.74219315;-55.604
115000;17.35122443;-57.987
120000;17.19127233;-59.803
125000;15.65710747;-61.05
130000;15.65710747;-61.05
150000;15.49289901;-67.593
175000;13.36393415;-73.458
200000;13.15439079;-80.495
250000;10.66980217;-89.455
300000;9.074407368;-97.494
350000;7.811831665;-102.7
400000;5.991624085;-107.68
450000;5.27908041;-110.38
500000;4.393545454;-119.04
550000;2.628328152;-121.95
600000;2.358923627;-122.6
700000;2.008691956;-129.41
800000;-0.004206482;-132.95
900000;-1.589177134;-133.54
1000000;-2.213704526;-138.41
1100000;-5.242109317;-144.55
