v1	V(vout)
2.799999999999986e+000	4.409070e+000
2.899999999999986e+000	4.566538e+000
2.999999999999986e+000	4.724006e+000
3.099999999999986e+000	4.881474e+000
3.199999999999986e+000	5.038942e+000
3.299999999999987e+000	5.196410e+000
3.399999999999987e+000	5.353878e+000
3.499999999999987e+000	5.511346e+000
3.599999999999987e+000	5.668814e+000
3.699999999999987e+000	5.826282e+000
3.799999999999987e+000	5.983750e+000
3.899999999999987e+000	6.141218e+000
3.999999999999987e+000	6.298686e+000
4.099999999999987e+000	6.456154e+000
4.199999999999987e+000	6.613622e+000
4.299999999999987e+000	6.771090e+000
4.399999999999986e+000	6.928557e+000
4.499999999999986e+000	7.086025e+000
4.599999999999985e+000	7.243484e+000
4.699999999999985e+000	7.397321e+000
4.799999999999985e+000	7.476336e+000
4.899999999999984e+000	7.492906e+000
4.999999999999984e+000	7.494881e+000
5.099999999999984e+000	7.494822e+000
5.199999999999983e+000	7.494742e+000
5.299999999999983e+000	7.494742e+000
5.399999999999983e+000	7.494742e+000
5.499999999999982e+000	7.494742e+000
5.599999999999982e+000	7.494742e+000
5.699999999999982e+000	7.494742e+000
5.799999999999981e+000	7.494742e+000
5.899999999999981e+000	7.494742e+000
5.999999999999981e+000	7.494742e+000
6.099999999999980e+000	7.494742e+000
6.199999999999980e+000	7.494742e+000
6.299999999999979e+000	7.494742e+000
6.399999999999979e+000	7.494742e+000
6.499999999999979e+000	7.494742e+000
6.599999999999978e+000	7.494742e+000
6.699999999999978e+000	7.494742e+000
6.799999999999978e+000	7.494742e+000
6.899999999999977e+000	7.494742e+000
6.999999999999977e+000	7.494742e+000
7.099999999999977e+000	7.494742e+000
7.199999999999976e+000	7.494742e+000
7.299999999999976e+000	7.494742e+000
7.399999999999976e+000	7.494742e+000
7.499999999999975e+000	7.494742e+000
7.599999999999975e+000	7.494742e+000
7.699999999999974e+000	7.494742e+000
7.799999999999974e+000	7.494742e+000
7.899999999999974e+000	7.494742e+000
7.999999999999973e+000	7.494742e+000
8.099999999999973e+000	7.494742e+000
8.199999999999973e+000	7.494742e+000
8.299999999999972e+000	7.494742e+000
8.399999999999972e+000	7.494742e+000
8.499999999999972e+000	7.494742e+000
8.599999999999971e+000	7.494742e+000
8.699999999999971e+000	7.494742e+000
8.799999999999971e+000	7.494742e+000
8.899999999999970e+000	7.494742e+000
9.000000000000000e+000	7.494742e+000
