-9;-9.0531;-7.996;-9.0531;-7.996
-1.40E+00;-2.20E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001,-6.10000000000001,-6.00000000000001,-5.90000000000001,-5.80000000000001,-5.70000000000001,-5.60000000000001,-5.50000000000001,-5.40000000000001,-5.30000000000001,-5.20000000000001,-5.10000000000001,-5.00000000000001,-4.90000000000001,-4.80000000000001,-4.70000000000001,-4.60000000000001,-4.50000000000001,-4.40000000000001,-4.30000000000001,-4.20000000000001,-4.10000000000001,-4.00000000000001,-3.90000000000001,-3.80000000000001,-3.70000000000001,-3.60000000000001,-3.50000000000001,-3.40000000000001,-3.30000000000001,-3.20000000000001,-3.10000000000001,-3.00000000000001,-2.90000000000001,-2.80000000000001,-2.70000000000001,-2.60000000000001,-2.50000000000001,-2.40000000000001,-2.30000000000001,-2.20000000000001,-2.10000000000001,-2.00000000000001,-1.90000000000001,-1.80000000000001,-1.70000000000001,-1.60000000000001,-1.50000000000001,-1.40000000000001;-8.996099,-8.996091,-8.996082,-8.996075,-8.996066,-8.996058,-8.996049,-8.99604,-8.996032,-8.996023,-8.996015,-8.996006,-8.995997,-8.995989,-8.99598,-8.995972,-8.995963,-8.995955,-8.995946,-8.995937,-8.995929,-8.99592,-8.995912,-8.995903,-8.995894,-8.995886,-8.995877,-8.995869,-8.99586,-8.995851,-8.995818,-8.995338,-8.988602,-8.949216,-8.818099,-8.660798,-8.503327,-8.345859,-8.188391,-8.030922,-7.873453,-7.715985,-7.558517,-7.401048,-7.243579,-7.086111,-6.928642,-6.771174,-6.613706,-6.456237,-6.298769,-6.1413,-5.983832,-5.826364,-5.668895,-5.511426,-5.353958,-5.19649,-5.039021,-4.881553,-4.724085,-4.566617,-4.409148,-4.251679,-4.094211,-3.936743,-3.779275,-3.621806,-3.464338,-3.30687,-3.149401,-2.991933,-2.834465,-2.676996,-2.519528,-2.36206,-2.204592;
-1.30E+00;-2.05E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001,-6.10000000000001,-6.00000000000001,-5.90000000000001,-5.80000000000001,-5.70000000000001,-5.60000000000001,-5.50000000000001,-5.40000000000001,-5.30000000000001,-5.20000000000001,-5.10000000000001,-5.00000000000001,-4.90000000000001,-4.80000000000001,-4.70000000000001,-4.60000000000001,-4.50000000000001,-4.40000000000001,-4.30000000000001,-4.20000000000001,-4.10000000000001,-4.00000000000001,-3.90000000000001,-3.80000000000001,-3.70000000000001,-3.60000000000001,-3.50000000000001,-3.40000000000001,-3.30000000000001,-3.20000000000001,-3.10000000000001,-3.00000000000001,-2.90000000000001,-2.80000000000001,-2.70000000000001,-2.60000000000001,-2.50000000000001,-2.40000000000001,-2.30000000000001,-2.20000000000001,-2.10000000000001,-2.00000000000001,-1.90000000000001,-1.80000000000001,-1.70000000000001,-1.60000000000001,-1.50000000000001,-1.40000000000001,-1.30000000000001;-8.996099,-8.996091,-8.996082,-8.996075,-8.996066,-8.996058,-8.996049,-8.99604,-8.996032,-8.996023,-8.996015,-8.996006,-8.995997,-8.995989,-8.99598,-8.995972,-8.995963,-8.995955,-8.995946,-8.995937,-8.995929,-8.99592,-8.995912,-8.995903,-8.995894,-8.995886,-8.995877,-8.995869,-8.99586,-8.995851,-8.995818,-8.995338,-8.988602,-8.949216,-8.818099,-8.660798,-8.503327,-8.345859,-8.188391,-8.030922,-7.873453,-7.715985,-7.558517,-7.401048,-7.243579,-7.086111,-6.928642,-6.771174,-6.613706,-6.456237,-6.298769,-6.1413,-5.983832,-5.826364,-5.668895,-5.511426,-5.353958,-5.19649,-5.039021,-4.881553,-4.724085,-4.566617,-4.409148,-4.251679,-4.094211,-3.936743,-3.779275,-3.621806,-3.464338,-3.30687,-3.149401,-2.991933,-2.834465,-2.676996,-2.519528,-2.36206,-2.204592,-2.047123;
-1.20E+00;-1.89E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001,-6.10000000000001,-6.00000000000001,-5.90000000000001,-5.80000000000001,-5.70000000000001,-5.60000000000001,-5.50000000000001,-5.40000000000001,-5.30000000000001,-5.20000000000001,-5.10000000000001,-5.00000000000001,-4.90000000000001,-4.80000000000001,-4.70000000000001,-4.60000000000001,-4.50000000000001,-4.40000000000001,-4.30000000000001,-4.20000000000001,-4.10000000000001,-4.00000000000001,-3.90000000000001,-3.80000000000001,-3.70000000000001,-3.60000000000001,-3.50000000000001,-3.40000000000001,-3.30000000000001,-3.20000000000001,-3.10000000000001,-3.00000000000001,-2.90000000000001,-2.80000000000001,-2.70000000000001,-2.60000000000001,-2.50000000000001,-2.40000000000001,-2.30000000000001,-2.20000000000001,-2.10000000000001,-2.00000000000001,-1.90000000000001,-1.80000000000001,-1.70000000000001,-1.60000000000001,-1.50000000000001,-1.40000000000001,-1.30000000000001,-1.20000000000001;-8.996099,-8.996091,-8.996082,-8.996075,-8.996066,-8.996058,-8.996049,-8.99604,-8.996032,-8.996023,-8.996015,-8.996006,-8.995997,-8.995989,-8.99598,-8.995972,-8.995963,-8.995955,-8.995946,-8.995937,-8.995929,-8.99592,-8.995912,-8.995903,-8.995894,-8.995886,-8.995877,-8.995869,-8.99586,-8.995851,-8.995818,-8.995338,-8.988602,-8.949216,-8.818099,-8.660798,-8.503327,-8.345859,-8.188391,-8.030922,-7.873453,-7.715985,-7.558517,-7.401048,-7.243579,-7.086111,-6.928642,-6.771174,-6.613706,-6.456237,-6.298769,-6.1413,-5.983832,-5.826364,-5.668895,-5.511426,-5.353958,-5.19649,-5.039021,-4.881553,-4.724085,-4.566617,-4.409148,-4.251679,-4.094211,-3.936743,-3.779275,-3.621806,-3.464338,-3.30687,-3.149401,-2.991933,-2.834465,-2.676996,-2.519528,-2.36206,-2.204592,-2.047123,-1.889655;
-1.10E+00;-1.73E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001,-6.10000000000001,-6.00000000000001,-5.90000000000001,-5.80000000000001,-5.70000000000001,-5.60000000000001,-5.50000000000001,-5.40000000000001,-5.30000000000001,-5.20000000000001,-5.10000000000001,-5.00000000000001,-4.90000000000001,-4.80000000000001,-4.70000000000001,-4.60000000000001,-4.50000000000001,-4.40000000000001,-4.30000000000001,-4.20000000000001,-4.10000000000001,-4.00000000000001,-3.90000000000001,-3.80000000000001,-3.70000000000001,-3.60000000000001,-3.50000000000001,-3.40000000000001,-3.30000000000001,-3.20000000000001,-3.10000000000001,-3.00000000000001,-2.90000000000001,-2.80000000000001,-2.70000000000001,-2.60000000000001,-2.50000000000001,-2.40000000000001,-2.30000000000001,-2.20000000000001,-2.10000000000001,-2.00000000000001,-1.90000000000001,-1.80000000000001,-1.70000000000001,-1.60000000000001,-1.50000000000001,-1.40000000000001,-1.30000000000001,-1.20000000000001,-1.10000000000001;-8.996099,-8.996091,-8.996082,-8.996075,-8.996066,-8.996058,-8.996049,-8.99604,-8.996032,-8.996023,-8.996015,-8.996006,-8.995997,-8.995989,-8.99598,-8.995972,-8.995963,-8.995955,-8.995946,-8.995937,-8.995929,-8.99592,-8.995912,-8.995903,-8.995894,-8.995886,-8.995877,-8.995869,-8.99586,-8.995851,-8.995818,-8.995338,-8.988602,-8.949216,-8.818099,-8.660798,-8.503327,-8.345859,-8.188391,-8.030922,-7.873453,-7.715985,-7.558517,-7.401048,-7.243579,-7.086111,-6.928642,-6.771174,-6.613706,-6.456237,-6.298769,-6.1413,-5.983832,-5.826364,-5.668895,-5.511426,-5.353958,-5.19649,-5.039021,-4.881553,-4.724085,-4.566617,-4.409148,-4.251679,-4.094211,-3.936743,-3.779275,-3.621806,-3.464338,-3.30687,-3.149401,-2.991933,-2.834465,-2.676996,-2.519528,-2.36206,-2.204592,-2.047123,-1.889655,-1.732187;
-1.00E+00;-1.57E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001,-6.10000000000001,-6.00000000000001,-5.90000000000001,-5.80000000000001,-5.70000000000001,-5.60000000000001,-5.50000000000001,-5.40000000000001,-5.30000000000001,-5.20000000000001,-5.10000000000001,-5.00000000000001,-4.90000000000001,-4.80000000000001,-4.70000000000001,-4.60000000000001,-4.50000000000001,-4.40000000000001,-4.30000000000001,-4.20000000000001,-4.10000000000001,-4.00000000000001,-3.90000000000001,-3.80000000000001,-3.70000000000001,-3.60000000000001,-3.50000000000001,-3.40000000000001,-3.30000000000001,-3.20000000000001,-3.10000000000001,-3.00000000000001,-2.90000000000001,-2.80000000000001,-2.70000000000001,-2.60000000000001,-2.50000000000001,-2.40000000000001,-2.30000000000001,-2.20000000000001,-2.10000000000001,-2.00000000000001,-1.90000000000001,-1.80000000000001,-1.70000000000001,-1.60000000000001,-1.50000000000001,-1.40000000000001,-1.30000000000001,-1.20000000000001,-1.10000000000001,-1.00000000000001;-8.996099,-8.996091,-8.996082,-8.996075,-8.996066,-8.996058,-8.996049,-8.99604,-8.996032,-8.996023,-8.996015,-8.996006,-8.995997,-8.995989,-8.99598,-8.995972,-8.995963,-8.995955,-8.995946,-8.995937,-8.995929,-8.99592,-8.995912,-8.995903,-8.995894,-8.995886,-8.995877,-8.995869,-8.99586,-8.995851,-8.995818,-8.995338,-8.988602,-8.949216,-8.818099,-8.660798,-8.503327,-8.345859,-8.188391,-8.030922,-7.873453,-7.715985,-7.558517,-7.401048,-7.243579,-7.086111,-6.928642,-6.771174,-6.613706,-6.456237,-6.298769,-6.1413,-5.983832,-5.826364,-5.668895,-5.511426,-5.353958,-5.19649,-5.039021,-4.881553,-4.724085,-4.566617,-4.409148,-4.251679,-4.094211,-3.936743,-3.779275,-3.621806,-3.464338,-3.30687,-3.149401,-2.991933,-2.834465,-2.676996,-2.519528,-2.36206,-2.204592,-2.047123,-1.889655,-1.732187,-1.574719;
-9.00E-01;-1.42E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001,-6.10000000000001,-6.00000000000001,-5.90000000000001,-5.80000000000001,-5.70000000000001,-5.60000000000001,-5.50000000000001,-5.40000000000001,-5.30000000000001,-5.20000000000001,-5.10000000000001,-5.00000000000001,-4.90000000000001,-4.80000000000001,-4.70000000000001,-4.60000000000001,-4.50000000000001,-4.40000000000001,-4.30000000000001,-4.20000000000001,-4.10000000000001,-4.00000000000001,-3.90000000000001,-3.80000000000001,-3.70000000000001,-3.60000000000001,-3.50000000000001,-3.40000000000001,-3.30000000000001,-3.20000000000001,-3.10000000000001,-3.00000000000001,-2.90000000000001,-2.80000000000001,-2.70000000000001,-2.60000000000001,-2.50000000000001,-2.40000000000001,-2.30000000000001,-2.20000000000001,-2.10000000000001,-2.00000000000001,-1.90000000000001,-1.80000000000001,-1.70000000000001,-1.60000000000001,-1.50000000000001,-1.40000000000001,-1.30000000000001,-1.20000000000001,-1.10000000000001,-1.00000000000001,-0.900000000000015;-8.996099,-8.996091,-8.996082,-8.996075,-8.996066,-8.996058,-8.996049,-8.99604,-8.996032,-8.996023,-8.996015,-8.996006,-8.995997,-8.995989,-8.99598,-8.995972,-8.995963,-8.995955,-8.995946,-8.995937,-8.995929,-8.99592,-8.995912,-8.995903,-8.995894,-8.995886,-8.995877,-8.995869,-8.99586,-8.995851,-8.995818,-8.995338,-8.988602,-8.949216,-8.818099,-8.660798,-8.503327,-8.345859,-8.188391,-8.030922,-7.873453,-7.715985,-7.558517,-7.401048,-7.243579,-7.086111,-6.928642,-6.771174,-6.613706,-6.456237,-6.298769,-6.1413,-5.983832,-5.826364,-5.668895,-5.511426,-5.353958,-5.19649,-5.039021,-4.881553,-4.724085,-4.566617,-4.409148,-4.251679,-4.094211,-3.936743,-3.779275,-3.621806,-3.464338,-3.30687,-3.149401,-2.991933,-2.834465,-2.676996,-2.519528,-2.36206,-2.204592,-2.047123,-1.889655,-1.732187,-1.574719,-1.41725;
-8.00E-01;-1.26E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001,-6.10000000000001,-6.00000000000001,-5.90000000000001,-5.80000000000001,-5.70000000000001,-5.60000000000001,-5.50000000000001,-5.40000000000001,-5.30000000000001,-5.20000000000001,-5.10000000000001,-5.00000000000001,-4.90000000000001,-4.80000000000001,-4.70000000000001,-4.60000000000001,-4.50000000000001,-4.40000000000001,-4.30000000000001,-4.20000000000001,-4.10000000000001,-4.00000000000001,-3.90000000000001,-3.80000000000001,-3.70000000000001,-3.60000000000001,-3.50000000000001,-3.40000000000001,-3.30000000000001,-3.20000000000001,-3.10000000000001,-3.00000000000001,-2.90000000000001,-2.80000000000001,-2.70000000000001,-2.60000000000001,-2.50000000000001,-2.40000000000001,-2.30000000000001,-2.20000000000001,-2.10000000000001,-2.00000000000001,-1.90000000000001,-1.80000000000001,-1.70000000000001,-1.60000000000001,-1.50000000000001,-1.40000000000001,-1.30000000000001,-1.20000000000001,-1.10000000000001,-1.00000000000001,-0.900000000000015,-0.800000000000015;-8.996099,-8.996091,-8.996082,-8.996075,-8.996066,-8.996058,-8.996049,-8.99604,-8.996032,-8.996023,-8.996015,-8.996006,-8.995997,-8.995989,-8.99598,-8.995972,-8.995963,-8.995955,-8.995946,-8.995937,-8.995929,-8.99592,-8.995912,-8.995903,-8.995894,-8.995886,-8.995877,-8.995869,-8.99586,-8.995851,-8.995818,-8.995338,-8.988602,-8.949216,-8.818099,-8.660798,-8.503327,-8.345859,-8.188391,-8.030922,-7.873453,-7.715985,-7.558517,-7.401048,-7.243579,-7.086111,-6.928642,-6.771174,-6.613706,-6.456237,-6.298769,-6.1413,-5.983832,-5.826364,-5.668895,-5.511426,-5.353958,-5.19649,-5.039021,-4.881553,-4.724085,-4.566617,-4.409148,-4.251679,-4.094211,-3.936743,-3.779275,-3.621806,-3.464338,-3.30687,-3.149401,-2.991933,-2.834465,-2.676996,-2.519528,-2.36206,-2.204592,-2.047123,-1.889655,-1.732187,-1.574719,-1.41725,-1.259782;
-7.00E-01;-1.10E+00;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001,-6.10000000000001,-6.00000000000001,-5.90000000000001,-5.80000000000001,-5.70000000000001,-5.60000000000001,-5.50000000000001,-5.40000000000001,-5.30000000000001,-5.20000000000001,-5.10000000000001,-5.00000000000001,-4.90000000000001,-4.80000000000001,-4.70000000000001,-4.60000000000001,-4.50000000000001,-4.40000000000001,-4.30000000000001,-4.20000000000001,-4.10000000000001,-4.00000000000001,-3.90000000000001,-3.80000000000001,-3.70000000000001,-3.60000000000001,-3.50000000000001,-3.40000000000001,-3.30000000000001,-3.20000000000001,-3.10000000000001,-3.00000000000001,-2.90000000000001,-2.80000000000001,-2.70000000000001,-2.60000000000001,-2.50000000000001,-2.40000000000001,-2.30000000000001,-2.20000000000001,-2.10000000000001,-2.00000000000001,-1.90000000000001,-1.80000000000001,-1.70000000000001,-1.60000000000001,-1.50000000000001,-1.40000000000001,-1.30000000000001,-1.20000000000001,-1.10000000000001,-1.00000000000001,-0.900000000000015,-0.800000000000015,-0.700000000000015;-8.996099,-8.996091,-8.996082,-8.996075,-8.996066,-8.996058,-8.996049,-8.99604,-8.996032,-8.996023,-8.996015,-8.996006,-8.995997,-8.995989,-8.99598,-8.995972,-8.995963,-8.995955,-8.995946,-8.995937,-8.995929,-8.99592,-8.995912,-8.995903,-8.995894,-8.995886,-8.995877,-8.995869,-8.99586,-8.995851,-8.995818,-8.995338,-8.988602,-8.949216,-8.818099,-8.660798,-8.503327,-8.345859,-8.188391,-8.030922,-7.873453,-7.715985,-7.558517,-7.401048,-7.243579,-7.086111,-6.928642,-6.771174,-6.613706,-6.456237,-6.298769,-6.1413,-5.983832,-5.826364,-5.668895,-5.511426,-5.353958,-5.19649,-5.039021,-4.881553,-4.724085,-4.566617,-4.409148,-4.251679,-4.094211,-3.936743,-3.779275,-3.621806,-3.464338,-3.30687,-3.149401,-2.991933,-2.834465,-2.676996,-2.519528,-2.36206,-2.204592,-2.047123,-1.889655,-1.732187,-1.574719,-1.41725,-1.259782,-1.102314;
-6.00E-01;-9.45E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001,-6.10000000000001,-6.00000000000001,-5.90000000000001,-5.80000000000001,-5.70000000000001,-5.60000000000001,-5.50000000000001,-5.40000000000001,-5.30000000000001,-5.20000000000001,-5.10000000000001,-5.00000000000001,-4.90000000000001,-4.80000000000001,-4.70000000000001,-4.60000000000001,-4.50000000000001,-4.40000000000001,-4.30000000000001,-4.20000000000001,-4.10000000000001,-4.00000000000001,-3.90000000000001,-3.80000000000001,-3.70000000000001,-3.60000000000001,-3.50000000000001,-3.40000000000001,-3.30000000000001,-3.20000000000001,-3.10000000000001,-3.00000000000001,-2.90000000000001,-2.80000000000001,-2.70000000000001,-2.60000000000001,-2.50000000000001,-2.40000000000001,-2.30000000000001,-2.20000000000001,-2.10000000000001,-2.00000000000001,-1.90000000000001,-1.80000000000001,-1.70000000000001,-1.60000000000001,-1.50000000000001,-1.40000000000001,-1.30000000000001,-1.20000000000001,-1.10000000000001,-1.00000000000001,-0.900000000000015,-0.800000000000015,-0.700000000000015,-0.600000000000015;-8.996099,-8.996091,-8.996082,-8.996075,-8.996066,-8.996058,-8.996049,-8.99604,-8.996032,-8.996023,-8.996015,-8.996006,-8.995997,-8.995989,-8.99598,-8.995972,-8.995963,-8.995955,-8.995946,-8.995937,-8.995929,-8.99592,-8.995912,-8.995903,-8.995894,-8.995886,-8.995877,-8.995869,-8.99586,-8.995851,-8.995818,-8.995338,-8.988602,-8.949216,-8.818099,-8.660798,-8.503327,-8.345859,-8.188391,-8.030922,-7.873453,-7.715985,-7.558517,-7.401048,-7.243579,-7.086111,-6.928642,-6.771174,-6.613706,-6.456237,-6.298769,-6.1413,-5.983832,-5.826364,-5.668895,-5.511426,-5.353958,-5.19649,-5.039021,-4.881553,-4.724085,-4.566617,-4.409148,-4.251679,-4.094211,-3.936743,-3.779275,-3.621806,-3.464338,-3.30687,-3.149401,-2.991933,-2.834465,-2.676996,-2.519528,-2.36206,-2.204592,-2.047123,-1.889655,-1.732187,-1.574719,-1.41725,-1.259782,-1.102314,-0.9448457;
-5.00E-01;-7.87E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001,-6.10000000000001,-6.00000000000001,-5.90000000000001,-5.80000000000001,-5.70000000000001,-5.60000000000001,-5.50000000000001,-5.40000000000001,-5.30000000000001,-5.20000000000001,-5.10000000000001,-5.00000000000001,-4.90000000000001,-4.80000000000001,-4.70000000000001,-4.60000000000001,-4.50000000000001,-4.40000000000001,-4.30000000000001,-4.20000000000001,-4.10000000000001,-4.00000000000001,-3.90000000000001,-3.80000000000001,-3.70000000000001,-3.60000000000001,-3.50000000000001,-3.40000000000001,-3.30000000000001,-3.20000000000001,-3.10000000000001,-3.00000000000001,-2.90000000000001,-2.80000000000001,-2.70000000000001,-2.60000000000001,-2.50000000000001,-2.40000000000001,-2.30000000000001,-2.20000000000001,-2.10000000000001,-2.00000000000001,-1.90000000000001,-1.80000000000001,-1.70000000000001,-1.60000000000001,-1.50000000000001,-1.40000000000001,-1.30000000000001,-1.20000000000001,-1.10000000000001,-1.00000000000001,-0.900000000000015,-0.800000000000015,-0.700000000000015,-0.600000000000015,-0.500000000000015;-8.996099,-8.996091,-8.996082,-8.996075,-8.996066,-8.996058,-8.996049,-8.99604,-8.996032,-8.996023,-8.996015,-8.996006,-8.995997,-8.995989,-8.99598,-8.995972,-8.995963,-8.995955,-8.995946,-8.995937,-8.995929,-8.99592,-8.995912,-8.995903,-8.995894,-8.995886,-8.995877,-8.995869,-8.99586,-8.995851,-8.995818,-8.995338,-8.988602,-8.949216,-8.818099,-8.660798,-8.503327,-8.345859,-8.188391,-8.030922,-7.873453,-7.715985,-7.558517,-7.401048,-7.243579,-7.086111,-6.928642,-6.771174,-6.613706,-6.456237,-6.298769,-6.1413,-5.983832,-5.826364,-5.668895,-5.511426,-5.353958,-5.19649,-5.039021,-4.881553,-4.724085,-4.566617,-4.409148,-4.251679,-4.094211,-3.936743,-3.779275,-3.621806,-3.464338,-3.30687,-3.149401,-2.991933,-2.834465,-2.676996,-2.519528,-2.36206,-2.204592,-2.047123,-1.889655,-1.732187,-1.574719,-1.41725,-1.259782,-1.102314,-0.9448457,-0.7873774;
-4.00E-01;-6.30E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001,-6.10000000000001,-6.00000000000001,-5.90000000000001,-5.80000000000001,-5.70000000000001,-5.60000000000001,-5.50000000000001,-5.40000000000001,-5.30000000000001,-5.20000000000001,-5.10000000000001,-5.00000000000001,-4.90000000000001,-4.80000000000001,-4.70000000000001,-4.60000000000001,-4.50000000000001,-4.40000000000001,-4.30000000000001,-4.20000000000001,-4.10000000000001,-4.00000000000001,-3.90000000000001,-3.80000000000001,-3.70000000000001,-3.60000000000001,-3.50000000000001,-3.40000000000001,-3.30000000000001,-3.20000000000001,-3.10000000000001,-3.00000000000001,-2.90000000000001,-2.80000000000001,-2.70000000000001,-2.60000000000001,-2.50000000000001,-2.40000000000001,-2.30000000000001,-2.20000000000001,-2.10000000000001,-2.00000000000001,-1.90000000000001,-1.80000000000001,-1.70000000000001,-1.60000000000001,-1.50000000000001,-1.40000000000001,-1.30000000000001,-1.20000000000001,-1.10000000000001,-1.00000000000001,-0.900000000000015,-0.800000000000015,-0.700000000000015,-0.600000000000015,-0.500000000000015,-0.400000000000015;-8.996099,-8.996091,-8.996082,-8.996075,-8.996066,-8.996058,-8.996049,-8.99604,-8.996032,-8.996023,-8.996015,-8.996006,-8.995997,-8.995989,-8.99598,-8.995972,-8.995963,-8.995955,-8.995946,-8.995937,-8.995929,-8.99592,-8.995912,-8.995903,-8.995894,-8.995886,-8.995877,-8.995869,-8.99586,-8.995851,-8.995818,-8.995338,-8.988602,-8.949216,-8.818099,-8.660798,-8.503327,-8.345859,-8.188391,-8.030922,-7.873453,-7.715985,-7.558517,-7.401048,-7.243579,-7.086111,-6.928642,-6.771174,-6.613706,-6.456237,-6.298769,-6.1413,-5.983832,-5.826364,-5.668895,-5.511426,-5.353958,-5.19649,-5.039021,-4.881553,-4.724085,-4.566617,-4.409148,-4.251679,-4.094211,-3.936743,-3.779275,-3.621806,-3.464338,-3.30687,-3.149401,-2.991933,-2.834465,-2.676996,-2.519528,-2.36206,-2.204592,-2.047123,-1.889655,-1.732187,-1.574719,-1.41725,-1.259782,-1.102314,-0.9448457,-0.7873774,-0.6299092;
-3.00E-01;-4.72E-01;-9,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4,-8.3,-8.2,-8.1,-8,-7.9,-7.8,-7.7,-7.6,-7.5,-7.4,-7.3,-7.2,-7.1,-7,-6.9,-6.8,-6.7,-6.6,-6.5,-6.4,-6.30000000000001,-6.20000000000001,-6.10000000000001,-6.00000000000001,-5.90000000000001,-5.80000000000001,-5.70000000000001,-5.60000000000001,-5.50000000000001,-5.40000000000001,-5.30000000000001,-5.20000000000001,-5.10000000000001,-5.00000000000001,-4.90000000000001,-4.80000000000001,-4.70000000000001,-4.60000000000001,-4.50000000000001,-4.40000000000001,-4.30000000000001,-4.20000000000001,-4.10000000000001,-4.00000000000001,-3.90000000000001,-3.80000000000001,-3.70000000000001,-3.60000000000001,-3.50000000000001,-3.40000000000001,-3.30000000000001,-3.20000000000001,-3.10000000000001,-3.00000000000001,-2.90000000000001,-2.80000000000001,-2.70000000000001,-2.60000000000001,-2.50000000000001,-2.40000000000001,-2.30000000000001,-2.20000000000001,-2.10000000000001,-2.00000000000001,-1.90000000000001,-1.80000000000001,-1.70000000000001,-1.60000000000001,-1.50000000000001,-1.40000000000001,-1.30000000000001,-1.20000000000001,-1.10000000000001,-1.00000000000001,-0.900000000000015,-0.800000000000015,-0.700000000000015,-0.600000000000015,-0.500000000000015,-0.400000000000015,-0.300000000000015;-8.996099,-8.996091,-8.996082,-8.996075,-8.996066,-8.996058,-8.996049,-8.99604,-8.996032,-8.996023,-8.996015,-8.996006,-8.995997,-8.995989,-8.99598,-8.995972,-8.995963,-8.995955,-8.995946,-8.995937,-8.995929,-8.99592,-8.995912,-8.995903,-8.995894,-8.995886,-8.995877,-8.995869,-8.99586,-8.995851,-8.995818,-8.995338,-8.988602,-8.949216,-8.818099,-8.660798,-8.503327,-8.345859,-8.188391,-8.030922,-7.873453,-7.715985,-7.558517,-7.401048,-7.243579,-7.086111,-6.928642,-6.771174,-6.613706,-6.456237,-6.298769,-6.1413,-5.983832,-5.826364,-5.668895,-5.511426,-5.353958,-5.19649,-5.039021,-4.881553,-4.724085,-4.566617,-4.409148,-4.251679,-4.094211,-3.936743,-3.779275,-3.621806,-3.464338,-3.30687,-3.149401,-2.991933,-2.834465,-2.676996,-2.519528,-2.36206,-2.204592,-2.047123,-1.889655,-1.732187,-1.574719,-1.41725,-1.259782,-1.102314,-0.9448457,-0.7873774,-0.6299092,-0.472441;
