-9;-9.0531;-7.996;-9.0531;-7.996
6;6.0287;8.0157;-9.0531,-8.0516,-7.0301,-6.0287,-5.0072,-4.0058,-2.9843,-2.4836,-1.9829,-1.7425,-1.4821,-1.2498,-0.99985,-0.74989,-0.49281,-0.2451,-0.094745,0.0011146,0.94188,0.2473,0.49542,0.74574,0.99606,1.2464,1.4993,1.7553,1.9997,2.5052,3.0107,3.9857,5.0072,6.0287;-7.996,-7.996,-7.996,-8.0157,-7.8178,-6.3334,-4.7303,-3.9386,-3.1469,-2.7511,-2.3552,-1.9726,-1.568,-1.1734,-0.78398,-0.3868,-0.14794,0.0032395,0.14794,0.3868,0.77879,1.1734,1.5781,1.9739,2.375,2.7718,3.1663,3.9553,4.7545,6.3334,7.8376,8.0157
7;7.0301;8.0157;-9.0531,-8.0516,-7.0301,-6.0287,-5.0072,-4.0058,-2.9843,-2.4836,-1.9829,-1.7425,-1.4821,-1.2498,-0.99985,-0.74989,-0.49281,-0.2451,-0.094745,0.0011146,0.94188,0.2473,0.49542,0.74574,0.99606,1.2464,1.4993,1.7553,1.9997,2.5052,3.0107,3.9857,5.0072,6.0287,7.0301;-7.996,-7.996,-7.996,-8.0157,-7.8178,-6.3334,-4.7303,-3.9386,-3.1469,-2.7511,-2.3552,-1.9726,-1.568,-1.1734,-0.78398,-0.3868,-0.14794,0.0032395,0.14794,0.3868,0.77879,1.1734,1.5781,1.9739,2.375,2.7718,3.1663,3.9553,4.7545,6.3334,7.8376,8.0157,8.0157
8;8.0316;8.0157;-9.0531,-8.0516,-7.0301,-6.0287,-5.0072,-4.0058,-2.9843,-2.4836,-1.9829,-1.7425,-1.4821,-1.2498,-0.99985,-0.74989,-0.49281,-0.2451,-0.094745,0.0011146,0.94188,0.2473,0.49542,0.74574,0.99606,1.2464,1.4993,1.7553,1.9997,2.5052,3.0107,3.9857,5.0072,6.0287,7.0301,8.0316;-7.996,-7.996,-7.996,-8.0157,-7.8178,-6.3334,-4.7303,-3.9386,-3.1469,-2.7511,-2.3552,-1.9726,-1.568,-1.1734,-0.78398,-0.3868,-0.14794,0.0032395,0.14794,0.3868,0.77879,1.1734,1.5781,1.9739,2.375,2.7718,3.1663,3.9553,4.7545,6.3334,7.8376,8.0157,8.0157,8.0157
9;9.033;8.0157;-9.0531,-8.0516,-7.0301,-6.0287,-5.0072,-4.0058,-2.9843,-2.4836,-1.9829,-1.7425,-1.4821,-1.2498,-0.99985,-0.74989,-0.49281,-0.2451,-0.094745,0.0011146,0.94188,0.2473,0.49542,0.74574,0.99606,1.2464,1.4993,1.7553,1.9997,2.5052,3.0107,3.9857,5.0072,6.0287,7.0301,8.0316,9.033;-7.996,-7.996,-7.996,-8.0157,-7.8178,-6.3334,-4.7303,-3.9386,-3.1469,-2.7511,-2.3552,-1.9726,-1.568,-1.1734,-0.78398,-0.3868,-0.14794,0.0032395,0.14794,0.3868,0.77879,1.1734,1.5781,1.9739,2.375,2.7718,3.1663,3.9553,4.7545,6.3334,7.8376,8.0157,8.0157,8.0157,8.0157
;;;;
-9.0531,-8.0516,-7.0301,-6.0287,-5.0072,-4.0058,-2.9843,-2.4836,-1.9829,-1.7425,-1.4821,-1.2498,-0.99985,-0.74989,-0.49281,-0.2451,-0.094745,0.0011146,0.94188,0.2473,0.49542,0.74574,0.99606,1.2464,1.4993,1.7553,1.9997,2.5052,3.0107,3.9857,5.0072,6.0287,7.0301,8.0316,9.033;;;;
-7.996,-7.996,-7.996,-8.0157,-7.8178,-6.3334,-4.7303,-3.9386,-3.1469,-2.7511,-2.3552,-1.9726,-1.568,-1.1734,-0.78398,-0.3868,-0.14794,0.0032395,0.14794,0.3868,0.77879,1.1734,1.5781,1.9739,2.375,2.7718,3.1663,3.9553,4.7545,6.3334,7.8376,8.0157,8.0157,8.0157,8.0157;;;;
;;;;
;;;;
-9.00E+00;-9.00E+00;-9;-8.996099;
