-9;-9.0531;-8.1147;-9.0531;-8.1147
-8;-8.0116;-8.1147;-9.0531,-8.0116;-8.1147,-8.1147
-7;-7.0301;-8.1147;-9.0531,-8.0116,-7.0301;-8.1147,-8.1147,-8.1147
-6;-6.0087;-8.1147;-9.0531,-8.0116,-7.0301,-6.0087;-8.1147,-8.1147,-8.1147,-8.1147
-5;-5.0072;-8.1147;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147
-4;-4.0058;-8.0949;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949
-3;-3.0043;-8.0949;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949
-2.5;-2.4836;-8.0949;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949
-2;-1.9829;-8.0949;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949
-1.75;-1.7425;-8.0949;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949
-1.5;-1.4821;-8.0949;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949
-1.25;-1.2418;-8.0751;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751
-1;-0.98142;-8.0949;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949
-0.75;-0.78113;-7.0064;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064
-0.5;-0.49803;-4.3599;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599
-0.25;-0.2451;-2.1749;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749
-0.1;-0.091401;-0.85666;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666
0;0.0011146;0.0051919;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401,0.0011146;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666,0.0051919
0.1;0.09586;0.85666;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401,0.0011146,0.09586;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666,0.0051919,0.85666
0.25;0.24838;1.9475;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401,0.0011146,0.09586,0.24838;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666,0.0051919,0.85666,1.9475
0.5;0.49542;4.3599;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401,0.0011146,0.09586,0.24838,0.49542;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666,0.0051919,0.85666,1.9475,4.3599
0.75;0.74574;6.545;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401,0.0011146,0.09586,0.24838,0.49542,0.74574;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666,0.0051919,0.85666,1.9475,4.3599,6.545
1;0.99606;8.0949;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401,0.0011146,0.09586,0.24838,0.49542,0.74574,0.99606;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666,0.0051919,0.85666,1.9475,4.3599,6.545,8.0949
1.25;1.2464;8.0949;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401,0.0011146,0.09586,0.24838,0.49542,0.74574,0.99606,1.2464;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666,0.0051919,0.85666,1.9475,4.3599,6.545,8.0949,8.0949
1.5;1.5053;8.0949;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401,0.0011146,0.09586,0.24838,0.49542,0.74574,0.99606,1.2464,1.5053;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666,0.0051919,0.85666,1.9475,4.3599,6.545,8.0949,8.0949,8.0949
1.75;1.7497;8.0949;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401,0.0011146,0.09586,0.24838,0.49542,0.74574,0.99606,1.2464,1.5053,1.7497;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666,0.0051919,0.85666,1.9475,4.3599,6.545,8.0949,8.0949,8.0949,8.0949
2;1.9941;8.0949;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401,0.0011146,0.09586,0.24838,0.49542,0.74574,0.99606,1.2464,1.5053,1.7497,1.9941;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666,0.0051919,0.85666,1.9475,4.3599,6.545,8.0949,8.0949,8.0949,8.0949,8.0949
2.5;2.4996;8.0949;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401,0.0011146,0.09586,0.24838,0.49542,0.74574,0.99606,1.2464,1.5053,1.7497,1.9941,2.4996;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666,0.0051919,0.85666,1.9475,4.3599,6.545,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949
3;3.0193;8.0949;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401,0.0011146,0.09586,0.24838,0.49542,0.74574,0.99606,1.2464,1.5053,1.7497,1.9941,2.4996,3.0193;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666,0.0051919,0.85666,1.9475,4.3599,6.545,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949
4;4.0112;8.0949;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401,0.0011146,0.09586,0.24838,0.49542,0.74574,0.99606,1.2464,1.5053,1.7497,1.9941,2.4996,3.0193,4.0112;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666,0.0051919,0.85666,1.9475,4.3599,6.545,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949
5;5.0141;8.0949;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401,0.0011146,0.09586,0.24838,0.49542,0.74574,0.99606,1.2464,1.5053,1.7497,1.9941,2.4996,3.0193,4.0112,5.0141;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666,0.0051919,0.85666,1.9475,4.3599,6.545,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949
6;6.0169;8.1147;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401,0.0011146,0.09586,0.24838,0.49542,0.74574,0.99606,1.2464,1.5053,1.7497,1.9941,2.4996,3.0193,4.0112,5.0141,6.0169;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666,0.0051919,0.85666,1.9475,4.3599,6.545,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.1147
7;7.0197;8.0949;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401,0.0011146,0.09586,0.24838,0.49542,0.74574,0.99606,1.2464,1.5053,1.7497,1.9941,2.4996,3.0193,4.0112,5.0141,6.0169,7.0197;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666,0.0051919,0.85666,1.9475,4.3599,6.545,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.1147,8.0949
8;8.0334;8.0949;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401,0.0011146,0.09586,0.24838,0.49542,0.74574,0.99606,1.2464,1.5053,1.7497,1.9941,2.4996,3.0193,4.0112,5.0141,6.0169,7.0197,8.0334;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666,0.0051919,0.85666,1.9475,4.3599,6.545,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.1147,8.0949,8.0949
9;9.033;8.0949;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401,0.0011146,0.09586,0.24838,0.49542,0.74574,0.99606,1.2464,1.5053,1.7497,1.9941,2.4996,3.0193,4.0112,5.0141,6.0169,7.0197,8.0334,9.033;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666,0.0051919,0.85666,1.9475,4.3599,6.545,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.1147,8.0949,8.0949,8.0949
;;;;
;;;-9.0531,-8.0116,-7.0301,-6.0087,-5.0072,-4.0058,-3.0043,-2.4836,-1.9829,-1.7425,-1.4821,-1.2418,-0.98142,-0.78113,-0.49803,-0.2451,-0.091401,0.0011146,0.09586,0.24838,0.49542,0.74574,0.99606,1.2464,1.5053,1.7497,1.9941,2.4996,3.0193,4.0112,5.0141,6.0169,7.0197,8.0334,9.033;
;;;-8.1147,-8.1147,-8.1147,-8.1147,-8.1147,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0949,-8.0751,-8.0949,-7.0064,-4.3599,-2.1749,-0.85666,0.0051919,0.85666,1.9475,4.3599,6.545,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.0949,8.1147,8.0949,8.0949,8.0949;
LTSPICE;;;;
-9.00E+00;-9.00E+00;-9;-8.9961;
-8.90E+00;-9.00E+00;-9,-8.9;-8.9961,-8.996092;
-8.80E+00;-9.00E+00;-9,-8.9,-8.8;-8.9961,-8.996092,-8.996083;
-8.70E+00;-9.00E+00;-9,-8.9,-8.8,-8.7;-8.9961,-8.996092,-8.996083,-8.996075;
-8.60E+00;-9.00E+00;-9,-8.9,-8.8,-8.7,-8.6;-8.9961,-8.996092,-8.996083,-8.996075,-8.996066;
