Freq.	V(vout)
5.00000000000000e+004	(3.92375940798534e+000dB,-5.79437801278266e+000°)
5.11646496140377e+004	(3.92281287932135e+000dB,-5.92917633182277e+000°)
5.23564274025450e+004	(3.92182180135132e+000dB,-6.06710234637032e+000°)
5.35759652618803e+004	(3.92078408025500e+000dB,-6.20822804052794e+000°)
5.48239098071593e+004	(3.91969752408729e+000dB,-6.35262701300774e+000°)
5.61009227150982e+004	(3.91855983820736e+000dB,-6.50037451030506e+000°)
5.74076810748441e+004	(3.91736862049769e+000dB,-6.65154746032818e+000°)
5.87448777469765e+004	(3.91612135636336e+000dB,-6.80622450647304e+000°)
6.01132217308706e+004	(3.91481541350210e+000dB,-6.96448604212828e+000°)
6.15134385406191e+004	(3.91344803643464e+000dB,-7.12641424559542e+000°)
6.29462705897084e+004	(3.91201634078485e+000dB,-7.29209311540614e+000°)
6.44124775846567e+004	(3.91051730729870e+000dB,-7.46160850601606e+000°)
6.59128369278203e+004	(3.90894777559032e+000dB,-7.63504816385229e+000°)
6.74481441295827e+004	(3.90730443760340e+000dB,-7.81250176368922e+000°)
6.90192132301442e+004	(3.90558383077538e+000dB,-7.99406094532355e+000°)
7.06268772311377e+004	(3.90378233089161e+000dB,-8.17981935051688e+000°)
7.22719885372963e+004	(3.90189614461573e+000dB,-8.36987266017058e+000°)
7.39554194084103e+004	(3.89992130168285e+000dB,-8.56431863169340e+000°)
7.56780624218104e+004	(3.89785364674046e+000dB,-8.76325713651926e+000°)
7.74408309456240e+004	(3.89568883082255e+000dB,-8.96679019772711e+000°)
7.92446596230556e+004	(3.89342230244090e+000dB,-9.17502202771110e+000°)
8.10905048679465e+004	(3.89104929827788e+000dB,-9.38805906584359e+000°)
8.29793453718780e+004	(3.88856483346351e+000dB,-9.60601001606839e+000°)
8.49121826230872e+004	(3.88596369141994e+000dB,-9.82898588435580e+000°)
8.68900414374687e+004	(3.88324041325521e+000dB,-1.00571000159449e+001°)
8.89139705019461e+004	(3.88038928668774e+000dB,-1.02904681322908e+001°)
9.09850429304991e+004	(3.87740433448275e+000dB,-1.05292083676300e+001°)
