frequency;MAG;PHA
100000;-4.082178449;-16.098
200000;-1.395986367;-19.061
300000;-0.120945375;-23.168
400000;0.060692147;-30.496
500000;1.084826167;-39.668
600000;0.781098088;-67.453
700000;1.271207077;-97.038
800000;-2.656659197;-119.53
850000;-1.869287767;-127.33
900000;-5.838864416;-132.99
950000;-1.340417835;-141.04
1000000;-2.375232796;-146.31
1250000;-5.221191918;-161.14
1500000;-8.177020752;-148.62
1750000;-10.53147372;-129.58
2000000;-14.25419071;-109.93
2500000;-19.98035788;-87.265
3000000;-22.73248108;-78.973
4000000;-15.75277599;-74.956
5000000;-16.9405387;-77.16
6000000;-15.07966557;-81.55
7000000;-16.51659904;-84.602
8000000;-11.3731552;-84.84
9000000;-17.59230037;-85.605
10000000;-7.643013394;-86.81
