frequency;MAG;PHA
50000;93.04494317;4.1109
75000;93.02204911;4.819
100000;92.91969974;6.7315
200000;92.82298536;12.741
300000;92.52176513;18.494
400000;92.16334633;23.874
450000;91.95744531;26.803
500000;91.77560495;29.174
550000;91.53609288;31.284
600000;91.29584093;33.678
650000;91.20309686;35.868
700000;90.92193682;37.577
750000;90.73776577;39.239
800000;90.55660931;41.087
850000;90.40116471;42.746
900000;90.19636073;44.13
950000;90.03401513;45.383
1000000;89.87837224;46.766
1250000;89.22664182;51.989
1500000;88.77775665;55.814
1750000;88.37166413;58.511
2000000;88.08118276;60.512
2500000;87.72679726;62.756
3000000;87.43606216;63.743
3500000;87.22434135;63.796
4000000;86.96820939;63.903
4500000;86.99112658;63.1
5000000;86.84694005;62.312
