100000;86.385;53.992;16.098;-4.082178449
200000;87.5;74.509;19.061;-1.395986367
300000;93.073;91.786;23.168;-0.120945375
400000;84.713;85.307;30.496;0.060692147
500000;95.302;107.98;39.668;1.084826167
600000;94.745;103.66;67.453;0.781098088
700000;88.614;102.58;97.038;1.271207077
800000;95.302;70.189;119.53;-2.656659197
850000;96.417;77.748;127.33;-1.869287767
900000;82.484;42.114;132.99;-5.838864416
950000;86.942;74.509;141.04;-1.340417835
1000000;90.844;69.109;146.31;-2.375232796
1250000;88.057;48.273;161.14;-5.221191918
1500000;95.302;37.175;148.62;-8.177020752
1750000;91.401;27.188;129.58;-10.53147372
2000000;83.041;16.091;109.93;-14.25419071
2500000;83.041;8.3229;87.265;-19.98035788
3000000;83.598;6.1034;78.973;-22.73248108
4000000;64.649;10.542;74.956;-15.75277599
5000000;70.223;9.9874;77.16;-16.9405387
6000000;62.978;11.097;81.55;-15.07966557
7000000;55.732;8.3229;84.602;-16.51659904
8000000;32.882;8.8777;84.84;-11.3731552
9000000;46.258;6.1034;85.605;-17.59230037
1000000;26.752;11.097;86.81;-7.643013394
