Freq.	V(vin)/I(R3)
1.00000000000000e+005	(1.02074914044830e+002dB,1.79875132089428e+002°)
1.02329299228075e+005	(1.02074862847770e+002dB,1.79872224872551e+002°)
1.04712854805090e+005	(1.02074809208178e+002dB,1.79869250057057e+002°)
1.07151930523761e+005	(1.02074753008111e+002dB,1.79866206079821e+002°)
1.09647819614319e+005	(1.02074694123797e+002dB,1.79863091342487e+002°)
1.12201845430196e+005	(1.02074632425341e+002dB,1.79859904210771e+002°)
1.14815362149688e+005	(1.02074567776403e+002dB,1.79856643013765e+002°)
1.17489755493953e+005	(1.02074500033867e+002dB,1.79853306043247e+002°)
1.20226443461741e+005	(1.02074429047491e+002dB,1.79849891552984e+002°)
1.23026877081238e+005	(1.02074354659532e+002dB,1.79846397758044e+002°)
1.25892541179417e+005	(1.02074276704355e+002dB,1.79842822834112e+002°)
1.28824955169313e+005	(1.02074195008018e+002dB,1.79839164916817e+002°)
1.31825673855641e+005	(1.02074109387836e+002dB,1.79835422101071e+002°)
1.34896288259165e+005	(1.02074019651917e+002dB,1.79831592440423e+002°)
1.38038426460288e+005	(1.02073925598674e+002dB,1.79827673946432e+002°)
1.41253754462275e+005	(1.02073827016306e+002dB,1.79823664588067e+002°)
1.44543977074593e+005	(1.02073723682257e+002dB,1.79819562291132e+002°)
1.47910838816821e+005	(1.02073615362630e+002dB,1.79815364937734e+002°)
1.51356124843621e+005	(1.02073501811583e+002dB,1.79811070365784e+002°)
1.54881661891248e+005	(1.02073382770678e+002dB,1.79806676368552e+002°)
1.58489319246111e+005	(1.02073257968199e+002dB,1.79802180694284e+002°)
1.62181009735893e+005	(1.02073127118423e+002dB,1.79797581045872e+002°)
1.65958690743756e+005	(1.02072989920858e+002dB,1.79792875080620e+002°)
1.69824365246174e+005	(1.02072846059425e+002dB,1.79788060410082e+002°)
1.73780082874937e+005	(1.02072695201601e+002dB,1.79783134600014e+002°)
1.77827941003892e+005	(1.02072536997506e+002dB,1.79778095170441e+002°)
1.81970085860998e+005	(1.02072371078936e+002dB,1.79772939595855e+002°)
1.86208713666287e+005	(1.02072197058341e+002dB,1.79767665305567e+002°)
1.90546071796325e+005	(1.02072014527736e+002dB,1.79762269684238e+002°)
1.94984459975804e+005	(1.02071823057559e+002dB,1.79756750072598e+002°)
1.99526231496888e+005	(1.02071622195443e+002dB,1.79751103768403e+002°)
2.04173794466953e+005	(1.02071411464931e+002dB,1.79745328027631e+002°)
2.08929613085404e+005	(1.02071190364108e+002dB,1.79739420065973e+002°)
2.13796208950223e+005	(1.02070958364143e+002dB,1.79733377060651e+002°)
2.18776162394955e+005	(1.02070714907761e+002dB,1.79727196152591e+002°)
2.23872113856834e+005	(1.02070459407610e+002dB,1.79720874449020e+002°)
2.29086765276777e+005	(1.02070191244535e+002dB,1.79714409026515e+002°)
2.34422881531992e+005	(1.02069909765756e+002dB,1.79707796934585e+002°)
2.39883291901949e+005	(1.02069614282932e+002dB,1.79701035199827e+002°)
2.45470891568503e+005	(1.02069304070116e+002dB,1.79694120830752e+002°)
2.51188643150958e+005	(1.02068978361594e+002dB,1.79687050823337e+002°)
2.57039578276886e+005	(1.02068636349598e+002dB,1.79679822167418e+002°)
2.63026799189538e+005	(1.02068277181888e+002dB,1.79672431853993e+002°)
2.69153480392691e+005	(1.02067899959214e+002dB,1.79664876883580e+002°)
2.75422870333816e+005	(1.02067503732623e+002dB,1.79657154275722e+002°)
2.81838293126445e+005	(1.02067087500634e+002dB,1.79649261079793e+002°)
2.88403150312660e+005	(1.02066650206267e+002dB,1.79641194387247e+002°)
2.95120922666638e+005	(1.02066190733921e+002dB,1.79632951345491e+002°)
3.01995172040201e+005	(1.02065707906101e+002dB,1.79624529173542e+002°)
3.09029543251359e+005	(1.02065200480001e+002dB,1.79615925179697e+002°)
3.16227766016838e+005	(1.02064667143927e+002dB,1.79607136781424e+002°)
3.23593656929628e+005	(1.02064106513586e+002dB,1.79598161527728e+002°)
3.31131121482591e+005	(1.02063517128229e+002dB,1.79588997124260e+002°)
3.38844156139202e+005	(1.02062897446666e+002dB,1.79579641461465e+002°)
3.46736850452531e+005	(1.02062245843166e+002dB,1.79570092646096e+002°)
3.54813389233575e+005	(1.02061560603249e+002dB,1.79560349036441e+002°)
3.63078054770101e+005	(1.02060839919415e+002dB,1.79550409281648e+002°)
3.71535229097172e+005	(1.02060081886817e+002dB,1.79540272365554e+002°)
3.80189396320561e+005	(1.02059284498924e+002dB,1.79529937655473e+002°)
3.89045144994280e+005	(1.02058445643220e+002dB,1.79519404956402e+002°)
3.98107170553497e+005	(1.02057563097001e+002dB,1.79508674571157e+002°)
4.07380277804112e+005	(1.02056634523320e+002dB,1.79497747366967e+002°)
4.16869383470335e+005	(1.02055657467183e+002dB,1.79486624849072e+002°)
4.26579518801592e+005	(1.02054629352075e+002dB,1.79475309241920e+002°)
4.36515832240165e+005	(1.02053547476948e+002dB,1.79463803578508e+002°)
4.46683592150962e+005	(1.02052409013791e+002dB,1.79452111798495e+002°)
4.57088189614874e+005	(1.02051211005958e+002dB,1.79440238855625e+002°)
4.67735141287197e+005	(1.02049950367417e+002dB,1.79428190835020e+002°)
4.78630092322637e+005	(1.02048623883160e+002dB,1.79415975080836e+002°)
4.89778819368445e+005	(1.02047228211003e+002dB,1.79403600334688e+002°)
5.01187233627271e+005	(1.02045759885049e+002dB,1.79391076885163e+002°)
5.12861383991364e+005	(1.02044215321155e+002dB,1.79378416728559e+002°)
5.24807460249771e+005	(1.02042590824739e+002dB,1.79365633740825e+002°)
5.37031796370251e+005	(1.02040882601329e+002dB,1.79352743860383e+002°)
5.49540873857623e+005	(1.02039086770296e+002dB,1.79339765281228e+002°)
5.62341325190348e+005	(1.02037199382245e+002dB,1.79326718655272e+002°)
5.75439937337156e+005	(1.02035216440584e+002dB,1.79313627302426e+002°)
5.88843655355588e+005	(1.02033133927820e+002dB,1.79300517426339e+002°)
6.02559586074356e+005	(1.02030947837150e+002dB,1.79287418332994e+002°)
6.16595001861481e+005	(1.02028654209943e+002dB,1.79274362648590e+002°)
6.30957344480192e+005	(1.02026249179695e+002dB,1.79261386532189e+002°)
6.45654229034654e+005	(1.02023729023003e+002dB,1.79248529877595e+002°)
6.60693448007594e+005	(1.02021090218092e+002dB,1.79235836497765e+002°)
6.76082975391980e+005	(1.02018329511287e+002dB,1.79223354283827e+002°)
6.91830970918935e+005	(1.02015443991730e+002dB,1.79211135329485e+002°)
7.07945784384136e+005	(1.02012431174473e+002dB,1.79199236010260e+002°)
7.24435960074988e+005	(1.02009289091784e+002dB,1.79187717005762e+002°)
7.41310241300916e+005	(1.02006016392290e+002dB,1.79176643252026e+002°)
7.58577575029182e+005	(1.02002612447132e+002dB,1.79166083810015e+002°)
7.76247116628690e+005	(1.01999077461929e+002dB,1.79156111635840e+002°)
7.94328234724279e+005	(1.01995412592819e+002dB,1.79146803238122e+002°)
8.12830516164097e+005	(1.01991620064276e+002dB,1.79138238208532e+002°)
8.31763771102669e+005	(1.01987703285837e+002dB,1.79130498612897e+002°)
8.51138038202374e+005	(1.01983666964181e+002dB,1.79123668232620e+002°)
8.70963589956078e+005	(1.01979517206461e+002dB,1.79117831649679e+002°)
8.91250938133743e+005	(1.01975261610174e+002dB,1.79113073173135e+002°)
9.12010839355907e+005	(1.01970909334449e+002dB,1.79109475611075e+002°)
9.33254300796989e+005	(1.01966471147313e+002dB,1.79107118899059e+002°)
9.54992586021433e+005	(1.01961959443464e+002dB,1.79106078604364e+002°)
9.77237220955808e+005	(1.01957388227308e+002dB,1.79106424334216e+002°)
9.99999999999997e+005	(1.01952773056590e+002dB,1.79108218085407e+002°)
1.02329299228075e+006	(1.01948130942896e+002dB,1.79111512581580e+002°)
1.04712854805090e+006	(1.01943480206675e+002dB,1.79116349652317e+002°)
1.07151930523760e+006	(1.01938840286095e+002dB,1.79122758714205e+002°)
1.09647819614318e+006	(1.01934231501142e+002dB,1.79130755417562e+002°)
1.12201845430196e+006	(1.01929674776539e+002dB,1.79140340522644e+002°)
1.14815362149688e+006	(1.01925191329449e+002dB,1.79151499065590e+002°)
1.17489755493953e+006	(1.01920802330116e+002dB,1.79164199866645e+002°)
1.20226443461741e+006	(1.01916528545613e+002dB,1.79178395421534e+002°)
1.23026877081238e+006	(1.01912389978363e+002dB,1.79194022201674e+002°)
1.25892541179416e+006	(1.01908405512053e+002dB,1.79211001371021e+002°)
1.28824955169313e+006	(1.01904592577778e+002dB,1.79229239907952e+002°)
1.31825673855640e+006	(1.01900966852688e+002dB,1.79248632101041e+002°)
1.34896288259165e+006	(1.01897542002104e+002dB,1.79269061369424e+002°)
1.38038426460288e+006	(1.01894329474079e+002dB,1.79290402342961e+002°)
1.41253754462275e+006	(1.01891338352861e+002dB,1.79312523125947e+002°)
1.44543977074592e+006	(1.01888575274834e+002dB,1.79335287661265e+002°)
1.47910838816820e+006	(1.01886044407551e+002dB,1.79358558110225e+002°)
1.51356124843620e+006	(1.01883747489585e+002dB,1.79382197166631e+002°)
1.54881661891248e+006	(1.01881683926337e+002dB,1.79406070231400e+002°)
1.58489319246111e+006	(1.01879850934843e+002dB,1.79430047385438e+002°)
1.62181009735892e+006	(1.01878243729058e+002dB,1.79454005112376e+002°)
1.65958690743755e+006	(1.01876855736176e+002dB,1.79477827737885e+002°)
1.69824365246174e+006	(1.01875678834222e+002dB,1.79501408567617e+002°)
1.73780082874937e+006	(1.01874703601390e+002dB,1.79524650720179e+002°)
1.77827941003892e+006	(1.01873919568291e+002dB,1.79547467664251e+002°)
1.81970085860998e+006	(1.01873315465313e+002dB,1.79569783479373e+002°)
1.86208713666286e+006	(1.01872879458577e+002dB,1.79591532867855e+002°)
1.90546071796324e+006	(1.01872599369353e+002dB,1.79612660950568e+002°)
1.94984459975804e+006	(1.01872462873193e+002dB,1.79633122882279e+002°)
1.99526231496887e+006	(1.01872457676358e+002dB,1.79652883322935e+002°)
2.04173794466952e+006	(1.01872571668320e+002dB,1.79671915800294e+002°)
2.08929613085403e+006	(1.01872793050132e+002dB,1.79690201996909e+002°)
2.13796208950222e+006	(1.01873110439308e+002dB,1.79707730991184e+002°)
2.18776162394954e+006	(1.01873512952467e+002dB,1.79724498478294e+002°)
2.23872113856833e+006	(1.01873990267500e+002dB,1.79740505992661e+002°)
2.29086765276776e+006	(1.01874532667272e+002dB,1.79755760149509e+002°)
2.34422881531991e+006	(1.01875131067063e+002dB,1.79770271919133e+002°)
2.39883291901948e+006	(1.01875777027974e+002dB,1.79784055943880e+002°)
2.45470891568502e+006	(1.01876462758480e+002dB,1.79797129904730e+002°)
2.51188643150957e+006	(1.01877181106219e+002dB,1.79809513941584e+002°)
2.57039578276885e+006	(1.01877925541904e+002dB,1.79821230129170e+002°)
2.63026799189537e+006	(1.01878690137115e+002dB,1.79832302008645e+002°)
2.69153480392690e+006	(1.01879469537479e+002dB,1.79842754173551e+002°)
2.75422870333815e+006	(1.01880258932574e+002dB,1.79852611907783e+002°)
2.81838293126444e+006	(1.01881054023687e+002dB,1.79861900872439e+002°)
2.88403150312659e+006	(1.01881850990376e+002dB,1.79870646837991e+002°)
2.95120922666637e+006	(1.01882646456606e+002dB,1.79878875457916e+002°)
3.01995172040200e+006	(1.01883437457090e+002dB,1.79886612079862e+002°)
3.09029543251358e+006	(1.01884221404332e+002dB,1.79893881590414e+002°)
3.16227766016837e+006	(1.01884996056738e+002dB,1.79900708289703e+002°)
3.23593656929627e+006	(1.01885759488076e+002dB,1.79907115792236e+002°)
3.31131121482590e+006	(1.01886510058494e+002dB,1.79913126950609e+002°)
3.38844156139201e+006	(1.01887246387189e+002dB,1.79918763799008e+002°)
3.46736850452530e+006	(1.01887967326836e+002dB,1.79924047513677e+002°)
3.54813389233574e+006	(1.01888671939769e+002dB,1.79928998387818e+002°)
3.63078054770100e+006	(1.01889359475926e+002dB,1.79933635818644e+002°)
3.71535229097171e+006	(1.01890029352503e+002dB,1.79937978304584e+002°)
3.80189396320559e+006	(1.01890681135278e+002dB,1.79942043450859e+002°)
3.89045144994279e+006	(1.01891314521512e+002dB,1.79945847981888e+002°)
3.98107170553495e+006	(1.01891929324369e+002dB,1.79949407759168e+002°)
4.07380277804111e+006	(1.01892525458738e+002dB,1.79952737803484e+002°)
4.16869383470333e+006	(1.01893102928394e+002dB,1.79955852320451e+002°)
4.26579518801591e+006	(1.01893661814386e+002dB,1.79958764728526e+002°)
4.36515832240164e+006	(1.01894202264572e+002dB,1.79961487688806e+002°)
4.46683592150961e+006	(1.01894724484204e+002dB,1.79964033135973e+002°)
4.57088189614873e+006	(1.01895228727482e+002dB,1.79966412309924e+002°)
4.67735141287196e+006	(1.01895715290003e+002dB,1.79968635787636e+002°)
4.78630092322636e+006	(1.01896184502006e+002dB,1.79970713514953e+002°)
4.89778819368444e+006	(1.01896636722368e+002dB,1.79972654838005e+002°)
5.01187233627270e+006	(1.01897072333262e+002dB,1.79974468534056e+002°)
5.12861383991362e+006	(1.01897491735423e+002dB,1.79976162841580e+002°)
5.24807460249770e+006	(1.01897895343973e+002dB,1.79977745489475e+002°)
5.37031796370250e+006	(1.01898283584727e+002dB,1.79979223725272e+002°)
5.49540873857621e+006	(1.01898656890957e+002dB,1.79980604342303e+002°)
5.62341325190346e+006	(1.01899015700556e+002dB,1.79981893705762e+002°)
5.75439937337154e+006	(1.01899360453564e+002dB,1.79983097777637e+002°)
5.88843655355586e+006	(1.01899691590010e+002dB,1.79984222140505e+002°)
6.02559586074354e+006	(1.01900009548057e+002dB,1.79985272020186e+002°)
6.16595001861479e+006	(1.01900314762396e+002dB,1.79986252307265e+002°)
