Freq.	V(vin)/-I(R1)
1.00000000000000e+003	(6.86295240194670e+001dB,5.77573047857316e-001°)
1.02329299228075e+003	(6.86295883159192e+001dB,5.91019460877900e-001°)
1.04712854805090e+003	(6.86296556408315e+001dB,6.04778581269208e-001°)
1.07151930523761e+003	(6.86297261367633e+001dB,6.18857657199554e-001°)
1.09647819614319e+003	(6.86297999529763e+001dB,6.33264103117015e-001°)
1.12201845430196e+003	(6.86298772457491e+001dB,6.48005503440453e-001°)
1.14815362149688e+003	(6.86299581787060e+001dB,6.63089616323534e-001°)
1.17489755493953e+003	(6.86300429231613e+001dB,6.78524377492521e-001°)
1.20226443461741e+003	(6.86301316584799e+001dB,6.94317904158563e-001°)
1.23026877081238e+003	(6.86302245724542e+001dB,7.10478499005173e-001°)
1.25892541179417e+003	(6.86303218616989e+001dB,7.27014654251492e-001°)
1.28824955169313e+003	(6.86304237320643e+001dB,7.43935055791913e-001°)
1.31825673855641e+003	(6.86305303990681e+001dB,7.61248587412538e-001°)
1.34896288259165e+003	(6.86306420883484e+001dB,7.78964335084843e-001°)
1.38038426460288e+003	(6.86307590361364e+001dB,7.97091591336914e-001°)
1.41253754462275e+003	(6.86308814897522e+001dB,8.15639859702409e-001°)
1.44543977074593e+003	(6.86310097081233e+001dB,8.34618859247390e-001°)
1.47910838816821e+003	(6.86311439623264e+001dB,8.54038529175001e-001°)
1.51356124843621e+003	(6.86312845361550e+001dB,8.73909033507850e-001°)
1.54881661891248e+003	(6.86314317267134e+001dB,8.94240765847802e-001°)
1.58489319246111e+003	(6.86315858450377e+001dB,9.15044354212784e-001°)
1.62181009735893e+003	(6.86317472167451e+001dB,9.36330665949951e-001°)
1.65958690743756e+003	(6.86319161827147e+001dB,9.58110812724463e-001°)
1.69824365246174e+003	(6.86320930997975e+001dB,9.80396155582885e-001°)
1.73780082874937e+003	(6.86322783415612e+001dB,1.00319831009000e+000°)
1.77827941003892e+003	(6.86324722990674e+001dB,1.02652915153762e+000°)
1.81970085860998e+003	(6.86326753816861e+001dB,1.05040082022368e+000°)
1.86208713666287e+003	(6.86328880179462e+001dB,1.07482572679973e+000°)
1.90546071796325e+003	(6.86331106564260e+001dB,1.09981655768449e+000°)
1.94984459975804e+003	(6.86333437666838e+001dB,1.12538628054094e+000°)
1.99526231496888e+003	(6.86335878402312e+001dB,1.15154814981399e+000°)
2.04173794466953e+003	(6.86338433915507e+001dB,1.17831571232554e+000°)
2.08929613085404e+003	(6.86341109591601e+001dB,1.20570281292306e+000°)
2.13796208950223e+003	(6.86343911067243e+001dB,1.23372360017778e+000°)
2.18776162394955e+003	(6.86346844242187e+001dB,1.26239253212765e+000°)
2.23872113856834e+003	(6.86349915291444e+001dB,1.29172438206020e+000°)
2.29086765276777e+003	(6.86353130677991e+001dB,1.32173424432952e+000°)
2.34422881531992e+003	(6.86356497166041e+001dB,1.35243754020117e+000°)
2.39883291901949e+003	(6.86360021834928e+001dB,1.38385002371817e+000°)
2.45470891568503e+003	(6.86363712093600e+001dB,1.41598778758058e+000°)
2.51188643150958e+003	(6.86367575695768e+001dB,1.44886726903036e+000°)
2.57039578276886e+003	(6.86371620755733e+001dB,1.48250525573254e+000°)
2.63026799189538e+003	(6.86375855764918e+001dB,1.51691889164286e+000°)
2.69153480392691e+003	(6.86380289609130e+001dB,1.55212568285108e+000°)
2.75422870333816e+003	(6.86384931586593e+001dB,1.58814350338827e+000°)
2.81838293126445e+003	(6.86389791426777e+001dB,1.62499060098549e+000°)
2.88403150312660e+003	(6.86394879310054e+001dB,1.66268560276976e+000°)
2.95120922666638e+003	(6.86400205888217e+001dB,1.70124752088268e+000°)
3.01995172040201e+003	(6.86405782305899e+001dB,1.74069575800520e+000°)
3.09029543251359e+003	(6.86411620222922e+001dB,1.78105011277104e+000°)
3.16227766016838e+003	(6.86417731837619e+001dB,1.82233078504979e+000°)
3.23593656929628e+003	(6.86424129911161e+001dB,1.86455838107914e+000°)
3.31131121482591e+003	(6.86430827792934e+001dB,1.90775391842400e+000°)
3.38844156139202e+003	(6.86437839446997e+001dB,1.95193883073873e+000°)
3.46736850452531e+003	(6.86445179479676e+001dB,1.99713497230660e+000°)
3.54813389233575e+003	(6.86452863168319e+001dB,2.04336462232885e+000°)
3.63078054770101e+003	(6.86460906491269e+001dB,2.09065048893349e+000°)
3.71535229097172e+003	(6.86469326159091e+001dB,2.13901571287171e+000°)
3.80189396320561e+003	(6.86478139647097e+001dB,2.18848387086762e+000°)
3.89045144994280e+003	(6.86487365229223e+001dB,2.23907897858412e+000°)
3.98107170553497e+003	(6.86497022013292e+001dB,2.29082549316552e+000°)
4.07380277804112e+003	(6.86507129977719e+001dB,2.34374831531421e+000°)
4.16869383470335e+003	(6.86517710009697e+001dB,2.39787279085593e+000°)
4.26579518801592e+003	(6.86528783944923e+001dB,2.45322471174498e+000°)
4.36515832240165e+003	(6.86540374608896e+001dB,2.50983031645726e+000°)
4.46683592150962e+003	(6.86552505859844e+001dB,2.56771628971540e+000°)
4.57088189614874e+003	(6.86565202633335e+001dB,2.62690976148665e+000°)
4.67735141287197e+003	(6.86578490988593e+001dB,2.68743830518992e+000°)
4.78630092322637e+003	(6.86592398156599e+001dB,2.74932993504448e+000°)
4.89778819368445e+003	(6.86606952589989e+001dB,2.81261310248815e+000°)
5.01187233627271e+003	(6.86622184014822e+001dB,2.87731669158808e+000°)
5.12861383991364e+003	(6.86638123484240e+001dB,2.94347001336269e+000°)
5.24807460249772e+003	(6.86654803434065e+001dB,3.01110279892776e+000°)
5.37031796370252e+003	(6.86672257740380e+001dB,3.08024519137439e+000°)
5.49540873857624e+003	(6.86690521779120e+001dB,3.15092773628117e+000°)
5.62341325190348e+003	(6.86709632487699e+001dB,3.22318137075638e+000°)
5.75439937337156e+003	(6.86729628428721e+001dB,3.29703741090062e+000°)
5.88843655355588e+003	(6.86750549855777e+001dB,3.37252753757319e+000°)
6.02559586074357e+003	(6.86772438781352e+001dB,3.44968378033920e+000°)
6.16595001861481e+003	(6.86795339046860e+001dB,3.52853849946747e+000°)
6.30957344480192e+003	(6.86819296394805e+001dB,3.60912436584186e+000°)
6.45654229034654e+003	(6.86844358543066e+001dB,3.69147433864166e+000°)
6.60693448007595e+003	(6.86870575261296e+001dB,3.77562164063853e+000°)
6.76082975391980e+003	(6.86897998449409e+001dB,3.86159973095024e+000°)
6.91830970918935e+003	(6.86926682218125e+001dB,3.94944227508295e+000°)
7.07945784384136e+003	(6.86956682971534e+001dB,4.03918311208595e+000°)
7.24435960074989e+003	(6.86988059491607e+001dB,4.13085621863441e+000°)
7.41310241300916e+003	(6.87020873024587e+001dB,4.22449566984733e+000°)
7.58577575029182e+003	(6.87055187369182e+001dB,4.32013559663943e+000°)
7.76247116628690e+003	(6.87091068966426e+001dB,4.41781013939765e+000°)
7.94328234724280e+003	(6.87128586991106e+001dB,4.51755339776425e+000°)
8.12830516164097e+003	(6.87167813444583e+001dB,4.61939937630073e+000°)
8.31763771102669e+003	(6.87208823248855e+001dB,4.72338192579869e+000°)
8.51138038202374e+003	(6.87251694341637e+001dB,4.82953467999636e+000°)
8.70963589956079e+003	(6.87296507772258e+001dB,4.93789098745224e+000°)
8.91250938133744e+003	(6.87343347798095e+001dB,5.04848383832079e+000°)
9.12010839355908e+003	(6.87392301981256e+001dB,5.16134578576942e+000°)
9.33254300796989e+003	(6.87443461285203e+001dB,5.27650886177045e+000°)
9.54992586021434e+003	(6.87496920170921e+001dB,5.39400448699833e+000°)
9.77237220955809e+003	(6.87552776692258e+001dB,5.51386337455892e+000°)
9.99999999999998e+003	(6.87611132589961e+001dB,5.63611542727635e+000°)
1.02329299228075e+004	(6.87672093383930e+001dB,5.76078962826317e+000°)
1.04712854805090e+004	(6.87735768463129e+001dB,5.88791392450105e+000°)
1.07151930523760e+004	(6.87802271172578e+001dB,6.01751510316352e+000°)
1.09647819614318e+004	(6.87871718896747e+001dB,6.14961866041840e+000°)
1.12201845430196e+004	(6.87944233138659e+001dB,6.28424866245645e+000°)
1.14815362149688e+004	(6.88019939593925e+001dB,6.42142759850510e+000°)
1.17489755493953e+004	(6.88098968218869e+001dB,6.56117622560051e+000°)
1.20226443461741e+004	(6.88181453291851e+001dB,6.70351340491117e+000°)
1.23026877081238e+004	(6.88267533466812e+001dB,6.84845592942813e+000°)
1.25892541179416e+004	(6.88357351817988e+001dB,6.99601834286484e+000°)
1.28824955169313e+004	(6.88451055874712e+001dB,7.14621274964178e+000°)
1.31825673855640e+004	(6.88548797645076e+001dB,7.29904861586792e+000°)
1.34896288259165e+004	(6.88650733627227e+001dB,7.45453256127460e+000°)
1.38038426460288e+004	(6.88757024806949e+001dB,7.61266814210619e+000°)
