Freq.	V(vout)
1.00000000000000e+003	(1.99962965790813e+001dB,1.78786431914806e+002°)
1.02329299228075e+003	(1.99962095916145e+001dB,1.78758172344700e+002°)
1.04712854805090e+003	(1.99961185064193e+001dB,1.78729255101017e+002°)
1.07151930523761e+003	(1.99960231305555e+001dB,1.78699664905768e+002°)
1.09647819614319e+003	(1.99959232620072e+001dB,1.78669386128036e+002°)
1.12201845430196e+003	(1.99958186892568e+001dB,1.78638402775966e+002°)
1.14815362149688e+003	(1.99957091908392e+001dB,1.78606698488584e+002°)
1.17489755493953e+003	(1.99955945348746e+001dB,1.78574256527441e+002°)
1.20226443461741e+003	(1.99954744785801e+001dB,1.78541059768073e+002°)
1.23026877081238e+003	(1.99953487677585e+001dB,1.78507090691295e+002°)
1.25892541179417e+003	(1.99952171362625e+001dB,1.78472331374295e+002°)
1.28824955169313e+003	(1.99950793054346e+001dB,1.78436763481557e+002°)
1.31825673855641e+003	(1.99949349835211e+001dB,1.78400368255582e+002°)
1.34896288259165e+003	(1.99947838650578e+001dB,1.78363126507427e+002°)
1.38038426460288e+003	(1.99946256302279e+001dB,1.78325018607044e+002°)
1.41253754462275e+003	(1.99944599441898e+001dB,1.78286024473425e+002°)
1.44543977074593e+003	(1.99942864563737e+001dB,1.78246123564544e+002°)
1.47910838816821e+003	(1.99941047997451e+001dB,1.78205294867098e+002°)
1.51356124843621e+003	(1.99939145900345e+001dB,1.78163516886045e+002°)
1.54881661891248e+003	(1.99937154249314e+001dB,1.78120767633935e+002°)
1.58489319246111e+003	(1.99935068832402e+001dB,1.78077024620025e+002°)
1.62181009735893e+003	(1.99932885239981e+001dB,1.78032264839189e+002°)
1.65958690743756e+003	(1.99930598855506e+001dB,1.77986464760616e+002°)
1.69824365246174e+003	(1.99928204845860e+001dB,1.77939600316287e+002°)
1.73780082874937e+003	(1.99925698151236e+001dB,1.77891646889236e+002°)
1.77827941003892e+003	(1.99923073474561e+001dB,1.77842579301599e+002°)
1.81970085860998e+003	(1.99920325270430e+001dB,1.77792371802432e+002°)
1.86208713666287e+003	(1.99917447733527e+001dB,1.77740998055323e+002°)
1.90546071796325e+003	(1.99914434786512e+001dB,1.77688431125769e+002°)
1.94984459975804e+003	(1.99911280067357e+001dB,1.77634643468340e+002°)
1.99526231496888e+003	(1.99907976916090e+001dB,1.77579606913621e+002°)
2.04173794466953e+003	(1.99904518360941e+001dB,1.77523292654925e+002°)
2.08929613085404e+003	(1.99900897103839e+001dB,1.77465671234797e+002°)
2.13796208950223e+003	(1.99897105505260e+001dB,1.77406712531288e+002°)
2.18776162394955e+003	(1.99893135568367e+001dB,1.77346385744019e+002°)
2.23872113856834e+003	(1.99888978922439e+001dB,1.77284659380022e+002°)
2.29086765276777e+003	(1.99884626805534e+001dB,1.77221501239371e+002°)
2.34422881531992e+003	(1.99880070046367e+001dB,1.77156878400607e+002°)
2.39883291901949e+003	(1.99875299045362e+001dB,1.77090757205947e+002°)
2.45470891568503e+003	(1.99870303754849e+001dB,1.77023103246300e+002°)
2.51188643150958e+003	(1.99865073658356e+001dB,1.76953881346080e+002°)
2.57039578276886e+003	(1.99859597748973e+001dB,1.76883055547834e+002°)
2.63026799189538e+003	(1.99853864506729e+001dB,1.76810589096681e+002°)
2.69153480392691e+003	(1.99847861874967e+001dB,1.76736444424577e+002°)
2.75422870333816e+003	(1.99841577235637e+001dB,1.76660583134416e+002°)
2.81838293126445e+003	(1.99834997383499e+001dB,1.76582965983968e+002°)
2.88403150312660e+003	(1.99828108499164e+001dB,1.76503552869678e+002°)
2.95120922666638e+003	(1.99820896120934e+001dB,1.76422302810322e+002°)
3.01995172040201e+003	(1.99813345115390e+001dB,1.76339173930555e+002°)
3.09029543251359e+003	(1.99805439646675e+001dB,1.76254123444341e+002°)
3.16227766016838e+003	(1.99797163144423e+001dB,1.76167107638308e+002°)
3.23593656929628e+003	(1.99788498270269e+001dB,1.76078081855022e+002°)
3.31131121482591e+003	(1.99779426882891e+001dB,1.75987000476217e+002°)
3.38844156139202e+003	(1.99769930001520e+001dB,1.75893816905999e+002°)
3.46736850452531e+003	(1.99759987767863e+001dB,1.75798483554042e+002°)
3.54813389233575e+003	(1.99749579406368e+001dB,1.75700951818810e+002°)
3.63078054770101e+003	(1.99738683182769e+001dB,1.75601172070828e+002°)
3.71535229097172e+003	(1.99727276360855e+001dB,1.75499093636038e+002°)
3.80189396320561e+003	(1.99715335157369e+001dB,1.75394664779270e+002°)
3.89045144994280e+003	(1.99702834695003e+001dB,1.75287832687868e+002°)
3.98107170553497e+003	(1.99689748953380e+001dB,1.75178543455505e+002°)
4.07380277804112e+003	(1.99676050717978e+001dB,1.75066742066233e+002°)
4.16869383470335e+003	(1.99661711526904e+001dB,1.74952372378824e+002°)
4.26579518801592e+003	(1.99646701615452e+001dB,1.74835377111427e+002°)
4.36515832240165e+003	(1.99630989858355e+001dB,1.74715697826627e+002°)
4.46683592150962e+003	(1.99614543709673e+001dB,1.74593274916934e+002°)
4.57088189614874e+003	(1.99597329140203e+001dB,1.74468047590785e+002°)
4.67735141287197e+003	(1.99579310572371e+001dB,1.74339953859115e+002°)
4.78630092322637e+003	(1.99560450812487e+001dB,1.74208930522575e+002°)
4.89778819368445e+003	(1.99540710980303e+001dB,1.74074913159470e+002°)
5.01187233627271e+003	(1.99520050435790e+001dB,1.73937836114496e+002°)
5.12861383991364e+003	(1.99498426703034e+001dB,1.73797632488376e+002°)
5.24807460249772e+003	(1.99475795391197e+001dB,1.73654234128477e+002°)
5.37031796370252e+003	(1.99452110112435e+001dB,1.73507571620512e+002°)
5.49540873857624e+003	(1.99427322396711e+001dB,1.73357574281441e+002°)
5.62341325190348e+003	(1.99401381603418e+001dB,1.73204170153673e+002°)
5.75439937337156e+003	(1.99374234829734e+001dB,1.73047286000704e+002°)
5.88843655355588e+003	(1.99345826815648e+001dB,1.72886847304307e+002°)
6.02559586074357e+003	(1.99316099845567e+001dB,1.72722778263427e+002°)
6.16595001861481e+003	(1.99284993646464e+001dB,1.72555001794909e+002°)
6.30957344480192e+003	(1.99252445282484e+001dB,1.72383439536233e+002°)
6.45654229034654e+003	(1.99218389045971e+001dB,1.72208011850403e+002°)
6.60693448007595e+003	(1.99182756344861e+001dB,1.72028637833174e+002°)
6.76082975391980e+003	(1.99145475586400e+001dB,1.71845235322798e+002°)
6.91830970918935e+003	(1.99106472057169e+001dB,1.71657720912478e+002°)
7.07945784384136e+003	(1.99065667799377e+001dB,1.71466009965743e+002°)
7.24435960074989e+003	(1.99022981483436e+001dB,1.71270016634946e+002°)
7.41310241300916e+003	(1.98978328276809e+001dB,1.71069653883124e+002°)
7.58577575029182e+003	(1.98931619709150e+001dB,1.70864833509447e+002°)
7.76247116628690e+003	(1.98882763533787e+001dB,1.70655466178507e+002°)
7.94328234724280e+003	(1.98831663585583e+001dB,1.70441461453707e+002°)
8.12830516164097e+003	(1.98778219635272e+001dB,1.70222727835024e+002°)
8.31763771102669e+003	(1.98722327240345e+001dB,1.69999172801418e+002°)
8.51138038202374e+003	(1.98663877592628e+001dB,1.69770702858195e+002°)
8.70963589956079e+003	(1.98602757362679e+001dB,1.69537223589619e+002°)
8.91250938133744e+003	(1.98538848541211e+001dB,1.69298639717088e+002°)
9.12010839355908e+003	(1.98472028277717e+001dB,1.69054855163208e+002°)
9.33254300796989e+003	(1.98402168716570e+001dB,1.68805773122100e+002°)
9.54992586021434e+003	(1.98329136830867e+001dB,1.68551296136269e+002°)
9.77237220955809e+003	(1.98252794254336e+001dB,1.68291326180418e+002°)
9.99999999999998e+003	(1.98172997111687e+001dB,1.68025764752537e+002°)
1.02329299228075e+004	(1.98089595847804e+001dB,1.67754512972659e+002°)
1.04712854805090e+004	(1.98002435056254e+001dB,1.67477471689633e+002°)
1.07151930523760e+004	(1.97911353307622e+001dB,1.67194541596303e+002°)
1.09647819614318e+004	(1.97816182978254e+001dB,1.66905623353466e+002°)
1.12201845430196e+004	(1.97716750080034e+001dB,1.66610617722963e+002°)
1.14815362149688e+004	(1.97612874091899e+001dB,1.66309425710305e+002°)
1.17489755493953e+004	(1.97504367793856e+001dB,1.66001948717161e+002°)
1.20226443461741e+004	(1.97391037104335e+001dB,1.65688088704082e+002°)
