frequency;MAG;PHA
;;
1000;18.93181225;172.07
10000;20.44502187;162.65
25000;19.48981059;150.36
50000;19.50592966;134.85
55000;19.14312712;133.17
60000;17.71355146;129.75
65000;18.48276303;126.85
70000;16.88564478;125.01
75000;16.67111585;123.05
80000;17.26828612;120.8
85000;15.68193807;118.42
90000;16.68502037;116.53
95000;15.77858576;115.14
100000;14.86188806;112.8
125000;14.73810225;105.58
150000;12.88766015;100.78
200000;11.07556461;90.979
250000;13.70344288;82.44
300000;5.949434239;77.776
350000;5.399825281;74.686
400000;2.692893924;68.143
450000;2.963940282;71.988
500000;1.158240322;70.139
550000;-2.597396625;54.439
600000;-1.768285913;56.24
700000;-3.492652234;51.66
800000;-4.113141723;47.897
900000;-6.632499266;41.472
1000000;-6.297058598;41.368
