-9;-9.0362;8.032;-9.0362;8.032
-8;-8.0334;8.032;-9.0362,-8.0334;8.032,8.032
-7;-7.0306;8.032;-9.0362,-8.0334,-7.0306;8.032,8.032,8.032
-6;-6.0169;8.032;-9.0362,-8.0334,-7.0306,-6.0169;8.032,8.032,8.032,8.032
-5;-5.0141;8.0421;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141;8.032,8.032,8.032,8.032,8.0421
-4;-4.0112;8.032;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112;8.032,8.032,8.032,8.032,8.0421,8.032
-3;-3.0084;8.0421;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421
-2.5;-2.507;8.0421;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421
-2;-1.9947;8.0421;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421
-1.75;-1.744;8.0421;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421
-1.5;-1.4933;8.032;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032
-1.25;-1.2426;8.0421;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421
-1;-0.99191;8.0421;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421
-0.75;-0.73031;7.5465;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465
-0.5;-0.49051;5.0276;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276
-0.25;-0.42511;4.4206;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206
-0.1;-0.087201;0.99136;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511,-0.087201;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136
0;0.0109;-0.020232;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511,-0.087201,0.0109;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136,-0.020232
0.1;0.087201;-0.98124;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511,-0.087201,0.0109,0.087201;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136,-0.020232,-0.98124
0.25;0.2398;-2.5087;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511,-0.087201,0.0109,0.087201,0.2398;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136,-0.020232,-0.98124,-2.5087
0.5;0.49051;-5.0276;-9.0362,-8.0334,-7.0306,-6.0169,-5.0141,-4.0112,-3.0084,-2.507,-1.9947,-1.744,-1.4933,-1.2426,-0.99191,-0.73031,-0.49051,-0.42511,-0.087201,0.0109,0.087201,0.2398,0.49051;8.032,8.032,8.032,8.032,8.0421,8.032,8.0421,8.0421,8.0421,8.0421,8.032,8.0421,8.0421,7.5465,5.0276,4.4206,0.99136,-0.020232,-0.98124,-2.5087,-5.0276
